K-averages clustering of 18000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_8.matrix'
Loading data and computing initial values: 1.952000141 s (all future times given in seconds)
Iteration 1, 13985 moved objects, max delta = 0.02087220597, deltaT = 2.892999887
Iteration 2, 4047 moved objects, max delta = 0.4826988788, deltaT = 2.631000042
Iteration 3, 1865 moved objects, max delta = 0.221885511, deltaT = 2.507999897
Iteration 4, 1122 moved objects, max delta = 0.1122497201, deltaT = 2.468000174
Iteration 5, 785 moved objects, max delta = 0.08262133622, deltaT = 2.447000027
Iteration 6, 509 moved objects, max delta = 0.06168179778, deltaT = 2.438999891
Iteration 7, 365 moved objects, max delta = 0.05233394139, deltaT = 2.438000202
Iteration 8, 289 moved objects, max delta = 0.04668978673, deltaT = 2.434999943
Iteration 9, 241 moved objects, max delta = 0.03821941674, deltaT = 2.434999943
Iteration 10, 218 moved objects, max delta = 0.0295007221, deltaT = 2.470999956
Iteration 11, 176 moved objects, max delta = 0.0226543803, deltaT = 2.430000067
Iteration 12, 168 moved objects, max delta = 0.02010404984, deltaT = 2.431999922
Iteration 13, 146 moved objects, max delta = 0.01832027171, deltaT = 2.445000172
Iteration 14, 153 moved objects, max delta = 0.01401499383, deltaT = 2.436999798
Iteration 15, 125 moved objects, max delta = 0.01460967164, deltaT = 2.437000036
Iteration 16, 110 moved objects, max delta = 0.01248593733, deltaT = 2.43599987
Iteration 17, 112 moved objects, max delta = 0.01111641267, deltaT = 2.437999964
Iteration 18, 111 moved objects, max delta = 0.01067273375, deltaT = 2.447999954
Iteration 19, 106 moved objects, max delta = 0.01167091099, deltaT = 2.436000109
Iteration 20, 96 moved objects, max delta = 0.01014504056, deltaT = 2.431999922
Iteration 21, 109 moved objects, max delta = 0.01116742901, deltaT = 2.43200016
Iteration 22, 83 moved objects, max delta = 0.01283316106, deltaT = 2.43599987
Iteration 23, 86 moved objects, max delta = 0.01313173247, deltaT = 2.434000015
Iteration 24, 73 moved objects, max delta = 0.01200665008, deltaT = 2.47300005
Iteration 25, 64 moved objects, max delta = 0.006954931582, deltaT = 2.501999855
Iteration 26, 49 moved objects, max delta = 0.006272317491, deltaT = 2.470000029
Iteration 27, 43 moved objects, max delta = 0.005967326393, deltaT = 2.437000036
Iteration 28, 39 moved objects, max delta = 0.005619444061, deltaT = 2.440999985
Iteration 29, 30 moved objects, max delta = 0.004867906682, deltaT = 2.430999994
Iteration 30, 21 moved objects, max delta = 0.003588782016, deltaT = 2.470999956
Iteration 31, 23 moved objects, max delta = 0.002270653104, deltaT = 2.436000109
Iteration 32, 18 moved objects, max delta = 0.002496283931, deltaT = 2.430999994
Iteration 33, 16 moved objects, max delta = 0.002567753194, deltaT = 2.433000088
Iteration 34, 10 moved objects, max delta = 0.002154352947, deltaT = 2.44299984
Iteration 35, 13 moved objects, max delta = 0.001363011697, deltaT = 2.514000177
Iteration 36, 21 moved objects, max delta = 0.002453531722, deltaT = 2.536999941
Iteration 37, 24 moved objects, max delta = 0.004982234715, deltaT = 2.483999968
Iteration 38, 31 moved objects, max delta = 0.003997421436, deltaT = 2.506999969
Iteration 39, 22 moved objects, max delta = 0.004538228467, deltaT = 2.480999947
Iteration 40, 30 moved objects, max delta = 0.0022489511, deltaT = 2.508000135
Iteration 41, 31 moved objects, max delta = 0.003564125446, deltaT = 2.487999916
Iteration 42, 22 moved objects, max delta = 0.005632629271, deltaT = 2.446000099
Iteration 43, 24 moved objects, max delta = 0.003479108125, deltaT = 2.526000023
Iteration 44, 24 moved objects, max delta = 0.001956344406, deltaT = 2.477999926
Iteration 45, 20 moved objects, max delta = 0.002968953419, deltaT = 2.442000151
Iteration 46, 12 moved objects, max delta = 0.001801038802, deltaT = 2.437999964
Iteration 47, 18 moved objects, max delta = 0.00165739988, deltaT = 2.50999999
Iteration 48, 8 moved objects, max delta = 0.001918910917, deltaT = 2.450999975
Iteration 49, 11 moved objects, max delta = 0.001922857755, deltaT = 2.450000048
Iteration 50, 5 moved objects, max delta = 0.00262369375, deltaT = 2.471999884
Iteration 51, 4 moved objects, max delta = 0.0003133955434, deltaT = 2.534000158
Iteration 52, 5 moved objects, max delta = 0.0009395744242, deltaT = 2.545999765
Iteration 53, 3 moved objects, max delta = 0.001090140658, deltaT = 2.437000036
Iteration 54, 1 moved object, max delta = 0.001011494451, deltaT = 2.436000109
Iteration 55, 1 moved object, max delta = 2.330217439e-05, deltaT = 2.43599987
Iteration 56, 0 moved object, max delta = 0, deltaT = 2.438000202
Total 56 iterations, 25723 moved objects, clustering performed in 138.368 s
Total time with loading: 140.3200002 s
