13000, 5, /data/simple/testSwap_3.matrix, object normalized
7.931999922
0, 10278, 0.9775852318, 2.840000153
1, 1036, 0.792263972, 0.2869999409
2, 685, 0.2397912794, 0.1900000572
3, 638, 0.2100112953, 0.1779999733
4, 640, 0.2251666455, 0.1770000458
5, 599, 0.1914403419, 0.1670000553
6, 485, 0.1526645932, 0.1349999905
7, 405, 0.109789355, 0.1119999886
8, 298, 0.09868249113, 0.08399987221
9, 251, 0.07790295375, 0.06999993324
10, 193, 0.06466996615, 0.05400013924
11, 167, 0.04949678693, 0.04699993134
12, 136, 0.04712898221, 0.03900003433
13, 111, 0.04942702393, 0.03099989891
14, 110, 0.03255379354, 0.03200006485
15, 68, 0.01809871681, 0.01999998093
16, 44, 0.01468974174, 0.01300001144
17, 45, 0.01405949399, 0.01300001144
18, 50, 0.01784868436, 0.0150001049
19, 55, 0.02676059331, 0.01600003242
20, 38, 0.02126181161, 0.01099991798
21, 50, 0.02639502771, 0.01499986649
22, 24, 0.01534958946, 0.008000135422
23, 20, 0.008687781054, 0.006000041962
24, 19, 0.009090487012, 0.006000041962
25, 11, 0.004898250494, 0.003999948502
26, 6, 0.001451247105, 0.003000020981
27, 6, 0.002951142502, 0.003000020981
28, 5, 0.002769067119, 0.001999855042
29, 0, 0, 0.001000165939
30, 16473, 4.579000235
12.51100016
