10000, 5, /data/simple/testSwap_0.matrix, object normalized
0.6960000992
0, 7907, 0.8710813381, 1.654999971
1, 1266, 0.6048355048, 0.2569999695
2, 330, 0.2783036233, 0.0680000782
3, 213, 0.1223788212, 0.04399991035
4, 161, 0.06709717757, 0.03400015831
5, 122, 0.06665151084, 0.02499985695
6, 113, 0.07146179656, 0.02400016785
7, 157, 0.1100747165, 0.03199982643
8, 233, 0.1743539218, 0.04800009727
9, 300, 0.1843183905, 0.0609998703
10, 251, 0.1766155343, 0.05100011826
11, 264, 0.1439464095, 0.05399990082
12, 290, 0.1497333367, 0.05900001526
13, 323, 0.1816125, 0.06700015068
14, 309, 0.158261294, 0.06299996376
15, 284, 0.1396270889, 0.05900001526
16, 219, 0.1056675909, 0.04499983788
17, 162, 0.06782930222, 0.03299999237
18, 112, 0.05135113632, 0.02300000191
19, 66, 0.0416341651, 0.01400017738
20, 50, 0.01883110342, 0.01099991798
21, 48, 0.02747833657, 0.009999990463
22, 59, 0.02697027116, 0.01300001144
23, 37, 0.02310378605, 0.007999897003
24, 15, 0.008153317106, 0.00400018692
25, 18, 0.01029432645, 0.003999948502
26, 4, 0.002008855745, 0.001999855042
27, 0, 0, 0
28, 13313, 2.767999887
3.463999987
