K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 362.382 s (all future times given in seconds)
Iteration 1, 13260 moved objects, max delta = 0.01787416147, deltaT = 89.3670001
Iteration 2, 2248 moved objects, max delta = 0.6373936347, deltaT = 86.16700006
Iteration 3, 1203 moved objects, max delta = 0.2388995852, deltaT = 79.84099984
Iteration 4, 1103 moved objects, max delta = 0.2321792434, deltaT = 95.92799997
Iteration 5, 933 moved objects, max delta = 0.1685141812, deltaT = 83.875
Iteration 6, 790 moved objects, max delta = 0.09550643245, deltaT = 79.2249999
Iteration 7, 640 moved objects, max delta = 0.07747871137, deltaT = 108.5379999
Iteration 8, 520 moved objects, max delta = 0.07439520339, deltaT = 83.37700009
Iteration 9, 458 moved objects, max delta = 0.07273197604, deltaT = 81.15700006
Iteration 10, 395 moved objects, max delta = 0.06443400392, deltaT = 80.73300004
Iteration 11, 335 moved objects, max delta = 0.0476135288, deltaT = 87.85100007
Iteration 12, 302 moved objects, max delta = 0.04564881161, deltaT = 85.79999995
Iteration 13, 241 moved objects, max delta = 0.04012225646, deltaT = 84.41100001
Iteration 14, 216 moved objects, max delta = 0.02910047294, deltaT = 86.76600003
Iteration 15, 205 moved objects, max delta = 0.02841316026, deltaT = 81.58399987
Iteration 16, 182 moved objects, max delta = 0.02743920863, deltaT = 83.24199986
Iteration 17, 178 moved objects, max delta = 0.02461710109, deltaT = 85.44299984
Iteration 18, 164 moved objects, max delta = 0.01975967361, deltaT = 92.43400002
Iteration 19, 147 moved objects, max delta = 0.01935517848, deltaT = 76.89100003
Iteration 20, 125 moved objects, max delta = 0.02413430364, deltaT = 77.15799999
Iteration 21, 148 moved objects, max delta = 0.02101758095, deltaT = 93.42700005
Iteration 22, 129 moved objects, max delta = 0.02143960666, deltaT = 84.01699996
Iteration 23, 162 moved objects, max delta = 0.02480470437, deltaT = 87.50999999
Iteration 24, 170 moved objects, max delta = 0.02954187771, deltaT = 80.46600008
Iteration 25, 170 moved objects, max delta = 0.02815573168, deltaT = 83.81599998
Iteration 26, 214 moved objects, max delta = 0.02926848913, deltaT = 93.63399982
Iteration 27, 197 moved objects, max delta = 0.04149185442, deltaT = 81.30800009
Iteration 28, 174 moved objects, max delta = 0.02972186471, deltaT = 95.55199981
Iteration 29, 176 moved objects, max delta = 0.02631895124, deltaT = 83.65799999
Iteration 30, 162 moved objects, max delta = 0.02734539155, deltaT = 88.27600002
Iteration 31, 160 moved objects, max delta = 0.02748569455, deltaT = 78.22399998
Iteration 32, 152 moved objects, max delta = 0.02391599353, deltaT = 94.96899986
Iteration 33, 175 moved objects, max delta = 0.02174669757, deltaT = 81.55799985
Iteration 34, 174 moved objects, max delta = 0.02169995544, deltaT = 85.68400002
Iteration 35, 186 moved objects, max delta = 0.01852525032, deltaT = 98.00999999
Iteration 36, 200 moved objects, max delta = 0.02338020939, deltaT = 88.26799989
Iteration 37, 207 moved objects, max delta = 0.02584461332, deltaT = 84.16599989
Iteration 38, 199 moved objects, max delta = 0.0312060091, deltaT = 92.7349999
Iteration 39, 216 moved objects, max delta = 0.03162737828, deltaT = 84.5079999
Iteration 40, 234 moved objects, max delta = 0.04148366662, deltaT = 81.81599998
Iteration 41, 248 moved objects, max delta = 0.04407392951, deltaT = 86.37599993
Iteration 42, 315 moved objects, max delta = 0.0502230114, deltaT = 94.7440002
