K-averages clustering of 15000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_5.matrix'
Loading data and computing initial values: 1.356999874 s (all future times given in seconds)
Iteration 81, 17 moved objects, max delta = 0.002762727853, deltaT = 1.710999966
Iteration 82, 14 moved objects, max delta = 0.00118633133, deltaT = 1.769000053
Iteration 83, 16 moved objects, max delta = 0.002456954272, deltaT = 1.732999802
Iteration 84, 10 moved objects, max delta = 0.002942603712, deltaT = 1.692000151
Iteration 85, 6 moved objects, max delta = 0.002334114688, deltaT = 1.740999937
Iteration 86, 4 moved objects, max delta = 0.001661455409, deltaT = 1.726999998
Iteration 87, 3 moved objects, max delta = 0.000295452879, deltaT = 1.694999933
Iteration 88, 2 moved objects, max delta = 0.0005023159532, deltaT = 1.693000078
Iteration 89, 2 moved objects, max delta = 2.356680911e-05, deltaT = 1.691999912
Iteration 90, 1 moved object, max delta = 2.186445164e-05, deltaT = 1.690000057
Iteration 91, 1 moved object, max delta = 5.826319376e-05, deltaT = 1.68900013
Iteration 92, 0 moved object, max delta = 0, deltaT = 1.690999985
Total 92 iterations, 22398 moved objects, clustering performed in 157.0710001 s
Total time with loading: 158.428 s
