19000, 5, /data/simple/testSwap_9.matrix, object normalized
17.08200002
0, 15078, 0.9164378993, 5.85800004
1, 3203, 0.8605942761, 1.243999958
2, 2116, 0.4925081616, 0.8129999638
3, 802, 0.3768415535, 0.3090000153
4, 597, 0.1025086303, 0.2300000191
5, 382, 0.09077120728, 0.1480000019
6, 314, 0.07077833874, 0.1229999065
7, 303, 0.06158996027, 0.1180000305
8, 241, 0.05947433075, 0.09500002861
9, 230, 0.04587875132, 0.08999991417
10, 199, 0.03183473258, 0.07800006866
11, 164, 0.03256578358, 0.06399989128
12, 152, 0.02549279802, 0.0600001812
13, 144, 0.02564879383, 0.05599999428
14, 110, 0.02213657623, 0.04399991035
15, 92, 0.01544585485, 0.03699994087
16, 79, 0.01744103912, 0.03100013733
17, 58, 0.007803366612, 0.02399992943
18, 57, 0.009143064997, 0.02300000191
19, 70, 0.007691977765, 0.02800011635
20, 69, 0.008761924882, 0.02799987793
21, 56, 0.009127404572, 0.02300000191
22, 41, 0.006917870628, 0.01699995995
23, 28, 0.003605297967, 0.01200008392
24, 9, 0.001348518407, 0.004999876022
25, 11, 0.004309878893, 0.005000114441
26, 16, 0.007400065987, 0.007999897003
27, 5, 0.00674457136, 0.003000020981
28, 7, 0.001587470007, 0.003999948502
29, 9, 0.001414524063, 0.005000114441
30, 13, 0.004699306464, 0.006000041962
31, 13, 0.003766795872, 0.006999969482
32, 8, 0.004399549281, 0.003999948502
33, 15, 0.002326902148, 0.006999969482
34, 18, 0.002972510893, 0.008000135422
35, 9, 0.001888777818, 0.004999876022
36, 8, 0.002475315021, 0.003999948502
37, 19, 0.004309849852, 0.009000062943
38, 22, 0.006960990555, 0.009999990463
39, 20, 0.006638376286, 0.009999990463
40, 8, 0.001884605468, 0.003999948502
41, 0, 0, 0.001000165939
42, 24795, 9.657999992
26.74000001
