16000, 5, /data/simple/testSwap_6.matrix, object normalized
289.5209999
0, 12632, 0.9213082391, 37.69000006
1, 436, 0.458752293, 0.9290001392
2, 232, 0.0578723856, 0.4249999523
3, 158, 0.05078257224, 0.2850000858
4, 127, 0.03035399493, 0.1899998188
5, 106, 0.02979360417, 0.2730000019
6, 84, 0.02093326772, 0.1800000668
7, 66, 0.01744659275, 0.07500004768
8, 90, 0.01500884794, 0.1740000248
9, 90, 0.01962797319, 0.1699998379
10, 87, 0.01483218258, 0.1600000858
11, 68, 0.01414665525, 0.08299994469
12, 74, 0.01441910287, 0.09100008011
13, 63, 0.01393856347, 0.09200000763
14, 69, 0.01426703687, 0.1270000935
15, 78, 0.01767662334, 0.1819999218
16, 85, 0.01470112723, 0.1819999218
17, 77, 0.02516681353, 0.2070000172
18, 114, 0.02899979835, 0.1819999218
19, 145, 0.04154072465, 0.2680001259
20, 138, 0.03247335817, 0.2909998894
21, 150, 0.03200726122, 0.245000124
22, 155, 0.03264693584, 0.2369999886
23, 145, 0.0283133933, 0.1510000229
24, 177, 0.02854307243, 0.256000042
25, 151, 0.03940231134, 0.2159998417
26, 221, 0.05464365131, 0.503000021
27, 225, 0.06381406942, 0.4170000553
28, 235, 0.06253526655, 0.4049999714
29, 289, 0.06271383359, 0.7509999275
30, 351, 0.1070206691, 0.6760001183
31, 357, 0.1173423351, 0.7309999466
32, 426, 0.1200111285, 0.9309999943
33, 446, 0.1105020094, 0.9700000286
34, 522, 0.1289610442, 0.9909999371
35, 494, 0.1421514257, 1.036000013
36, 416, 0.1306475838, 0.878000021
37, 301, 0.1116795097, 0.5320000648
38, 241, 0.06541459471, 0.4960000515
39, 164, 0.03690315837, 0.2379999161
40, 102, 0.02648021202, 0.1909999847
41, 68, 0.01695155835, 0.08899998665
42, 43, 0.01231054855, 0.09400010109
43, 32, 0.01158769068, 0.04499983788
44, 22, 0.008422532564, 0.05599999428
45, 12, 0.003802627129, 0.02400016785
46, 11, 0.002382552923, 0.08599996567
47, 17, 0.005082311372, 0.1099998951
48, 24, 0.003858825587, 0.02500009537
49, 11, 0.005073229056, 0.01999998093
50, 11, 0.002881009102, 0.02900004387
51, 4, 0.002974283586, 0.009999990463
52, 4, 0.003336270503, 0.003000020981
53, 0, 0, 0.0009999275208
54, 20846, 53.73600006
343.3
