K-averages clustering of 14000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_4.matrix', metrics: object normalized
Loading data and computing initial values: 9.36500001 s (all future times given in seconds)
Iteration 1, 11049 moved objects, max delta = 0.9997568621, deltaT = 3.234999895
Iteration 2, 1255 moved objects, max delta = 0.7184207288, deltaT = 0.3740000725
Iteration 3, 413 moved objects, max delta = 0.1910078544, deltaT = 0.1240000725
Iteration 4, 334 moved objects, max delta = 0.1355206432, deltaT = 0.1010000706
Iteration 5, 237 moved objects, max delta = 0.08695459141, deltaT = 0.07099986076
Iteration 6, 131 moved objects, max delta = 0.04866992022, deltaT = 0.03999996185
Iteration 7, 106 moved objects, max delta = 0.04318571714, deltaT = 0.03299999237
Iteration 8, 97 moved objects, max delta = 0.04047164814, deltaT = 0.02900004387
Iteration 9, 91 moved objects, max delta = 0.02914330293, deltaT = 0.02900004387
Iteration 10, 102 moved objects, max delta = 0.03272420686, deltaT = 0.03099989891
Iteration 11, 97 moved objects, max delta = 0.03755117241, deltaT = 0.02999997139
Iteration 12, 100 moved objects, max delta = 0.04649428835, deltaT = 0.03100013733
Iteration 13, 132 moved objects, max delta = 0.05687042694, deltaT = 0.03999996185
Iteration 14, 183 moved objects, max delta = 0.0828570853, deltaT = 0.05500006676
Iteration 15, 174 moved objects, max delta = 0.08164607104, deltaT = 0.0529999733
Iteration 16, 202 moved objects, max delta = 0.07148844177, deltaT = 0.0609998703
Iteration 17, 273 moved objects, max delta = 0.09049965635, deltaT = 0.08200001717
Iteration 18, 299 moved objects, max delta = 0.1113350417, deltaT = 0.09000015259
Iteration 19, 373 moved objects, max delta = 0.1444852512, deltaT = 0.1129999161
Iteration 20, 354 moved objects, max delta = 0.1353991806, deltaT = 0.1059999466
Iteration 21, 302 moved objects, max delta = 0.1230306664, deltaT = 0.09100008011
Iteration 22, 264 moved objects, max delta = 0.09573754702, deltaT = 0.07899999619
Iteration 23, 163 moved objects, max delta = 0.07309552234, deltaT = 0.04999995232
Iteration 24, 122 moved objects, max delta = 0.04155052626, deltaT = 0.03699994087
Iteration 25, 80 moved objects, max delta = 0.03573100178, deltaT = 0.02500009537
Iteration 26, 85 moved objects, max delta = 0.02504388344, deltaT = 0.02600002289
Iteration 27, 77 moved objects, max delta = 0.02799606712, deltaT = 0.02399992943
Iteration 28, 60 moved objects, max delta = 0.02416290619, deltaT = 0.01900005341
Iteration 29, 63 moved objects, max delta = 0.01896594202, deltaT = 0.01999998093
Iteration 30, 57 moved objects, max delta = 0.02229778734, deltaT = 0.01800012589
Iteration 31, 47 moved objects, max delta = 0.01677017014, deltaT = 0.01499986649
Iteration 32, 28 moved objects, max delta = 0.01136915221, deltaT = 0.009000062943
Iteration 33, 13 moved objects, max delta = 0.008408045335, deltaT = 0.004999876022
Iteration 34, 11 moved objects, max delta = 0.004126199029, deltaT = 0.00400018692
Iteration 35, 8 moved objects, max delta = 0.004509547116, deltaT = 0.003999948502
Iteration 36, 6 moved objects, max delta = 0.003747516632, deltaT = 0.001999855042
Iteration 37, 8 moved objects, max delta = 0.003472622897, deltaT = 0.00400018692
Iteration 38, 6 moved objects, max delta = 0.002514001933, deltaT = 0.003000020981
Iteration 39, 10 moved objects, max delta = 0.002451012269, deltaT = 0.003999948502
Iteration 40, 1 moved object, max delta = 0.0008305642083, deltaT = 0.0009999275208
Iteration 41, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 41 iterations, 17413 moved objects, clustering performed in 5.16899991 s
Total time with loading: 14.53399992 s
