K-averages clustering of 15000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_5.matrix'
Loading data and computing initial values: 148.0900002 s (all future times given in seconds)
Iteration 1, 11636 moved objects, max delta = 0.01607442531, deltaT = 26.30400014
Iteration 2, 2723 moved objects, max delta = 0.4235594572, deltaT = 53.15700006
Iteration 3, 1544 moved objects, max delta = 0.2940752094, deltaT = 31.16899991
Iteration 4, 953 moved objects, max delta = 0.2247346575, deltaT = 19.81799984
Iteration 5, 470 moved objects, max delta = 0.05833058249, deltaT = 26.78299999
Iteration 6, 294 moved objects, max delta = 0.04303504607, deltaT = 29.06900001
Iteration 7, 206 moved objects, max delta = 0.03736955617, deltaT = 16.03100014
Iteration 8, 178 moved objects, max delta = 0.02938870299, deltaT = 20.75999999
Iteration 9, 151 moved objects, max delta = 0.02559226786, deltaT = 32.42199993
Iteration 10, 156 moved objects, max delta = 0.02433450597, deltaT = 17.28900003
Iteration 11, 142 moved objects, max delta = 0.0239857949, deltaT = 37.05299997
Iteration 12, 124 moved objects, max delta = 0.0254742636, deltaT = 10.2249999
Iteration 13, 113 moved objects, max delta = 0.02070417049, deltaT = 16.398
Iteration 14, 112 moved objects, max delta = 0.01498037156, deltaT = 13.43300009
Iteration 15, 108 moved objects, max delta = 0.01646749682, deltaT = 34.61799979
Iteration 16, 104 moved objects, max delta = 0.01581492369, deltaT = 12.26300001
Iteration 17, 115 moved objects, max delta = 0.01902482529, deltaT = 30.06800008
Iteration 18, 106 moved objects, max delta = 0.0169705079, deltaT = 14.46599984
Iteration 19, 113 moved objects, max delta = 0.02276160605, deltaT = 20.49499989
Iteration 20, 119 moved objects, max delta = 0.0204690146, deltaT = 19.74900007
Iteration 21, 122 moved objects, max delta = 0.02099805719, deltaT = 29.8440001
Iteration 22, 135 moved objects, max delta = 0.02528032201, deltaT = 11.55099988
Iteration 23, 136 moved objects, max delta = 0.02328527832, deltaT = 29.46300006
Iteration 24, 131 moved objects, max delta = 0.02578114904, deltaT = 31.89499998
Iteration 25, 134 moved objects, max delta = 0.02299427335, deltaT = 26.15199995
Iteration 26, 154 moved objects, max delta = 0.02876613235, deltaT = 17.79300022
Iteration 27, 152 moved objects, max delta = 0.0279450171, deltaT = 20.49900007
Iteration 28, 154 moved objects, max delta = 0.02479385959, deltaT = 45.73100019
Iteration 29, 158 moved objects, max delta = 0.02374639611, deltaT = 42.28800011
Iteration 30, 167 moved objects, max delta = 0.02634618899, deltaT = 17.70499992
Iteration 31, 178 moved objects, max delta = 0.02513135164, deltaT = 27.88300014
Iteration 32, 174 moved objects, max delta = 0.02859121502, deltaT = 20.13899994
Iteration 33, 144 moved objects, max delta = 0.02899031718, deltaT = 21.80999994
Iteration 34, 145 moved objects, max delta = 0.01810163204, deltaT = 22.14300013
Iteration 35, 128 moved objects, max delta = 0.01961264232, deltaT = 24.61100006
Iteration 36, 118 moved objects, max delta = 0.0204501253, deltaT = 34.4289999
Iteration 37, 122 moved objects, max delta = 0.01726711075, deltaT = 23.54900002
Iteration 38, 131 moved objects, max delta = 0.0160962094, deltaT = 36.60299993
Iteration 39, 122 moved objects, max delta = 0.01753733729, deltaT = 27.73800015
Iteration 40, 116 moved objects, max delta = 0.01968342084, deltaT = 31.49500012
Iteration 41, 109 moved objects, max delta = 0.01760231896, deltaT = 15.57500005
Iteration 42, 114 moved objects, max delta = 0.01929905858, deltaT = 20.21000004
Iteration 43, 128 moved objects, max delta = 0.02191647946, deltaT = 21.38999987
Iteration 44, 124 moved objects, max delta = 0.03158659694, deltaT = 21.63400006
Iteration 45, 131 moved objects, max delta = 0.02811125627, deltaT = 17.33999991
Iteration 46, 131 moved objects, max delta = 0.02896347998, deltaT = 39.02200007
Iteration 47, 128 moved objects, max delta = 0.02704652384, deltaT = 18.6960001
Iteration 48, 120 moved objects, max delta = 0.02900074034, deltaT = 29.0480001
Iteration 49, 124 moved objects, max delta = 0.02373494275, deltaT = 14.12699986
Iteration 50, 116 moved objects, max delta = 0.01677117129, deltaT = 50.16400003
Iteration 51, 113 moved objects, max delta = 0.01873860132, deltaT = 22.5250001
Iteration 52, 109 moved objects, max delta = 0.01624106467, deltaT = 25.12800002
Iteration 53, 95 moved objects, max delta = 0.01651425761, deltaT = 20.11800003
Iteration 54, 76 moved objects, max delta = 0.01504252417, deltaT = 25.55200005
Iteration 55, 66 moved objects, max delta = 0.01338043207, deltaT = 32.96700001
Iteration 56, 54 moved objects, max delta = 0.01086982475, deltaT = 20.11800003
Iteration 57, 47 moved objects, max delta = 0.00876304051, deltaT = 28.85800004
Iteration 58, 40 moved objects, max delta = 0.008467028229, deltaT = 20.25099993
Iteration 59, 36 moved objects, max delta = 0.00738164427, deltaT = 34.04299998
Iteration 60, 27 moved objects, max delta = 0.00667617577, deltaT = 28.30099988
Iteration 61, 23 moved objects, max delta = 0.004235143266, deltaT = 28.31899977
Iteration 62, 14 moved objects, max delta = 0.003085684338, deltaT = 31.98699999
Iteration 63, 11 moved objects, max delta = 0.001904629356, deltaT = 36.8670001
Iteration 64, 17 moved objects, max delta = 0.001744747477, deltaT = 24.60099983
Iteration 65, 17 moved objects, max delta = 0.002026421686, deltaT = 25.67700005
Iteration 66, 14 moved objects, max delta = 0.002153642982, deltaT = 22.00899982
Iteration 67, 11 moved objects, max delta = 0.00189128264, deltaT = 41.70499992
Iteration 68, 10 moved objects, max delta = 0.002643974863, deltaT = 17.66299987
Iteration 69, 11 moved objects, max delta = 0.00257745036, deltaT = 24.36199999
Iteration 70, 9 moved objects, max delta = 0.003178888124, deltaT = 45.4690001
Iteration 71, 11 moved objects, max delta = 0.001245378511, deltaT = 61.796
Iteration 72, 8 moved objects, max delta = 0.000661653162, deltaT = 18.94199991
Iteration 73, 11 moved objects, max delta = 0.001155622047, deltaT = 25.329
Iteration 74, 9 moved objects, max delta = 0.001100878705, deltaT = 13.03299999
Iteration 75, 8 moved objects, max delta = 0.001270172956, deltaT = 34.86699986
Iteration 76, 4 moved objects, max delta = 0.0007361461275, deltaT = 15.25300002
Iteration 77, 5 moved objects, max delta = 0.0008132341429, deltaT = 28.31299996
Iteration 78, 5 moved objects, max delta = 0.0004202540884, deltaT = 23.81599998
Iteration 79, 6 moved objects, max delta = 0.001550997804, deltaT = 42.5769999
Iteration 80, 2 moved objects, max delta = 0.0007999838414, deltaT = 19.43099999
Iteration 81, 5 moved objects, max delta = 0.0002758927669, deltaT = 33.15100002
Iteration 82, 6 moved objects, max delta = 0.0006509954375, deltaT = 27.60300016
Iteration 83, 3 moved objects, max delta = 0.0009599946907, deltaT = 28.8349998
Iteration 84, 4 moved objects, max delta = 0.0008023752034, deltaT = 48.51099992
Iteration 85, 2 moved objects, max delta = 0.0009878196884, deltaT = 15.125
Iteration 86, 1 moved object, max delta = 1.93908557e-06, deltaT = 31.37700009
Iteration 87, 1 moved object, max delta = 1.385202757e-05, deltaT = 20.49599981
Iteration 88, 0 moved object, max delta = 0, deltaT = 22.91499996
Total 88 iterations, 24404 moved objects, clustering performed in 2344.331 s
Total time with loading: 2492.502 s
