K-averages clustering of 11000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_1.matrix'
Loading data and computing initial values: 0.7259998322 s (all future times given in seconds)
Iteration 1, 8550 moved objects, max delta = 0.01848710135, deltaT = 0.9450001717
Iteration 2, 1243 moved objects, max delta = 0.4493906321, deltaT = 0.9239997864
Iteration 3, 822 moved objects, max delta = 0.1871832418, deltaT = 0.9130001068
Iteration 4, 604 moved objects, max delta = 0.1561780617, deltaT = 0.9430000782
Iteration 5, 432 moved objects, max delta = 0.1219738683, deltaT = 0.9559998512
Iteration 6, 325 moved objects, max delta = 0.07111736393, deltaT = 0.9140000343
Iteration 7, 277 moved objects, max delta = 0.05606902675, deltaT = 0.9149999619
Iteration 8, 199 moved objects, max delta = 0.03744511559, deltaT = 0.9100000858
Iteration 9, 190 moved objects, max delta = 0.03662433509, deltaT = 0.9119999409
Iteration 10, 147 moved objects, max delta = 0.03383299617, deltaT = 0.9079999924
Iteration 11, 139 moved objects, max delta = 0.02220247851, deltaT = 0.9420001507
Iteration 12, 102 moved objects, max delta = 0.01843385582, deltaT = 0.9519999027
Iteration 13, 90 moved objects, max delta = 0.01672753857, deltaT = 0.9509999752
Iteration 14, 79 moved objects, max delta = 0.0154839637, deltaT = 0.9140000343
Iteration 15, 69 moved objects, max delta = 0.009857282249, deltaT = 0.9100000858
Iteration 16, 48 moved objects, max delta = 0.009368247336, deltaT = 0.9110000134
Iteration 17, 43 moved objects, max delta = 0.006220814656, deltaT = 0.9129998684
Iteration 18, 45 moved objects, max delta = 0.007395902203, deltaT = 0.9100000858
Iteration 19, 37 moved objects, max delta = 0.008260519903, deltaT = 0.9079999924
Iteration 20, 29 moved objects, max delta = 0.006665843017, deltaT = 0.9089999199
Iteration 21, 29 moved objects, max delta = 0.005485706863, deltaT = 0.9100000858
Iteration 22, 24 moved objects, max delta = 0.008926722656, deltaT = 0.9129998684
Iteration 23, 22 moved objects, max delta = 0.006480440628, deltaT = 0.9100000858
Iteration 24, 20 moved objects, max delta = 0.004364701971, deltaT = 0.9140000343
Iteration 25, 23 moved objects, max delta = 0.004652501559, deltaT = 0.9089999199
Iteration 26, 18 moved objects, max delta = 0.005114643424, deltaT = 0.9110000134
Iteration 27, 21 moved objects, max delta = 0.004581554024, deltaT = 0.9079999924
Iteration 28, 28 moved objects, max delta = 0.0053379057, deltaT = 0.9089999199
Iteration 29, 33 moved objects, max delta = 0.005019073376, deltaT = 0.9070000648
Iteration 30, 28 moved objects, max delta = 0.006633485667, deltaT = 0.9090001583
Iteration 31, 36 moved objects, max delta = 0.008984511631, deltaT = 0.9110000134
Iteration 32, 36 moved objects, max delta = 0.01029490653, deltaT = 0.9099998474
Iteration 33, 47 moved objects, max delta = 0.00957017407, deltaT = 0.9110000134
Iteration 34, 47 moved objects, max delta = 0.01098913943, deltaT = 0.9130001068
Iteration 35, 51 moved objects, max delta = 0.01038956133, deltaT = 0.9110000134
Iteration 36, 51 moved objects, max delta = 0.009987924008, deltaT = 0.9119999409
