K-averages clustering of 10000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_0.matrix', metrics: object normalized
Loading data and computing initial values: 0.7219998837 s (all future times given in seconds)
Iteration 1, 7873 moved objects, max delta = 0.9604228267, deltaT = 1.595000029
Iteration 2, 466 moved objects, max delta = 0.4844757039, deltaT = 0.09500002861
Iteration 3, 184 moved objects, max delta = 0.1328248319, deltaT = 0.03800010681
Iteration 4, 104 moved objects, max delta = 0.0520546707, deltaT = 0.02099990845
Iteration 5, 92 moved objects, max delta = 0.04671192411, deltaT = 0.01999998093
Iteration 6, 78 moved objects, max delta = 0.04588313164, deltaT = 0.01600003242
Iteration 7, 57 moved objects, max delta = 0.02927915325, deltaT = 0.01300001144
Iteration 8, 42 moved objects, max delta = 0.02297731921, deltaT = 0.009000062943
Iteration 9, 31 moved objects, max delta = 0.02289778434, deltaT = 0.006999969482
Iteration 10, 33 moved objects, max delta = 0.0185816334, deltaT = 0.007999897003
Iteration 11, 24 moved objects, max delta = 0.01661209221, deltaT = 0.006000041962
Iteration 12, 14 moved objects, max delta = 0.005597756183, deltaT = 0.003000020981
Iteration 13, 24 moved objects, max delta = 0.01106056002, deltaT = 0.006000041962
Iteration 14, 45 moved objects, max delta = 0.01463004968, deltaT = 0.009999990463
Iteration 15, 45 moved objects, max delta = 0.01567837314, deltaT = 0.009999990463
Iteration 16, 48 moved objects, max delta = 0.01782422576, deltaT = 0.01099991798
Iteration 17, 72 moved objects, max delta = 0.04496144909, deltaT = 0.0150001049
Iteration 18, 77 moved objects, max delta = 0.04492325845, deltaT = 0.01699995995
Iteration 19, 109 moved objects, max delta = 0.06580216096, deltaT = 0.02300000191
Iteration 20, 96 moved objects, max delta = 0.05821045641, deltaT = 0.02099990845
Iteration 21, 91 moved objects, max delta = 0.06037313256, deltaT = 0.01900005341
Iteration 22, 111 moved objects, max delta = 0.05025074948, deltaT = 0.02399992943
Iteration 23, 132 moved objects, max delta = 0.06501313966, deltaT = 0.02800011635
Iteration 24, 188 moved objects, max delta = 0.08947345296, deltaT = 0.03900003433
Iteration 25, 166 moved objects, max delta = 0.08999772906, deltaT = 0.03399991989
Iteration 26, 136 moved objects, max delta = 0.06893883562, deltaT = 0.02800011635
Iteration 27, 128 moved objects, max delta = 0.05845587011, deltaT = 0.02699995041
Iteration 28, 79 moved objects, max delta = 0.0476768155, deltaT = 0.01799988747
Iteration 29, 68 moved objects, max delta = 0.02513321536, deltaT = 0.0150001049
Iteration 30, 52 moved objects, max delta = 0.02950464035, deltaT = 0.0119998455
Iteration 31, 63 moved objects, max delta = 0.05233621707, deltaT = 0.01400017738
Iteration 32, 65 moved objects, max delta = 0.05379384772, deltaT = 0.01499986649
Iteration 33, 109 moved objects, max delta = 0.07419526694, deltaT = 0.02400016785
Iteration 34, 131 moved objects, max delta = 0.09947173065, deltaT = 0.02799987793
Iteration 35, 167 moved objects, max delta = 0.09021150776, deltaT = 0.03600001335
Iteration 36, 172 moved objects, max delta = 0.09960450072, deltaT = 0.03800010681
Iteration 37, 165 moved objects, max delta = 0.1072868812, deltaT = 0.03499984741
Iteration 38, 146 moved objects, max delta = 0.09921896093, deltaT = 0.03200006485
Iteration 39, 128 moved objects, max delta = 0.06411257395, deltaT = 0.02799987793
Iteration 40, 103 moved objects, max delta = 0.05376997781, deltaT = 0.02300000191
Iteration 41, 154 moved objects, max delta = 0.05775161974, deltaT = 0.03299999237
Iteration 42, 118 moved objects, max delta = 0.05968920191, deltaT = 0.02600002289
Iteration 43, 79 moved objects, max delta = 0.03915329794, deltaT = 0.01800012589
Iteration 44, 66 moved objects, max delta = 0.036721242, deltaT = 0.01399993896
Iteration 45, 64 moved objects, max delta = 0.03253758648, deltaT = 0.0150001049
Iteration 46, 76 moved objects, max delta = 0.05032132951, deltaT = 0.01699995995
Iteration 47, 108 moved objects, max delta = 0.05694893854, deltaT = 0.02300000191
Iteration 48, 62 moved objects, max delta = 0.04599103377, deltaT = 0.01399993896
Iteration 49, 70 moved objects, max delta = 0.0332347939, deltaT = 0.01600003242
Iteration 50, 60 moved objects, max delta = 0.03954436261, deltaT = 0.01300001144
Iteration 51, 63 moved objects, max delta = 0.0296093025, deltaT = 0.01499986649
Iteration 52, 45 moved objects, max delta = 0.0329746475, deltaT = 0.009999990463
Iteration 53, 53 moved objects, max delta = 0.02456957668, deltaT = 0.01200008392
Iteration 54, 44 moved objects, max delta = 0.02186044075, deltaT = 0.009999990463
Iteration 55, 46 moved objects, max delta = 0.02622007092, deltaT = 0.0110001564
Iteration 56, 23 moved objects, max delta = 0.02206739585, deltaT = 0.004999876022
Iteration 57, 16 moved objects, max delta = 0.009835296922, deltaT = 0.003999948502
Iteration 58, 9 moved objects, max delta = 0.006665592923, deltaT = 0.003000020981
Iteration 59, 6 moved objects, max delta = 0.004369083023, deltaT = 0.00200009346
Iteration 60, 6 moved objects, max delta = 0.003386840006, deltaT = 0.001999855042
Iteration 61, 0 moved object, max delta = 0, deltaT = 0.001000165939
Total 61 iterations, 13082 moved objects, clustering performed in 2.725000143 s
Total time with loading: 3.447000027 s
