K-averages clustering of 15000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_5.matrix'
Loading data and computing initial values: 1.355999947 s (all future times given in seconds)
Iteration 1, 11608 moved objects, max delta = 0.01784973467, deltaT = 1.796000004
Iteration 2, 2103 moved objects, max delta = 0.3740562554, deltaT = 1.75
Iteration 3, 1383 moved objects, max delta = 0.169791493, deltaT = 1.746999979
Iteration 4, 1025 moved objects, max delta = 0.2332900829, deltaT = 1.748000145
Iteration 5, 624 moved objects, max delta = 0.0972773966, deltaT = 1.752999783
Iteration 6, 536 moved objects, max delta = 0.08907309993, deltaT = 1.803000212
Iteration 7, 444 moved objects, max delta = 0.06553021227, deltaT = 1.756999969
Iteration 8, 325 moved objects, max delta = 0.05380953734, deltaT = 1.710999966
Iteration 9, 245 moved objects, max delta = 0.04063947241, deltaT = 1.710000038
Iteration 10, 205 moved objects, max delta = 0.03260704, deltaT = 1.700999975
Iteration 11, 168 moved objects, max delta = 0.02277963328, deltaT = 1.743000031
Iteration 12, 152 moved objects, max delta = 0.01599137902, deltaT = 1.697000027
Iteration 13, 136 moved objects, max delta = 0.01537724266, deltaT = 1.699999809
Iteration 14, 123 moved objects, max delta = 0.01492054475, deltaT = 1.696000099
Iteration 15, 105 moved objects, max delta = 0.0139233704, deltaT = 1.694999933
Iteration 16, 95 moved objects, max delta = 0.01004269875, deltaT = 1.696000099
Iteration 17, 101 moved objects, max delta = 0.01139815977, deltaT = 1.698999882
Iteration 18, 83 moved objects, max delta = 0.01391781873, deltaT = 1.697000027
Iteration 19, 79 moved objects, max delta = 0.01264416182, deltaT = 1.694000006
Iteration 20, 82 moved objects, max delta = 0.01209730699, deltaT = 1.709000111
Iteration 21, 101 moved objects, max delta = 0.01294428228, deltaT = 1.703999996
Iteration 22, 121 moved objects, max delta = 0.02077128717, deltaT = 1.697000027
Iteration 23, 126 moved objects, max delta = 0.02608763886, deltaT = 1.69299984
Iteration 24, 142 moved objects, max delta = 0.0270138122, deltaT = 1.690999985
Iteration 25, 134 moved objects, max delta = 0.02688996404, deltaT = 1.693000078
Iteration 26, 113 moved objects, max delta = 0.02356448365, deltaT = 1.729000092
Iteration 27, 100 moved objects, max delta = 0.01660741379, deltaT = 1.763999939
Iteration 28, 89 moved objects, max delta = 0.01514919083, deltaT = 1.751999855
Iteration 29, 85 moved objects, max delta = 0.01542998343, deltaT = 1.762000084
Iteration 30, 71 moved objects, max delta = 0.01487749808, deltaT = 1.730000019
Iteration 31, 66 moved objects, max delta = 0.01399730833, deltaT = 1.726000071
Iteration 32, 71 moved objects, max delta = 0.0103362084, deltaT = 1.69299984
Iteration 33, 80 moved objects, max delta = 0.0122822011, deltaT = 1.693000078
Iteration 34, 112 moved objects, max delta = 0.02190264667, deltaT = 1.690999985
Iteration 35, 128 moved objects, max delta = 0.02518247778, deltaT = 1.692000151
Iteration 36, 133 moved objects, max delta = 0.03001497091, deltaT = 1.697999954
Iteration 37, 127 moved objects, max delta = 0.02605936921, deltaT = 1.697999954
Iteration 38, 150 moved objects, max delta = 0.0316973216, deltaT = 1.726999998
Iteration 39, 149 moved objects, max delta = 0.02915476147, deltaT = 1.690999985
Iteration 40, 164 moved objects, max delta = 0.02733255697, deltaT = 1.70600009
Iteration 41, 186 moved objects, max delta = 0.03721577335, deltaT = 1.723999977
Iteration 42, 208 moved objects, max delta = 0.03679726918, deltaT = 1.707999945
Iteration 43, 214 moved objects, max delta = 0.05365915506, deltaT = 1.730999947
Iteration 44, 243 moved objects, max delta = 0.05054685989, deltaT = 1.714999914
Iteration 45, 230 moved objects, max delta = 0.06131140139, deltaT = 1.769000053
Iteration 46, 216 moved objects, max delta = 0.0522182366, deltaT = 1.765000105
Iteration 47, 208 moved objects, max delta = 0.03836336757, deltaT = 1.697000027
Iteration 48, 180 moved objects, max delta = 0.03738847325, deltaT = 1.695999861
Iteration 49, 164 moved objects, max delta = 0.02768952746, deltaT = 1.697999954
Iteration 50, 142 moved objects, max delta = 0.03000389802, deltaT = 1.695000172
Iteration 51, 122 moved objects, max delta = 0.02318325337, deltaT = 1.736000061
Iteration 52, 107 moved objects, max delta = 0.01782573979, deltaT = 1.691999912
Iteration 53, 105 moved objects, max delta = 0.01755351168, deltaT = 1.727999926
Iteration 54, 75 moved objects, max delta = 0.01326767343, deltaT = 1.696000099
Iteration 55, 59 moved objects, max delta = 0.01037362733, deltaT = 1.694999933
Iteration 56, 42 moved objects, max delta = 0.008787075322, deltaT = 1.700000048
Iteration 57, 26 moved objects, max delta = 0.005643697937, deltaT = 1.697000027
Iteration 58, 24 moved objects, max delta = 0.005050260134, deltaT = 1.697999954
Iteration 59, 23 moved objects, max delta = 0.003447302366, deltaT = 1.698999882
Iteration 60, 23 moved objects, max delta = 0.004157226696, deltaT = 1.698000193
Iteration 61, 17 moved objects, max delta = 0.003495426898, deltaT = 1.724999905
Iteration 62, 14 moved objects, max delta = 0.002611201606, deltaT = 1.710000038
Iteration 63, 6 moved objects, max delta = 0.002038161461, deltaT = 1.759000063
Iteration 64, 2 moved objects, max delta = 0.0008468466287, deltaT = 1.695999861
Iteration 65, 4 moved objects, max delta = 0.0006058898689, deltaT = 1.694999933
Iteration 66, 1 moved object, max delta = 9.05396135e-05, deltaT = 1.696000099
Iteration 67, 2 moved objects, max delta = 0.0004374166638, deltaT = 1.770999908
Iteration 68, 3 moved objects, max delta = 0.001087735663, deltaT = 1.769000053
Iteration 69, 2 moved objects, max delta = 0.000471133145, deltaT = 1.766000032
Iteration 70, 1 moved object, max delta = 0.0002404975979, deltaT = 1.696000099
Iteration 71, 0 moved object, max delta = 0, deltaT = 1.701999903
Total 71 iterations, 24533 moved objects, clustering performed in 121.954 s
Total time with loading: 123.3099999 s
