K-averages clustering of 16000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_6.matrix'
Loading data and computing initial values: 385.6469998 s (all future times given in seconds)
Iteration 1, 12413 moved objects, max delta = 0.01521786924, deltaT = 157.2490001
Iteration 2, 2260 moved objects, max delta = 0.3496317162, deltaT = 164.148
Iteration 3, 971 moved objects, max delta = 0.1466045338, deltaT = 145.575
Iteration 4, 600 moved objects, max delta = 0.0955183981, deltaT = 164.2940001
Iteration 5, 415 moved objects, max delta = 0.0813170344, deltaT = 152.2020001
Iteration 6, 395 moved objects, max delta = 0.07112881503, deltaT = 155.7049999
Iteration 7, 378 moved objects, max delta = 0.07331976848, deltaT = 161.6389999
Iteration 8, 382 moved objects, max delta = 0.06429540256, deltaT = 148.967
Iteration 9, 384 moved objects, max delta = 0.0692396964, deltaT = 164.056
Iteration 10, 391 moved objects, max delta = 0.06182380999, deltaT = 169.6229999
Iteration 11, 394 moved objects, max delta = 0.0634234067, deltaT = 161.5439999
Iteration 12, 397 moved objects, max delta = 0.06632918978, deltaT = 160.6230001
Iteration 13, 405 moved objects, max delta = 0.06097429983, deltaT = 162.381
Iteration 14, 369 moved objects, max delta = 0.05653475761, deltaT = 154.2460001
Iteration 15, 355 moved objects, max delta = 0.05549086313, deltaT = 149.362
Iteration 16, 301 moved objects, max delta = 0.05035353785, deltaT = 153.4590001
Iteration 17, 274 moved objects, max delta = 0.04526801423, deltaT = 151.6790001
Iteration 18, 246 moved objects, max delta = 0.04225739199, deltaT = 162.3889999
Iteration 19, 200 moved objects, max delta = 0.03507595603, deltaT = 155.243
Iteration 20, 162 moved objects, max delta = 0.02940864868, deltaT = 165.973
Iteration 21, 131 moved objects, max delta = 0.02577081407, deltaT = 159.5880001
Iteration 22, 111 moved objects, max delta = 0.01942017775, deltaT = 151.8500001
Iteration 23, 99 moved objects, max delta = 0.01680301932, deltaT = 157.171
Iteration 24, 77 moved objects, max delta = 0.01425015129, deltaT = 147.72
Iteration 25, 66 moved objects, max delta = 0.0122916555, deltaT = 158.355
Iteration 26, 68 moved objects, max delta = 0.01061368442, deltaT = 146.3440001
Iteration 27, 69 moved objects, max delta = 0.009428898938, deltaT = 146.0280001
Iteration 28, 77 moved objects, max delta = 0.01072663174, deltaT = 144.391
Iteration 29, 67 moved objects, max delta = 0.01101748436, deltaT = 167.2649999
Iteration 30, 49 moved objects, max delta = 0.009160545535, deltaT = 160.322
Iteration 31, 53 moved objects, max delta = 0.007971074223, deltaT = 156.0680001
Iteration 32, 38 moved objects, max delta = 0.008044915127, deltaT = 150.8870001
Iteration 33, 31 moved objects, max delta = 0.005717088205, deltaT = 167.2359998
Iteration 34, 29 moved objects, max delta = 0.007155727042, deltaT = 150.5339999
Iteration 35, 31 moved objects, max delta = 0.004750758593, deltaT = 155.6789999
Iteration 36, 31 moved objects, max delta = 0.006412284947, deltaT = 146.9749999
Iteration 37, 31 moved objects, max delta = 0.00490736899, deltaT = 158.6629999
Iteration 38, 29 moved objects, max delta = 0.007479853219, deltaT = 171.7610002
Iteration 39, 22 moved objects, max delta = 0.004678917197, deltaT = 147.892
Iteration 40, 9 moved objects, max delta = 0.004521873302, deltaT = 164.9060001
Iteration 41, 3 moved objects, max delta = 0.0008868800022, deltaT = 167.7610002
Iteration 42, 2 moved objects, max delta = 0.0006433740716, deltaT = 153.5430002
Iteration 43, 2 moved objects, max delta = 0.0007796386156, deltaT = 147.1369998
Iteration 44, 1 moved object, max delta = 0.0001516309893, deltaT = 157.9349999
Iteration 45, 1 moved object, max delta = 6.762846406e-06, deltaT = 149.8369999
Iteration 46, 1 moved object, max delta = 6.207718576e-07, deltaT = 158.947
Iteration 47, 2 moved objects, max delta = 0.000343497682, deltaT = 152.8959999
Iteration 48, 2 moved objects, max delta = 0.0007933861715, deltaT = 159.743
Iteration 49, 1 moved object, max delta = 7.153290398e-05, deltaT = 156.402
Iteration 50, 1 moved object, max delta = 0.0001519233267, deltaT = 152.721
Iteration 51, 0 moved object, max delta = 0, deltaT = 151.9460001
Total 51 iterations, 22826 moved objects, clustering performed in 7982.939 s
Total time with loading: 8368.694 s
