K-averages clustering of 15000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_5.matrix', metrics: object normalized
Loading data and computing initial values: 1.565000057 s (all future times given in seconds)
Iteration 1, 11816 moved objects, max delta = 0.9138390909, deltaT = 3.602999926
Iteration 2, 1170 moved objects, max delta = 0.7152195732, deltaT = 0.3580000401
Iteration 3, 546 moved objects, max delta = 0.236710974, deltaT = 0.1660001278
Iteration 4, 466 moved objects, max delta = 0.1319450385, deltaT = 0.1429998875
Iteration 5, 484 moved objects, max delta = 0.1042596639, deltaT = 0.1489999294
Iteration 6, 410 moved objects, max delta = 0.09694432957, deltaT = 0.125
Iteration 7, 395 moved objects, max delta = 0.0820060782, deltaT = 0.121999979
Iteration 8, 371 moved objects, max delta = 0.07190203756, deltaT = 0.1150000095
Iteration 9, 314 moved objects, max delta = 0.07041028, deltaT = 0.09600019455
Iteration 10, 251 moved objects, max delta = 0.06130072862, deltaT = 0.07799983025
Iteration 11, 255 moved objects, max delta = 0.07204672923, deltaT = 0.07899999619
Iteration 12, 296 moved objects, max delta = 0.09807431781, deltaT = 0.09000015259
Iteration 13, 306 moved objects, max delta = 0.09027618984, deltaT = 0.09500002861
Iteration 14, 266 moved objects, max delta = 0.07663066893, deltaT = 0.08199977875
Iteration 15, 300 moved objects, max delta = 0.06894169575, deltaT = 0.09100008011
Iteration 16, 296 moved objects, max delta = 0.06897163038, deltaT = 0.09200000763
Iteration 17, 356 moved objects, max delta = 0.07536829258, deltaT = 0.1080000401
Iteration 18, 359 moved objects, max delta = 0.08894146106, deltaT = 0.1119999886
Iteration 19, 333 moved objects, max delta = 0.09232771479, deltaT = 0.1040000916
Iteration 20, 389 moved objects, max delta = 0.1054683631, deltaT = 0.1239998341
Iteration 21, 410 moved objects, max delta = 0.1259891793, deltaT = 0.131000042
Iteration 22, 443 moved objects, max delta = 0.1142916299, deltaT = 0.1430001259
Iteration 23, 394 moved objects, max delta = 0.1244811266, deltaT = 0.1259999275
Iteration 24, 322 moved objects, max delta = 0.0887882749, deltaT = 0.1039998531
Iteration 25, 262 moved objects, max delta = 0.0750793702, deltaT = 0.08400011063
Iteration 26, 213 moved objects, max delta = 0.04850230242, deltaT = 0.06900000572
Iteration 27, 163 moved objects, max delta = 0.04696034968, deltaT = 0.0529999733
Iteration 28, 177 moved objects, max delta = 0.04476857959, deltaT = 0.05800008774
Iteration 29, 139 moved objects, max delta = 0.04552097838, deltaT = 0.04499983788
Iteration 30, 100 moved objects, max delta = 0.03222318214, deltaT = 0.03299999237
Iteration 31, 68 moved objects, max delta = 0.02389564321, deltaT = 0.02300000191
Iteration 32, 69 moved objects, max delta = 0.02196179278, deltaT = 0.02300000191
Iteration 33, 88 moved objects, max delta = 0.02717508602, deltaT = 0.02900004387
Iteration 34, 72 moved objects, max delta = 0.02615219683, deltaT = 0.02400016785
Iteration 35, 73 moved objects, max delta = 0.01950547113, deltaT = 0.02499985695
Iteration 36, 80 moved objects, max delta = 0.01388583973, deltaT = 0.02600002289
Iteration 37, 58 moved objects, max delta = 0.01000562167, deltaT = 0.01999998093
Iteration 38, 36 moved objects, max delta = 0.01027930169, deltaT = 0.01300001144
Iteration 39, 13 moved objects, max delta = 0.007125742665, deltaT = 0.005000114441
Iteration 40, 7 moved objects, max delta = 0.001281215746, deltaT = 0.003000020981
Iteration 41, 14 moved objects, max delta = 0.008263415386, deltaT = 0.005999803543
Iteration 42, 10 moved objects, max delta = 0.007282319881, deltaT = 0.00400018692
Iteration 43, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 43 iterations, 22590 moved objects, clustering performed in 6.980000019 s
Total time with loading: 8.545000076 s
