K-averages clustering of 11000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_1.matrix'
Loading data and computing initial values: 5.453000069 s (all future times given in seconds)
Iteration 1, 8402 moved objects, max delta = 0.01570506188, deltaT = 1.502000093
Iteration 2, 2471 moved objects, max delta = 0.4606912618, deltaT = 1.496999979
Iteration 3, 1114 moved objects, max delta = 0.2290435729, deltaT = 1.494999886
Iteration 4, 651 moved objects, max delta = 0.1255979018, deltaT = 1.496000051
Iteration 5, 571 moved objects, max delta = 0.1444830637, deltaT = 1.493000031
Iteration 6, 423 moved objects, max delta = 0.1622147181, deltaT = 1.486999989
Iteration 7, 298 moved objects, max delta = 0.09912345956, deltaT = 1.483999968
Iteration 8, 234 moved objects, max delta = 0.05324744159, deltaT = 1.485000134
Iteration 9, 170 moved objects, max delta = 0.03483356168, deltaT = 1.485999823
Iteration 10, 155 moved objects, max delta = 0.02194805487, deltaT = 1.486999989
Iteration 11, 136 moved objects, max delta = 0.02464013945, deltaT = 1.489000082
Iteration 12, 108 moved objects, max delta = 0.02532300106, deltaT = 1.487999916
Iteration 13, 127 moved objects, max delta = 0.02358440478, deltaT = 1.488000154
Iteration 14, 126 moved objects, max delta = 0.0286694488, deltaT = 1.484999895
Iteration 15, 125 moved objects, max delta = 0.02734411979, deltaT = 1.483999968
Iteration 16, 115 moved objects, max delta = 0.02251246567, deltaT = 1.483999968
Iteration 17, 111 moved objects, max delta = 0.02016205732, deltaT = 1.485000134
Iteration 18, 106 moved objects, max delta = 0.02083541758, deltaT = 1.48300004
Iteration 19, 95 moved objects, max delta = 0.02795762724, deltaT = 1.483999968
Iteration 20, 87 moved objects, max delta = 0.01674620387, deltaT = 1.484999895
Iteration 21, 80 moved objects, max delta = 0.01442770827, deltaT = 1.486000061
Iteration 22, 90 moved objects, max delta = 0.01456685296, deltaT = 1.484999895
Iteration 23, 76 moved objects, max delta = 0.01861520469, deltaT = 1.486000061
Iteration 24, 69 moved objects, max delta = 0.01749222316, deltaT = 1.48300004
Iteration 25, 77 moved objects, max delta = 0.01486909577, deltaT = 1.48300004
Iteration 26, 80 moved objects, max delta = 0.02697854371, deltaT = 1.48300004
Iteration 27, 97 moved objects, max delta = 0.02807425893, deltaT = 1.48300004
Iteration 28, 90 moved objects, max delta = 0.03100924131, deltaT = 1.485999823
Iteration 29, 97 moved objects, max delta = 0.029713816, deltaT = 1.486000061
Iteration 30, 110 moved objects, max delta = 0.03351355232, deltaT = 1.486000061
Iteration 31, 106 moved objects, max delta = 0.0339920159, deltaT = 1.486999989
Iteration 32, 105 moved objects, max delta = 0.03763935791, deltaT = 1.486000061
Iteration 33, 98 moved objects, max delta = 0.02725729738, deltaT = 1.486999989
Iteration 34, 86 moved objects, max delta = 0.02346671657, deltaT = 1.487999916
Iteration 35, 86 moved objects, max delta = 0.02295239403, deltaT = 1.487999916
Iteration 36, 72 moved objects, max delta = 0.01966516093, deltaT = 1.486999989
Iteration 37, 80 moved objects, max delta = 0.0158376999, deltaT = 1.486999989
Iteration 38, 73 moved objects, max delta = 0.01417411035, deltaT = 1.485000134
Iteration 39, 71 moved objects, max delta = 0.01146181938, deltaT = 1.483999968
Iteration 40, 86 moved objects, max delta = 0.01786030199, deltaT = 1.483999968
Iteration 41, 86 moved objects, max delta = 0.01965912972, deltaT = 1.48300004
Iteration 42, 75 moved objects, max delta = 0.01684581646, deltaT = 1.483999968
Iteration 43, 74 moved objects, max delta = 0.01595641905, deltaT = 1.48300004
Iteration 44, 69 moved objects, max delta = 0.01186249228, deltaT = 1.481999874
Iteration 45, 64 moved objects, max delta = 0.01457090494, deltaT = 1.480999947
Iteration 46, 47 moved objects, max delta = 0.0147039985, deltaT = 1.480000019
Iteration 47, 35 moved objects, max delta = 0.01042909373, deltaT = 1.479000092
Iteration 48, 30 moved objects, max delta = 0.005787998756, deltaT = 1.478999853
Iteration 49, 33 moved objects, max delta = 0.005856233677, deltaT = 1.476999998
Iteration 50, 38 moved objects, max delta = 0.006277172434, deltaT = 1.476999998
Iteration 51, 36 moved objects, max delta = 0.007352694475, deltaT = 1.476000071
Iteration 52, 25 moved objects, max delta = 0.005513946668, deltaT = 1.476000071
Iteration 53, 31 moved objects, max delta = 0.007903387913, deltaT = 1.475999832
Iteration 54, 28 moved objects, max delta = 0.00672805934, deltaT = 1.475000143
Iteration 55, 26 moved objects, max delta = 0.009034949628, deltaT = 1.474999905
Iteration 56, 35 moved objects, max delta = 0.005457487147, deltaT = 1.473999977
Iteration 57, 42 moved objects, max delta = 0.007368171344, deltaT = 1.475000143
Iteration 58, 53 moved objects, max delta = 0.01100893812, deltaT = 1.473999977
Iteration 59, 43 moved objects, max delta = 0.01119257178, deltaT = 1.473999977
Iteration 60, 44 moved objects, max delta = 0.006988743286, deltaT = 1.47300005
Iteration 61, 59 moved objects, max delta = 0.006999123308, deltaT = 1.474999905
Iteration 62, 48 moved objects, max delta = 0.0108898454, deltaT = 1.47300005
Iteration 63, 51 moved objects, max delta = 0.007060892374, deltaT = 1.473999977
Iteration 64, 48 moved objects, max delta = 0.009955216919, deltaT = 1.47300005
Iteration 65, 62 moved objects, max delta = 0.01179678772, deltaT = 1.471999884
Iteration 66, 73 moved objects, max delta = 0.01882740217, deltaT = 1.470000029
Iteration 67, 68 moved objects, max delta = 0.02113748965, deltaT = 1.467000008
Iteration 68, 63 moved objects, max delta = 0.02250701966, deltaT = 1.46600008
Iteration 69, 56 moved objects, max delta = 0.01647356314, deltaT = 1.464999914
Iteration 70, 59 moved objects, max delta = 0.01388600061, deltaT = 1.463000059
Iteration 71, 61 moved objects, max delta = 0.01066082165, deltaT = 1.463999987
Iteration 72, 56 moved objects, max delta = 0.01323235067, deltaT = 1.460999966
Iteration 73, 56 moved objects, max delta = 0.01300268764, deltaT = 1.461999893
Iteration 74, 59 moved objects, max delta = 0.01047591721, deltaT = 1.460000038
Iteration 75, 59 moved objects, max delta = 0.008700553207, deltaT = 1.460999966
Iteration 76, 48 moved objects, max delta = 0.01030407756, deltaT = 1.460000038
Iteration 77, 33 moved objects, max delta = 0.007078418237, deltaT = 1.462000132
Iteration 78, 36 moved objects, max delta = 0.004392854753, deltaT = 1.460999966
Iteration 79, 41 moved objects, max delta = 0.006934892655, deltaT = 1.463999987
Iteration 80, 34 moved objects, max delta = 0.01061874338, deltaT = 1.460999966
Iteration 81, 30 moved objects, max delta = 0.006066215878, deltaT = 1.463000059
Iteration 82, 19 moved objects, max delta = 0.004186511215, deltaT = 1.460999966
Iteration 83, 21 moved objects, max delta = 0.005210122606, deltaT = 1.461999893
Iteration 84, 17 moved objects, max delta = 0.003625109269, deltaT = 1.460999966
Iteration 85, 7 moved objects, max delta = 0.001656523757, deltaT = 1.462000132
Iteration 86, 7 moved objects, max delta = 0.0007753276574, deltaT = 1.460999966
Iteration 87, 5 moved objects, max delta = 0.001620937746, deltaT = 1.460999966
Iteration 88, 5 moved objects, max delta = 0.001292840387, deltaT = 1.460999966
Iteration 89, 8 moved objects, max delta = 0.002084393747, deltaT = 1.461000204
Iteration 90, 4 moved objects, max delta = 0.002088340221, deltaT = 1.4599998
Iteration 91, 3 moved objects, max delta = 0.0002904766105, deltaT = 1.462000132
Iteration 92, 4 moved objects, max delta = 0.001776675758, deltaT = 1.460000038
Iteration 93, 1 moved object, max delta = 0.00154469066, deltaT = 1.461999893
Iteration 94, 3 moved objects, max delta = 0.0001509130394, deltaT = 1.460000038
Iteration 95, 2 moved objects, max delta = 0.001255979006, deltaT = 1.460999966
