K-averages clustering of 11000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_1.matrix'
Loading data and computing initial values: 0.7309999466 s (all future times given in seconds)
Iteration 1, 8529 moved objects, max delta = 0.02546202372, deltaT = 0.9960000515
Iteration 2, 2390 moved objects, max delta = 0.4080206666, deltaT = 0.9479999542
Iteration 3, 1232 moved objects, max delta = 0.2176148033, deltaT = 0.9279999733
Iteration 4, 835 moved objects, max delta = 0.1429715273, deltaT = 0.9189999104
Iteration 5, 621 moved objects, max delta = 0.1005583411, deltaT = 0.9170000553
Iteration 6, 494 moved objects, max delta = 0.08743034237, deltaT = 0.9389998913
Iteration 7, 412 moved objects, max delta = 0.06847634875, deltaT = 0.9350001812
Iteration 8, 344 moved objects, max delta = 0.0739141723, deltaT = 0.9089999199
Iteration 9, 338 moved objects, max delta = 0.07849481214, deltaT = 0.9430000782
Iteration 10, 354 moved objects, max delta = 0.09966019395, deltaT = 0.9329998493
Iteration 11, 383 moved objects, max delta = 0.1344143915, deltaT = 0.9400000572
Iteration 12, 353 moved objects, max delta = 0.1404012151, deltaT = 0.9560000896
Iteration 13, 313 moved objects, max delta = 0.09368257314, deltaT = 0.9579999447
Iteration 14, 266 moved objects, max delta = 0.08258833452, deltaT = 0.9249999523
Iteration 15, 223 moved objects, max delta = 0.05226227128, deltaT = 0.9179999828
Iteration 16, 200 moved objects, max delta = 0.04859322354, deltaT = 0.9130001068
Iteration 17, 160 moved objects, max delta = 0.04088463993, deltaT = 0.9149999619
Iteration 18, 140 moved objects, max delta = 0.03282268785, deltaT = 0.9140000343
Iteration 19, 121 moved objects, max delta = 0.02989054816, deltaT = 0.9229998589
Iteration 20, 111 moved objects, max delta = 0.02295132147, deltaT = 0.9550001621
Iteration 21, 83 moved objects, max delta = 0.02369418625, deltaT = 0.9539999962
Iteration 22, 80 moved objects, max delta = 0.01704687929, deltaT = 0.9140000343
Iteration 23, 79 moved objects, max delta = 0.01923515664, deltaT = 0.9119999409
Iteration 24, 60 moved objects, max delta = 0.01845651447, deltaT = 0.9119999409
Iteration 25, 45 moved objects, max delta = 0.01560758129, deltaT = 0.9100000858
Iteration 26, 47 moved objects, max delta = 0.01255371726, deltaT = 0.9110000134
Iteration 27, 38 moved objects, max delta = 0.01116880313, deltaT = 0.9110000134
Iteration 28, 41 moved objects, max delta = 0.01328473281, deltaT = 0.9099998474
Iteration 29, 42 moved objects, max delta = 0.01658345482, deltaT = 0.9119999409
Iteration 30, 49 moved objects, max delta = 0.01258448349, deltaT = 0.9100000858
Iteration 31, 46 moved objects, max delta = 0.0120448285, deltaT = 0.9130001068
Iteration 32, 46 moved objects, max delta = 0.01105650644, deltaT = 0.9149999619
Iteration 33, 40 moved objects, max delta = 0.00998334805, deltaT = 0.9519999027
Iteration 34, 50 moved objects, max delta = 0.01212768848, deltaT = 0.9199998379
Iteration 35, 44 moved objects, max delta = 0.01210468395, deltaT = 0.9170000553
Iteration 36, 43 moved objects, max delta = 0.009130094738, deltaT = 0.9189999104
Iteration 37, 41 moved objects, max delta = 0.009067065986, deltaT = 0.9340000153
Iteration 38, 34 moved objects, max delta = 0.009141092314, deltaT = 0.9100000858
Iteration 39, 48 moved objects, max delta = 0.005471005222, deltaT = 0.9100000858
Iteration 40, 44 moved objects, max delta = 0.009242376506, deltaT = 0.9069998264
Iteration 41, 36 moved objects, max delta = 0.009779708829, deltaT = 0.9450001717
Iteration 42, 36 moved objects, max delta = 0.008056406846, deltaT = 0.9509999752
Iteration 43, 43 moved objects, max delta = 0.005079505101, deltaT = 0.9110000134
Iteration 44, 29 moved objects, max delta = 0.009422426792, deltaT = 0.9099998474
Iteration 45, 36 moved objects, max delta = 0.006190886643, deltaT = 0.9130001068
Iteration 46, 27 moved objects, max delta = 0.005813760432, deltaT = 0.9099998474
Iteration 47, 23 moved objects, max delta = 0.004878542555, deltaT = 0.9110000134
Iteration 48, 19 moved objects, max delta = 0.003554307399, deltaT = 0.9100000858
Iteration 49, 20 moved objects, max delta = 0.004004288839, deltaT = 0.9110000134
Iteration 50, 21 moved objects, max delta = 0.004116510709, deltaT = 0.9089999199
Iteration 51, 15 moved objects, max delta = 0.004853790114, deltaT = 0.9090001583
Iteration 52, 17 moved objects, max delta = 0.002413425047, deltaT = 0.9110000134
Iteration 53, 19 moved objects, max delta = 0.002634360416, deltaT = 0.9129998684
Iteration 54, 26 moved objects, max delta = 0.003025122186, deltaT = 0.9100000858
Iteration 55, 18 moved objects, max delta = 0.005057682959, deltaT = 0.9089999199
Iteration 56, 16 moved objects, max delta = 0.003301035009, deltaT = 0.9089999199
Iteration 57, 20 moved objects, max delta = 0.00287299856, deltaT = 0.9110000134
Iteration 58, 27 moved objects, max delta = 0.003380918458, deltaT = 0.9079999924
Iteration 59, 20 moved objects, max delta = 0.00495065241, deltaT = 0.9090001583
Iteration 60, 21 moved objects, max delta = 0.002432216891, deltaT = 0.9099998474
Iteration 61, 17 moved objects, max delta = 0.002060162048, deltaT = 0.9150002003
Iteration 62, 26 moved objects, max delta = 0.002748199928, deltaT = 0.9429998398
Iteration 63, 26 moved objects, max delta = 0.00302594385, deltaT = 0.9110000134
Iteration 64, 22 moved objects, max delta = 0.004653867379, deltaT = 0.9119999409
Iteration 65, 26 moved objects, max delta = 0.004542114648, deltaT = 0.9490001202
Iteration 66, 18 moved objects, max delta = 0.004705829697, deltaT = 0.9500000477
Iteration 67, 15 moved objects, max delta = 0.002939644055, deltaT = 0.9519999027
