K-averages clustering of 10000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_0.matrix'
Loading data and computing initial values: 0.6270000935 s (all future times given in seconds)
Iteration 1, 7723 moved objects, max delta = 0.01772359018, deltaT = 0.8529999256
Iteration 2, 1455 moved objects, max delta = 0.31582845, deltaT = 0.8210000992
Iteration 3, 545 moved objects, max delta = 0.1316408225, deltaT = 0.8090000153
Iteration 4, 304 moved objects, max delta = 0.07121066815, deltaT = 0.8019998074
Iteration 5, 216 moved objects, max delta = 0.04691170056, deltaT = 0.7980000973
Iteration 6, 157 moved objects, max delta = 0.03617873591, deltaT = 0.7969999313
Iteration 7, 133 moved objects, max delta = 0.02213580624, deltaT = 0.7940001488
Iteration 8, 95 moved objects, max delta = 0.02265627404, deltaT = 0.7949998379
Iteration 9, 72 moved objects, max delta = 0.0155645122, deltaT = 0.7929999828
Iteration 10, 73 moved objects, max delta = 0.02009172275, deltaT = 0.7940001488
Iteration 11, 75 moved objects, max delta = 0.02185222325, deltaT = 0.7920000553
Iteration 12, 76 moved objects, max delta = 0.02016074669, deltaT = 0.7919998169
Iteration 13, 64 moved objects, max delta = 0.01924429126, deltaT = 0.7920000553
Iteration 14, 73 moved objects, max delta = 0.01810203095, deltaT = 0.7920000553
Iteration 15, 79 moved objects, max delta = 0.02008537814, deltaT = 0.7909998894
Iteration 16, 82 moved objects, max delta = 0.01906382658, deltaT = 0.7920000553
Iteration 17, 86 moved objects, max delta = 0.01910729819, deltaT = 0.7910001278
Iteration 18, 103 moved objects, max delta = 0.02523333709, deltaT = 0.7899999619
Iteration 19, 106 moved objects, max delta = 0.02739742891, deltaT = 0.7909998894
Iteration 20, 109 moved objects, max delta = 0.024150003, deltaT = 0.7899999619
Iteration 21, 116 moved objects, max delta = 0.03071099418, deltaT = 0.7900002003
Iteration 22, 129 moved objects, max delta = 0.02494463997, deltaT = 0.7899999619
Iteration 23, 154 moved objects, max delta = 0.03552302407, deltaT = 0.7879998684
Iteration 24, 160 moved objects, max delta = 0.0412882699, deltaT = 0.7890000343
Iteration 25, 149 moved objects, max delta = 0.04413593863, deltaT = 0.7880001068
Iteration 26, 139 moved objects, max delta = 0.04523256483, deltaT = 0.7879998684
Iteration 27, 168 moved objects, max delta = 0.04481278284, deltaT = 0.7869999409
Iteration 28, 165 moved objects, max delta = 0.05273999165, deltaT = 0.7870001793
Iteration 29, 184 moved objects, max delta = 0.0573836829, deltaT = 0.7860000134
Iteration 30, 182 moved objects, max delta = 0.04825058557, deltaT = 0.7869999409
Iteration 31, 170 moved objects, max delta = 0.05682680721, deltaT = 0.7869999409
Iteration 32, 162 moved objects, max delta = 0.05010232623, deltaT = 0.7880001068
Iteration 33, 139 moved objects, max delta = 0.04187247972, deltaT = 0.7869999409
Iteration 34, 167 moved objects, max delta = 0.03883903949, deltaT = 0.7880001068
Iteration 35, 156 moved objects, max delta = 0.04851702128, deltaT = 0.7879998684
Iteration 36, 135 moved objects, max delta = 0.04028506703, deltaT = 0.7869999409
Iteration 37, 124 moved objects, max delta = 0.0272182249, deltaT = 0.7880001068
Iteration 38, 100 moved objects, max delta = 0.02728876165, deltaT = 0.8789999485
Iteration 39, 93 moved objects, max delta = 0.02199500616, deltaT = 0.8310000896
Iteration 40, 79 moved objects, max delta = 0.01417647743, deltaT = 0.7879998684
Iteration 41, 58 moved objects, max delta = 0.01111790162, deltaT = 0.7880001068
Iteration 42, 49 moved objects, max delta = 0.008797251903, deltaT = 0.7869999409
Iteration 43, 37 moved objects, max delta = 0.007873009284, deltaT = 0.7880001068
Iteration 44, 32 moved objects, max delta = 0.006633981786, deltaT = 0.7869999409
Iteration 45, 30 moved objects, max delta = 0.005463008096, deltaT = 0.7869999409
Iteration 46, 20 moved objects, max delta = 0.006038047502, deltaT = 0.7860000134
Iteration 47, 20 moved objects, max delta = 0.004029674297, deltaT = 0.7860000134
Iteration 48, 22 moved objects, max delta = 0.004198533004, deltaT = 0.7870001793
Iteration 49, 13 moved objects, max delta = 0.003687089061, deltaT = 0.7869999409
Iteration 50, 11 moved objects, max delta = 0.004740775715, deltaT = 0.7869999409
Iteration 51, 10 moved objects, max delta = 0.005874259151, deltaT = 0.7869999409
Iteration 52, 8 moved objects, max delta = 0.001815220672, deltaT = 0.7880001068
Iteration 53, 3 moved objects, max delta = 0.001140749752, deltaT = 0.8639998436
Iteration 54, 3 moved objects, max delta = 0.001112972283, deltaT = 0.8580000401
Iteration 55, 2 moved objects, max delta = 0.0001084771651, deltaT = 0.7870001793
Iteration 56, 1 moved object, max delta = 0.000907558736, deltaT = 0.7869999409
Iteration 57, 2 moved objects, max delta = 2.312956056e-05, deltaT = 0.7869999409
Iteration 58, 4 moved objects, max delta = 0.0008389804436, deltaT = 0.7869999409
Iteration 59, 2 moved objects, max delta = 0.002561879811, deltaT = 0.7870001793
Iteration 60, 2 moved objects, max delta = 0.0001722889393, deltaT = 0.7869999409
Iteration 61, 0 moved object, max delta = 0, deltaT = 0.7860000134
Total 61 iterations, 14826 moved objects, clustering performed in 48.53600001 s
Total time with loading: 49.16300011 s
