K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 1.746000051 s (all future times given in seconds)
Iteration 1, 13267 moved objects, max delta = 0.02212162489, deltaT = 2.480999947
Iteration 2, 2322 moved objects, max delta = 0.5124859466, deltaT = 2.35800004
Iteration 3, 1482 moved objects, max delta = 0.2173168367, deltaT = 2.282000065
Iteration 4, 1269 moved objects, max delta = 0.1887246228, deltaT = 2.236999989
Iteration 5, 1039 moved objects, max delta = 0.1987151692, deltaT = 2.296000004
Iteration 6, 705 moved objects, max delta = 0.1426313167, deltaT = 2.199999809
Iteration 7, 487 moved objects, max delta = 0.07327663638, deltaT = 2.187000036
Iteration 8, 304 moved objects, max delta = 0.0464536045, deltaT = 2.18900013
Iteration 9, 213 moved objects, max delta = 0.03026581182, deltaT = 2.188999891
Iteration 10, 172 moved objects, max delta = 0.02347650705, deltaT = 2.18200016
Iteration 11, 183 moved objects, max delta = 0.02403686689, deltaT = 2.181999922
Iteration 12, 167 moved objects, max delta = 0.02862772106, deltaT = 2.210999966
Iteration 13, 167 moved objects, max delta = 0.03105070989, deltaT = 2.18900013
Iteration 14, 166 moved objects, max delta = 0.03344217689, deltaT = 2.178999901
Iteration 15, 175 moved objects, max delta = 0.03247390337, deltaT = 2.177999973
Iteration 16, 174 moved objects, max delta = 0.03236785909, deltaT = 2.178999901
Iteration 17, 195 moved objects, max delta = 0.03726208549, deltaT = 2.203000069
Iteration 18, 190 moved objects, max delta = 0.03483380614, deltaT = 2.174000025
Iteration 19, 224 moved objects, max delta = 0.03069952354, deltaT = 2.213000059
Iteration 20, 249 moved objects, max delta = 0.03397707579, deltaT = 2.171000004
Iteration 21, 268 moved objects, max delta = 0.03630545231, deltaT = 2.171000004
Iteration 22, 253 moved objects, max delta = 0.04202037955, deltaT = 2.172999859
Iteration 23, 262 moved objects, max delta = 0.03763172144, deltaT = 2.173000097
Iteration 24, 243 moved objects, max delta = 0.03485381759, deltaT = 2.171000004
Iteration 25, 221 moved objects, max delta = 0.03594932964, deltaT = 2.178999901
Iteration 26, 206 moved objects, max delta = 0.02625174325, deltaT = 2.180999994
Iteration 27, 188 moved objects, max delta = 0.02965358579, deltaT = 2.176000118
Iteration 28, 180 moved objects, max delta = 0.02660082695, deltaT = 2.200000048
Iteration 29, 171 moved objects, max delta = 0.02409985875, deltaT = 2.187999964
Iteration 30, 150 moved objects, max delta = 0.02254556823, deltaT = 2.177000046
Iteration 31, 147 moved objects, max delta = 0.02432223703, deltaT = 2.247999907
Iteration 32, 141 moved objects, max delta = 0.02428815368, deltaT = 2.174000025
Iteration 33, 127 moved objects, max delta = 0.02484098745, deltaT = 2.180999994
Iteration 34, 113 moved objects, max delta = 0.02596753722, deltaT = 2.17599988
Iteration 35, 121 moved objects, max delta = 0.01696600134, deltaT = 2.21600008
Iteration 36, 115 moved objects, max delta = 0.01796718021, deltaT = 2.174000025
Iteration 37, 83 moved objects, max delta = 0.02025732413, deltaT = 2.176000118
Iteration 38, 73 moved objects, max delta = 0.01669518537, deltaT = 2.197999954
Iteration 39, 74 moved objects, max delta = 0.01151607739, deltaT = 2.231999874
Iteration 40, 64 moved objects, max delta = 0.01125200235, deltaT = 2.217000008
Iteration 41, 61 moved objects, max delta = 0.01057603567, deltaT = 2.183000088
Iteration 42, 50 moved objects, max delta = 0.008168711956, deltaT = 2.182999849
Iteration 43, 42 moved objects, max delta = 0.0058874545, deltaT = 2.183000088
Iteration 44, 31 moved objects, max delta = 0.006580678792, deltaT = 2.174999952
Iteration 45, 27 moved objects, max delta = 0.005594109852, deltaT = 2.218000174
Iteration 46, 20 moved objects, max delta = 0.002637551748, deltaT = 2.274999857
Iteration 47, 15 moved objects, max delta = 0.002044999304, deltaT = 2.246000051
Iteration 48, 10 moved objects, max delta = 0.001858847082, deltaT = 2.177999973
Iteration 49, 9 moved objects, max delta = 0.0007916282762, deltaT = 2.177000046
Iteration 50, 6 moved objects, max delta = 0.0008678856158, deltaT = 2.177999973
Iteration 51, 6 moved objects, max delta = 0.0009271965395, deltaT = 2.178999901
Iteration 52, 8 moved objects, max delta = 0.001499595838, deltaT = 2.187000036
Iteration 53, 4 moved objects, max delta = 0.0008263512448, deltaT = 2.180000067
Iteration 54, 5 moved objects, max delta = 0.0004866414717, deltaT = 2.174999952
Iteration 55, 3 moved objects, max delta = 0.0007706770494, deltaT = 2.177000046
Iteration 56, 0 moved object, max delta = 0, deltaT = 2.174000025
Total 56 iterations, 26647 moved objects, clustering performed in 123.329 s
Total time with loading: 125.075 s
