K-averages clustering of 13000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_3.matrix'
Loading data and computing initial values: 8.20600009 s (all future times given in seconds)
Iteration 1, 10109 moved objects, max delta = 0.01903425594, deltaT = 1.375
Iteration 2, 2016 moved objects, max delta = 0.3682469146, deltaT = 1.347999811
Iteration 3, 1202 moved objects, max delta = 0.2139480759, deltaT = 1.344000101
Iteration 4, 664 moved objects, max delta = 0.08434090836, deltaT = 1.336999893
Iteration 5, 610 moved objects, max delta = 0.07955986371, deltaT = 1.336000204
Iteration 6, 482 moved objects, max delta = 0.06686023545, deltaT = 1.333999872
Iteration 7, 423 moved objects, max delta = 0.05390209943, deltaT = 1.332000017
Iteration 8, 339 moved objects, max delta = 0.05078289519, deltaT = 1.332999945
Iteration 9, 254 moved objects, max delta = 0.05498747529, deltaT = 1.332999945
Iteration 10, 181 moved objects, max delta = 0.04063410394, deltaT = 1.33100009
Iteration 11, 147 moved objects, max delta = 0.03488229844, deltaT = 1.33100009
Iteration 12, 128 moved objects, max delta = 0.03230681421, deltaT = 1.332000017
Iteration 13, 101 moved objects, max delta = 0.02665260805, deltaT = 1.330999851
Iteration 14, 79 moved objects, max delta = 0.02374149905, deltaT = 1.332000017
Iteration 15, 71 moved objects, max delta = 0.02445434377, deltaT = 1.332000017
Iteration 16, 68 moved objects, max delta = 0.02414530387, deltaT = 1.33100009
Iteration 17, 76 moved objects, max delta = 0.0219736807, deltaT = 1.332000017
Iteration 18, 71 moved objects, max delta = 0.02519988052, deltaT = 1.332000017
Iteration 19, 92 moved objects, max delta = 0.01925854044, deltaT = 1.332000017
Iteration 20, 91 moved objects, max delta = 0.0198311497, deltaT = 1.331999779
Iteration 21, 108 moved objects, max delta = 0.01824017882, deltaT = 1.334000111
Iteration 22, 113 moved objects, max delta = 0.02727544207, deltaT = 1.332000017
Iteration 23, 121 moved objects, max delta = 0.02378069876, deltaT = 1.332999945
Iteration 24, 143 moved objects, max delta = 0.02762279973, deltaT = 1.332000017
Iteration 25, 177 moved objects, max delta = 0.03395650998, deltaT = 1.332999945
Iteration 26, 214 moved objects, max delta = 0.03680530324, deltaT = 1.332000017
Iteration 27, 211 moved objects, max delta = 0.03988773306, deltaT = 1.332999945
Iteration 28, 204 moved objects, max delta = 0.04050424926, deltaT = 1.332000017
Iteration 29, 195 moved objects, max delta = 0.03727057088, deltaT = 1.333000183
Iteration 30, 197 moved objects, max delta = 0.03728454787, deltaT = 1.332000017
Iteration 31, 179 moved objects, max delta = 0.03364051302, deltaT = 1.332999945
Iteration 32, 182 moved objects, max delta = 0.03196188828, deltaT = 1.332000017
Iteration 33, 162 moved objects, max delta = 0.02481108804, deltaT = 1.332000017
Iteration 34, 142 moved objects, max delta = 0.02413114368, deltaT = 1.332000017
Iteration 35, 128 moved objects, max delta = 0.01999894484, deltaT = 1.332000017
Iteration 36, 120 moved objects, max delta = 0.02130343515, deltaT = 1.332999945
Iteration 37, 119 moved objects, max delta = 0.02016516521, deltaT = 1.332000017
Iteration 38, 118 moved objects, max delta = 0.0214536353, deltaT = 1.330999851
Iteration 39, 102 moved objects, max delta = 0.02217368632, deltaT = 1.330999851
Iteration 40, 96 moved objects, max delta = 0.02076567443, deltaT = 1.332000017
Iteration 41, 76 moved objects, max delta = 0.02165386912, deltaT = 1.332000017
Iteration 42, 68 moved objects, max delta = 0.01276369145, deltaT = 1.332000017
Iteration 43, 62 moved objects, max delta = 0.01270837342, deltaT = 1.33100009
Iteration 44, 51 moved objects, max delta = 0.009655188582, deltaT = 1.332000017
Iteration 45, 52 moved objects, max delta = 0.009759918499, deltaT = 1.332000017
Iteration 46, 42 moved objects, max delta = 0.01049804754, deltaT = 1.330999851
Iteration 47, 37 moved objects, max delta = 0.008746259279, deltaT = 1.33100009
Iteration 48, 33 moved objects, max delta = 0.006563105316, deltaT = 1.330999851
Iteration 49, 28 moved objects, max delta = 0.009541656235, deltaT = 1.33100009
Iteration 50, 32 moved objects, max delta = 0.006468596344, deltaT = 1.33100009
Iteration 51, 26 moved objects, max delta = 0.005956797951, deltaT = 1.332000017
Iteration 52, 28 moved objects, max delta = 0.005770239147, deltaT = 1.330999851
Iteration 53, 22 moved objects, max delta = 0.004734945159, deltaT = 1.332000017
Iteration 54, 9 moved objects, max delta = 0.003856514647, deltaT = 1.332000017
Iteration 55, 8 moved objects, max delta = 0.0008105607601, deltaT = 1.33100009
Iteration 56, 5 moved objects, max delta = 0.001233817598, deltaT = 1.332000017
Iteration 57, 5 moved objects, max delta = 0.0006904088453, deltaT = 1.332000017
Iteration 58, 9 moved objects, max delta = 0.001296105152, deltaT = 1.330999851
Iteration 59, 9 moved objects, max delta = 0.002561350971, deltaT = 1.332000017
Iteration 60, 6 moved objects, max delta = 0.001736762952, deltaT = 1.33100009
Iteration 61, 7 moved objects, max delta = 0.001041166703, deltaT = 1.330999851
Iteration 62, 5 moved objects, max delta = 0.000921628695, deltaT = 1.33100009
Iteration 63, 3 moved objects, max delta = 0.001072525651, deltaT = 1.332000017
Iteration 64, 4 moved objects, max delta = 0.0007900615187, deltaT = 1.330999851
Iteration 65, 9 moved objects, max delta = 0.00123845169, deltaT = 1.33100009
Iteration 66, 6 moved objects, max delta = 0.001403231595, deltaT = 1.33100009
Iteration 67, 5 moved objects, max delta = 0.001795375403, deltaT = 1.330999851
Iteration 68, 4 moved objects, max delta = 0.001122219525, deltaT = 1.332000017
Iteration 69, 7 moved objects, max delta = 0.001365218941, deltaT = 1.33100009
Iteration 70, 12 moved objects, max delta = 0.002169156033, deltaT = 1.33100009
Iteration 71, 16 moved objects, max delta = 0.002924699825, deltaT = 1.330999851
Iteration 72, 11 moved objects, max delta = 0.004015735995, deltaT = 1.33100009
Iteration 73, 11 moved objects, max delta = 0.003506860003, deltaT = 1.330999851
Iteration 74, 15 moved objects, max delta = 0.002812860464, deltaT = 1.33100009
Iteration 75, 16 moved objects, max delta = 0.002556761786, deltaT = 1.33100009
Iteration 76, 14 moved objects, max delta = 0.002834311473, deltaT = 1.329999924
Iteration 77, 17 moved objects, max delta = 0.003670719151, deltaT = 1.33100009
Iteration 78, 24 moved objects, max delta = 0.005660030806, deltaT = 1.330999851
Iteration 79, 28 moved objects, max delta = 0.00526262104, deltaT = 1.33100009
Iteration 80, 42 moved objects, max delta = 0.006617510395, deltaT = 1.329999924
Iteration 81, 30 moved objects, max delta = 0.008852885892, deltaT = 1.33100009
Iteration 82, 28 moved objects, max delta = 0.004059903843, deltaT = 1.329999924
Iteration 83, 25 moved objects, max delta = 0.005139679389, deltaT = 1.33100009
Iteration 84, 22 moved objects, max delta = 0.00825352691, deltaT = 1.330999851
Iteration 85, 13 moved objects, max delta = 0.005748714056, deltaT = 1.33100009
Iteration 86, 8 moved objects, max delta = 0.002068661125, deltaT = 1.329999924
Iteration 87, 5 moved objects, max delta = 0.00125688672, deltaT = 1.33100009
Iteration 88, 4 moved objects, max delta = 0.0009804841876, deltaT = 1.33100009
Iteration 89, 5 moved objects, max delta = 0.001499798551, deltaT = 1.329999924
Iteration 90, 5 moved objects, max delta = 0.0007753506936, deltaT = 1.330999851
Iteration 91, 4 moved objects, max delta = 0.001363779735, deltaT = 1.330000162
Iteration 92, 1 moved object, max delta = 9.91222487e-05, deltaT = 1.330999851
Iteration 93, 0 moved object, max delta = 0, deltaT = 1.33100009
Total 93 iterations, 21249 moved objects, clustering performed in 123.9159999 s
Total time with loading: 132.138 s
