18000, 5, /data/simple/testSwap_8.matrix, object normalized
386.845
0, 14207, 0.9452898686, 49.3900001
1, 1354, 0.4340238459, 5.207000017
2, 843, 0.1722210401, 9.405999899
3, 1167, 0.1653856823, 3.260999918
4, 1441, 0.4233210571, 4.638000011
5, 767, 0.5052296983, 2.894000053
6, 328, 0.08678224369, 0.5659999847
7, 211, 0.04620714334, 0.3420000076
8, 120, 0.03691432734, 0.2669999599
9, 86, 0.01856094665, 0.4110000134
10, 66, 0.01281476473, 0.2039999962
11, 37, 0.01062594712, 0.03800010681
12, 30, 0.01128755707, 0.0759999752
13, 19, 0.004265029146, 0.02900004387
14, 4, 0.002007367302, 0.003000020981
15, 1, 0.0004106943341, 0.003000020981
16, 6, 0.0008711900646, 0.03199982643
17, 4, 0.002404089336, 0.03500008583
18, 2, 0.0007949360725, 0.01200008392
19, 3, 0.0006134732432, 0.02300000191
20, 8, 0.002016421749, 0.02999997139
21, 3, 0.0008283515332, 0.001999855042
22, 0, 0, 0.00200009346
23, 20707, 76.95700002
463.802
