K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 1.736000061 s (all future times given in seconds)
Iteration 1, 13147 moved objects, max delta = 0.01540762431, deltaT = 2.280999899
Iteration 2, 3857 moved objects, max delta = 0.2595479531, deltaT = 2.21600008
Iteration 3, 1836 moved objects, max delta = 0.2166208573, deltaT = 2.197999954
Iteration 4, 1498 moved objects, max delta = 0.1354079669, deltaT = 2.201999903
Iteration 5, 1466 moved objects, max delta = 0.2061528341, deltaT = 2.252000093
Iteration 6, 793 moved objects, max delta = 0.1057939407, deltaT = 2.286999941
Iteration 7, 644 moved objects, max delta = 0.07749662254, deltaT = 2.209000111
Iteration 8, 587 moved objects, max delta = 0.06902764286, deltaT = 2.191999912
Iteration 9, 513 moved objects, max delta = 0.06345036569, deltaT = 2.222000122
Iteration 10, 386 moved objects, max delta = 0.05640785688, deltaT = 2.226000071
Iteration 11, 355 moved objects, max delta = 0.04219969209, deltaT = 2.248999834
Iteration 12, 342 moved objects, max delta = 0.04164245909, deltaT = 2.239000082
Iteration 13, 283 moved objects, max delta = 0.03910014129, deltaT = 2.233999968
Iteration 14, 263 moved objects, max delta = 0.03762826308, deltaT = 2.184000015
Iteration 15, 249 moved objects, max delta = 0.03433223524, deltaT = 2.222000122
Iteration 16, 254 moved objects, max delta = 0.03160664045, deltaT = 2.186999798
Iteration 17, 239 moved objects, max delta = 0.0268984819, deltaT = 2.18900013
Iteration 18, 228 moved objects, max delta = 0.03018341792, deltaT = 2.218999863
Iteration 19, 190 moved objects, max delta = 0.02750269682, deltaT = 2.215000153
Iteration 20, 161 moved objects, max delta = 0.02191034286, deltaT = 2.193000078
Iteration 21, 152 moved objects, max delta = 0.01651023028, deltaT = 2.261999846
Iteration 22, 132 moved objects, max delta = 0.01659578434, deltaT = 2.284000158
Iteration 23, 110 moved objects, max delta = 0.01195978312, deltaT = 2.205999851
Iteration 24, 96 moved objects, max delta = 0.01023310388, deltaT = 2.183000088
Iteration 25, 84 moved objects, max delta = 0.01047185011, deltaT = 2.184000015
Iteration 26, 64 moved objects, max delta = 0.01166639706, deltaT = 2.181999922
Iteration 27, 51 moved objects, max delta = 0.008731681296, deltaT = 2.183000088
Iteration 28, 38 moved objects, max delta = 0.005780963193, deltaT = 2.190000057
Iteration 29, 47 moved objects, max delta = 0.005456392446, deltaT = 2.184999943
Iteration 30, 37 moved objects, max delta = 0.006319586183, deltaT = 2.208999872
Iteration 31, 33 moved objects, max delta = 0.004562089989, deltaT = 2.226999998
Iteration 32, 33 moved objects, max delta = 0.00380505996, deltaT = 2.228000164
Iteration 33, 31 moved objects, max delta = 0.003906673014, deltaT = 2.244999886
Iteration 34, 29 moved objects, max delta = 0.003565693282, deltaT = 2.177999973
Iteration 35, 32 moved objects, max delta = 0.002092534154, deltaT = 2.203000069
Iteration 36, 16 moved objects, max delta = 0.002381453959, deltaT = 2.183000088
Iteration 37, 14 moved objects, max delta = 0.001687095187, deltaT = 2.184000015
Iteration 38, 10 moved objects, max delta = 0.001027685514, deltaT = 2.248999834
Iteration 39, 9 moved objects, max delta = 0.001165781705, deltaT = 2.18900013
Iteration 40, 10 moved objects, max delta = 0.0007260150042, deltaT = 2.272000074
Iteration 41, 5 moved objects, max delta = 0.0007809933072, deltaT = 2.25999999
Iteration 42, 10 moved objects, max delta = 0.0006334761151, deltaT = 2.171999931
