18000, 5, /data/simple/testSwap_8.matrix, object normalized
413.322
0, 14323, 0.9016855453, 52.6500001
1, 2076, 0.7420541017, 11.55799985
2, 356, 0.1016346864, 5.282999992
3, 167, 0.0362116855, 2.411000013
4, 173, 0.04286401202, 0.5630002022
5, 162, 0.04023443825, 0.4139997959
6, 228, 0.05653105613, 0.6890001297
7, 171, 0.05955171393, 0.5119998455
8, 150, 0.04238982809, 0.4160001278
9, 159, 0.04001037803, 0.4719998837
10, 184, 0.04561354774, 0.5760002136
11, 197, 0.04392886418, 0.6029999256
12, 232, 0.05423709426, 0.8519999981
13, 198, 0.0516543137, 0.6859998703
14, 189, 0.05606073041, 0.6579999924
15, 150, 0.03561914864, 0.5570001602
16, 100, 0.0383098672, 0.3669998646
17, 98, 0.01863747357, 0.3320000172
18, 110, 0.01910557151, 0.3370001316
19, 96, 0.01911677551, 0.271999836
20, 79, 0.01408904542, 0.2900002003
21, 41, 0.006307136596, 0.2129998207
22, 24, 0.006063653466, 0.1089999676
23, 11, 0.006522567538, 0.1390001774
24, 8, 0.001727241997, 0.02399992943
25, 5, 0.001570345668, 0.02300000191
26, 6, 0.001638811291, 0.04200005531
27, 15, 0.005781934072, 0.06399989128
28, 16, 0.00689749143, 0.05700016022
29, 17, 0.007173270452, 0.0649998188
30, 1, 0.0002656941356, 0.01800012589
31, 0, 0, 0.0009999275208
32, 19742, 81.33899999
494.661
