K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 364.4359999 s (all future times given in seconds)
Iteration 1, 13213 moved objects, max delta = 0.01586646682, deltaT = 91.51099992
Iteration 2, 2970 moved objects, max delta = 0.2685629703, deltaT = 86.12800002
Iteration 3, 1802 moved objects, max delta = 0.2051040388, deltaT = 94.61999989
Iteration 4, 1403 moved objects, max delta = 0.2790158019, deltaT = 82.78500009
Iteration 5, 850 moved objects, max delta = 0.3168206874, deltaT = 93.08599997
Iteration 6, 680 moved objects, max delta = 0.1101457066, deltaT = 88.40299988
Iteration 7, 603 moved objects, max delta = 0.1163798563, deltaT = 99.90400004
Iteration 8, 515 moved objects, max delta = 0.09343478141, deltaT = 82.42799997
Iteration 9, 453 moved objects, max delta = 0.07792458056, deltaT = 96.02800012
Iteration 10, 360 moved objects, max delta = 0.06640780543, deltaT = 78.33400011
Iteration 11, 315 moved objects, max delta = 0.05484889585, deltaT = 86.55999994
Iteration 12, 276 moved objects, max delta = 0.04718715205, deltaT = 77.64400005
Iteration 13, 221 moved objects, max delta = 0.03521794806, deltaT = 84.58500004
Iteration 14, 199 moved objects, max delta = 0.03070676977, deltaT = 85.92700005
Iteration 15, 174 moved objects, max delta = 0.02132939537, deltaT = 93.72000003
Iteration 16, 157 moved objects, max delta = 0.01747319284, deltaT = 94.80199981
Iteration 17, 108 moved objects, max delta = 0.01657232066, deltaT = 82.66000009
Iteration 18, 101 moved objects, max delta = 0.01382003969, deltaT = 93.56099987
Iteration 19, 78 moved objects, max delta = 0.01281348881, deltaT = 81.34300017
Iteration 20, 67 moved objects, max delta = 0.007784828683, deltaT = 90.20300007
Iteration 21, 51 moved objects, max delta = 0.006835641982, deltaT = 79.1170001
Iteration 22, 50 moved objects, max delta = 0.00439210259, deltaT = 90.92699981
Iteration 23, 38 moved objects, max delta = 0.005491986912, deltaT = 87.82000017
Iteration 24, 32 moved objects, max delta = 0.003379985424, deltaT = 84.37699986
Iteration 25, 29 moved objects, max delta = 0.00284545207, deltaT = 87.79399991
Iteration 26, 29 moved objects, max delta = 0.003486632745, deltaT = 82.93500018
Iteration 27, 28 moved objects, max delta = 0.002784960343, deltaT = 90.43599987
Iteration 28, 20 moved objects, max delta = 0.003392490897, deltaT = 87.49499989
Iteration 29, 21 moved objects, max delta = 0.002236186092, deltaT = 86.28700018
Iteration 30, 17 moved objects, max delta = 0.002192569058, deltaT = 92.08800006
Iteration 31, 20 moved objects, max delta = 0.002327553295, deltaT = 93.36999989
Iteration 32, 18 moved objects, max delta = 0.001528822372, deltaT = 82.03500009
Iteration 33, 15 moved objects, max delta = 0.002368687951, deltaT = 98.61999989
Iteration 34, 16 moved objects, max delta = 0.003080671044, deltaT = 78.92600012
Iteration 35, 9 moved objects, max delta = 0.003744296863, deltaT = 91.83599997
Iteration 36, 12 moved objects, max delta = 0.00224886767, deltaT = 81.50300002
Iteration 37, 14 moved objects, max delta = 0.002315968629, deltaT = 98.01200008
Iteration 38, 9 moved objects, max delta = 0.001772283683, deltaT = 91.47900009
Iteration 39, 4 moved objects, max delta = 0.001211781557, deltaT = 85.46599984
Iteration 40, 2 moved objects, max delta = 0.0001890054504, deltaT = 80.41899991
Iteration 41, 2 moved objects, max delta = 2.100963571e-05, deltaT = 87.39400005
Iteration 42, 3 moved objects, max delta = 8.072431206e-05, deltaT = 92.12800002
Iteration 43, 3 moved objects, max delta = 0.0001342040809, deltaT = 85.79399991
Iteration 44, 3 moved objects, max delta = 0.00069338293, deltaT = 95.23799992
Iteration 45, 7 moved objects, max delta = 0.0009551732832, deltaT = 84.21799994
Iteration 46, 11 moved objects, max delta = 0.00173712427, deltaT = 97.41199994
Iteration 47, 18 moved objects, max delta = 0.001977481695, deltaT = 83.05200005
Iteration 48, 20 moved objects, max delta = 0.004080855611, deltaT = 91.04399991
Iteration 49, 22 moved objects, max delta = 0.002207269415, deltaT = 80.24300003
Iteration 50, 22 moved objects, max delta = 0.003442010353, deltaT = 98.39599991
Iteration 51, 12 moved objects, max delta = 0.00399113115, deltaT = 90.18600011
Iteration 52, 8 moved objects, max delta = 0.001424251003, deltaT = 88.17599988
Iteration 53, 12 moved objects, max delta = 0.001260526107, deltaT = 83.67799997
Iteration 54, 9 moved objects, max delta = 0.002030878019, deltaT = 92.38600016
Iteration 55, 9 moved objects, max delta = 0.001585806934, deltaT = 80.95700002
Iteration 56, 12 moved objects, max delta = 0.001728666179, deltaT = 92.81099987
Iteration 57, 12 moved objects, max delta = 0.002146654481, deltaT = 90.22000003
Iteration 58, 17 moved objects, max delta = 0.002257695648, deltaT = 93.49499989
Iteration 59, 16 moved objects, max delta = 0.002989856109, deltaT = 75.60000014
Iteration 60, 15 moved objects, max delta = 0.003514564866, deltaT = 102.9359999
Iteration 61, 10 moved objects, max delta = 0.001758718813, deltaT = 81.90899992
Iteration 62, 9 moved objects, max delta = 0.00104394133, deltaT = 88.81100011
Iteration 63, 8 moved objects, max delta = 0.001581865101, deltaT = 84.27000022
Iteration 64, 10 moved objects, max delta = 0.001016159329, deltaT = 95.11100006
Iteration 65, 7 moved objects, max delta = 0.001106417365, deltaT = 80.00299978
Iteration 66, 7 moved objects, max delta = 0.001543559863, deltaT = 86.29299998
Iteration 67, 7 moved objects, max delta = 0.001682780292, deltaT = 90.3269999
Iteration 68, 4 moved objects, max delta = 0.001157371812, deltaT = 103.997
Iteration 69, 5 moved objects, max delta = 0.00025008566, deltaT = 80.16000009
Iteration 70, 6 moved objects, max delta = 0.0003197087031, deltaT = 83.61800003
Iteration 71, 5 moved objects, max delta = 0.001202657746, deltaT = 101.329
Iteration 72, 0 moved object, max delta = 0, deltaT = 82.31800008
Total 72 iterations, 25290 moved objects, clustering performed in 6365.6 s
Total time with loading: 6730.162 s
