12000, 5, /data/simple/testSwap_2.matrix, object normalized
9.094000101
0, 9500, 0.9013627951, 2.39199996
1, 1287, 0.7318407561, 0.3289999962
2, 419, 0.1712321802, 0.1069998741
3, 260, 0.1310769384, 0.06700015068
4, 220, 0.1123336365, 0.0569999218
5, 192, 0.09266851036, 0.04999995232
6, 162, 0.0842257098, 0.04200005531
7, 156, 0.08640381558, 0.04099988937
8, 130, 0.06445919392, 0.03400015831
9, 108, 0.06806921113, 0.02799987793
10, 90, 0.05962877858, 0.02399992943
11, 79, 0.04141443227, 0.02100014687
12, 96, 0.0433461771, 0.02499985695
13, 84, 0.03639183516, 0.02200007439
14, 116, 0.05197655278, 0.03100013733
15, 115, 0.06389819168, 0.02999997139
16, 110, 0.05500218367, 0.02900004387
17, 133, 0.05714900507, 0.03499984741
18, 146, 0.07381011423, 0.03800010681
19, 163, 0.07550450014, 0.04199981689
20, 148, 0.07592381603, 0.03900003433
21, 121, 0.06760312864, 0.03200006485
22, 130, 0.06794424453, 0.03399991989
23, 155, 0.07380731004, 0.04000020027
24, 131, 0.06475975047, 0.03399991989
25, 159, 0.05286799052, 0.04200005531
26, 194, 0.05072456732, 0.04999995232
27, 232, 0.06681508847, 0.05999994278
28, 198, 0.08133508208, 0.05200004578
29, 181, 0.07322635702, 0.04699993134
30, 157, 0.05874050513, 0.04100012779
31, 109, 0.04464651376, 0.02799987793
32, 84, 0.03466529309, 0.02300000191
33, 82, 0.03151978919, 0.02100014687
34, 102, 0.03807760103, 0.02699995041
35, 80, 0.04057027822, 0.02199983597
36, 70, 0.04356233282, 0.01800012589
37, 93, 0.04430228134, 0.02500009537
38, 83, 0.0427023099, 0.02199983597
39, 75, 0.03703127713, 0.01999998093
40, 68, 0.03011508261, 0.01800012589
41, 51, 0.02474665584, 0.01399993896
42, 45, 0.02422169864, 0.01200008392
43, 24, 0.01277230487, 0.006999969482
44, 21, 0.01024815769, 0.006999969482
45, 17, 0.008583440301, 0.004999876022
46, 25, 0.01256337223, 0.007000207901
47, 27, 0.01366177506, 0.007999897003
48, 26, 0.01210834629, 0.006999969482
49, 18, 0.008941153461, 0.006000041962
50, 19, 0.007052117035, 0.004999876022
51, 15, 0.006824676209, 0.005000114441
52, 9, 0.007516007702, 0.003000020981
53, 2, 0.002488013327, 0.00200009346
54, 0, 0, 0.0009999275208
55, 16517, 4.227999926
13.32200003
