18000, 5, /data/simple/testSwap_8.matrix, object normalized
2.248999834
0, 14285, 0.9798534466, 5.245000124
1, 1065, 0.757970962, 0.3919999599
2, 334, 0.1077941684, 0.1229999065
3, 203, 0.03341230131, 0.0759999752
4, 132, 0.02222175669, 0.0490000248
5, 81, 0.01768030546, 0.03100013733
6, 44, 0.01039081026, 0.01699995995
7, 21, 0.004833850721, 0.009000062943
8, 28, 0.008892435864, 0.0119998455
9, 26, 0.01057977458, 0.009999990463
10, 17, 0.004959688605, 0.008000135422
11, 16, 0.004739081036, 0.006999969482
12, 10, 0.00383423023, 0.004999876022
13, 5, 0.001653441301, 0.003000020981
14, 1, 0.0002691152421, 0.001000165939
15, 0, 0, 0.001999855042
16, 16268, 5.99000001
8.238999844
