K-averages clustering of 18000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_8.matrix'
Loading data and computing initial values: 425.1619999 s (all future times given in seconds)
Iteration 1, 13999 moved objects, max delta = 0.0245193805, deltaT = 111.0580001
Iteration 2, 2582 moved objects, max delta = 0.5295698082, deltaT = 106.631
Iteration 3, 2248 moved objects, max delta = 0.2088112154, deltaT = 106.3270001
Iteration 4, 2000 moved objects, max delta = 0.3720432743, deltaT = 92.27200007
Iteration 5, 978 moved objects, max delta = 0.1134151743, deltaT = 108.9690001
Iteration 6, 724 moved objects, max delta = 0.09712550076, deltaT = 108.3269999
Iteration 7, 547 moved objects, max delta = 0.08015902513, deltaT = 95.59200001
Iteration 8, 392 moved objects, max delta = 0.08507443647, deltaT = 109.786
Iteration 9, 302 moved objects, max delta = 0.07214665972, deltaT = 103.026
Iteration 10, 219 moved objects, max delta = 0.06936461755, deltaT = 102.7180002
Iteration 11, 213 moved objects, max delta = 0.05516166236, deltaT = 102.6890001
Iteration 12, 218 moved objects, max delta = 0.04781092574, deltaT = 98.89300013
Iteration 13, 197 moved objects, max delta = 0.04658678784, deltaT = 105.4519999
Iteration 14, 185 moved objects, max delta = 0.03657593687, deltaT = 96.5170002
Iteration 15, 190 moved objects, max delta = 0.0342781562, deltaT = 104.2130001
Iteration 16, 195 moved objects, max delta = 0.03297976359, deltaT = 107.0190001
Iteration 17, 189 moved objects, max delta = 0.03283035826, deltaT = 113.8869998
Iteration 18, 180 moved objects, max delta = 0.02829366086, deltaT = 93.58800006
Iteration 19, 178 moved objects, max delta = 0.02773308191, deltaT = 101.664
Iteration 20, 217 moved objects, max delta = 0.02598008298, deltaT = 108.6690001
Iteration 21, 213 moved objects, max delta = 0.02937477669, deltaT = 103.6689999
Iteration 22, 210 moved objects, max delta = 0.0286688374, deltaT = 88.50399995
Iteration 23, 221 moved objects, max delta = 0.02775818842, deltaT = 106.4850001
Iteration 24, 240 moved objects, max delta = 0.03137284127, deltaT = 109.868
Iteration 25, 276 moved objects, max delta = 0.03945602464, deltaT = 92.8920002
Iteration 26, 289 moved objects, max delta = 0.05258706582, deltaT = 108.1440001
Iteration 27, 280 moved objects, max delta = 0.05186026441, deltaT = 103.2019999
Iteration 28, 257 moved objects, max delta = 0.04732221785, deltaT = 89.48399997
Iteration 29, 216 moved objects, max delta = 0.03919230109, deltaT = 109.128
Iteration 30, 184 moved objects, max delta = 0.03090363725, deltaT = 97.44200015
Iteration 31, 158 moved objects, max delta = 0.0244817029, deltaT = 110.3930001
Iteration 32, 161 moved objects, max delta = 0.01909244916, deltaT = 100.207
Iteration 33, 121 moved objects, max delta = 0.01872643402, deltaT = 96.14199996
Iteration 34, 111 moved objects, max delta = 0.01477393946, deltaT = 119.391
Iteration 35, 96 moved objects, max delta = 0.01156140304, deltaT = 110.9780002
Iteration 36, 80 moved objects, max delta = 0.01347930077, deltaT = 91.546
Iteration 37, 59 moved objects, max delta = 0.01261699572, deltaT = 104.402
Iteration 38, 58 moved objects, max delta = 0.0077067054, deltaT = 102.471
Iteration 39, 50 moved objects, max delta = 0.006350384471, deltaT = 100.9809999
Iteration 40, 42 moved objects, max delta = 0.008071752757, deltaT = 105.961
Iteration 41, 45 moved objects, max delta = 0.006129206402, deltaT = 99.50999999
Iteration 42, 40 moved objects, max delta = 0.006610754197, deltaT = 97.95899987
Iteration 43, 32 moved objects, max delta = 0.006002303153, deltaT = 100.1090002
Iteration 44, 26 moved objects, max delta = 0.003564277646, deltaT = 115.5870001
Iteration 45, 16 moved objects, max delta = 0.002860558135, deltaT = 103.0679998
Iteration 46, 17 moved objects, max delta = 0.001998093542, deltaT = 118.8169999
Iteration 47, 9 moved objects, max delta = 0.001044302975, deltaT = 97.73000002
Iteration 48, 13 moved objects, max delta = 0.0007386708489, deltaT = 103.902
Iteration 49, 13 moved objects, max delta = 0.001755337491, deltaT = 107.168
Iteration 50, 15 moved objects, max delta = 0.001687744547, deltaT = 101.2349999
Iteration 51, 10 moved objects, max delta = 0.001873979654, deltaT = 99.41400003
Iteration 52, 7 moved objects, max delta = 0.001843738395, deltaT = 107.148
Iteration 53, 7 moved objects, max delta = 0.001371441189, deltaT = 104.1260002
Iteration 54, 9 moved objects, max delta = 0.001293982252, deltaT = 112.6830001
Iteration 55, 8 moved objects, max delta = 0.002332485547, deltaT = 100.0639999
Iteration 56, 7 moved objects, max delta = 0.001150250463, deltaT = 106.8099999
Iteration 57, 4 moved objects, max delta = 0.001442148376, deltaT = 110.0439999
Iteration 58, 4 moved objects, max delta = 0.0005438280816, deltaT = 105.8769999
Iteration 59, 2 moved objects, max delta = 0.0001182049075, deltaT = 98.0630002
Iteration 60, 1 moved object, max delta = 0.0004359993023, deltaT = 110.2360001
Iteration 61, 3 moved objects, max delta = 0.0003323233791, deltaT = 113.086
Iteration 62, 3 moved objects, max delta = 0.0002843734356, deltaT = 103.0350001
Iteration 63, 5 moved objects, max delta = 0.0003421613244, deltaT = 112.4489999
Iteration 64, 5 moved objects, max delta = 0.0003584686575, deltaT = 92.88800001
Iteration 65, 6 moved objects, max delta = 0.001315702403, deltaT = 104.2770002
