18000, 5, /data/simple/testSwap_8.matrix, object normalized
2.26699996
0, 14302, 0.942124581, 5.230000019
1, 2619, 0.7592389464, 0.9539999962
2, 715, 0.455917491, 0.260999918
3, 317, 0.1014835822, 0.117000103
4, 154, 0.03712450987, 0.0569999218
5, 79, 0.0265282081, 0.02999997139
6, 71, 0.01555915071, 0.02699995041
7, 25, 0.0101231216, 0.009999990463
8, 33, 0.007500537272, 0.01300001144
9, 31, 0.01083391686, 0.01300001144
10, 36, 0.007954064432, 0.01400017738
11, 32, 0.0136825881, 0.01300001144
12, 35, 0.009166842218, 0.01399993896
13, 41, 0.006567714596, 0.01600003242
14, 45, 0.00781340019, 0.01799988747
15, 25, 0.007793045476, 0.01099991798
16, 19, 0.006567142478, 0.008000135422
17, 13, 0.003751021465, 0.006000041962
18, 15, 0.002353935658, 0.006999969482
19, 21, 0.006718173597, 0.009000062943
20, 22, 0.00659537498, 0.008999824524
21, 14, 0.003444609721, 0.006999969482
22, 9, 0.002111810362, 0.00400018692
23, 17, 0.005227515811, 0.007999897003
24, 7, 0.003727954045, 0.003999948502
25, 17, 0.00569792016, 0.006999969482
26, 17, 0.005214704488, 0.007000207901
27, 18, 0.005790721627, 0.007999897003
28, 26, 0.007590288071, 0.01099991798
29, 17, 0.007544408169, 0.006999969482
30, 10, 0.002053369934, 0.005000114441
31, 10, 0.002384300502, 0.005000114441
32, 6, 0.001333962497, 0.002999782562
33, 7, 0.003881593948, 0.00400018692
34, 13, 0.00212716009, 0.005999803543
35, 14, 0.004815781832, 0.006000041962
36, 12, 0.005618077403, 0.006000041962
37, 8, 0.002029795206, 0.003999948502
38, 11, 0.005608358663, 0.005000114441
39, 11, 0.001528347175, 0.006000041962
40, 5, 0.0008542145742, 0.003000020981
41, 4, 0.001379520637, 0.001999855042
42, 1, 2.546695494e-05, 0.00200009346
43, 0, 0, 0.0009999275208
44, 18904, 6.957999945
9.224999905
