18000, 5, /data/simple/testSwap_8.matrix, object normalized
401.273
0, 14284, 0.9858190222, 57.36500001
1, 1378, 0.6857110549, 11.46200013
2, 652, 0.2241738838, 2.490999937
3, 395, 0.1331247483, 1.519000053
4, 304, 0.1006768969, 1.204999924
5, 217, 0.08161152638, 0.6919999123
6, 186, 0.06474565267, 0.5650000572
7, 147, 0.04950077165, 0.368999958
8, 140, 0.04585810477, 0.4019999504
9, 127, 0.03980886418, 0.353000164
10, 106, 0.03259458451, 0.2999999523
11, 84, 0.01741788199, 0.2330000401
12, 63, 0.009170660271, 0.05200004578
13, 56, 0.01124267211, 0.1119999886
14, 41, 0.006642700316, 0.0490000248
15, 44, 0.00878658646, 0.1259999275
16, 29, 0.008081386459, 0.09399986267
17, 11, 0.004993720014, 0.03900003433
18, 8, 0.002815438631, 0.05599999428
19, 2, 0.0007488609255, 0.0110001564
20, 1, 5.208703874e-05, 0.001999855042
21, 0, 0, 0.001000165939
22, 18275, 77.61800003
478.9360001
