K-averages clustering of 19000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_9.matrix'
Loading data and computing initial values: 2.207000017 s (all future times given in seconds)
Iteration 1, 14823 moved objects, max delta = 0.01834919691, deltaT = 2.983999968
Iteration 2, 2901 moved objects, max delta = 0.2000812066, deltaT = 2.835999966
Iteration 3, 2137 moved objects, max delta = 0.1687128463, deltaT = 2.870000124
Iteration 4, 1373 moved objects, max delta = 0.2963458883, deltaT = 2.859999895
Iteration 5, 668 moved objects, max delta = 0.1168064119, deltaT = 2.772000074
Iteration 6, 371 moved objects, max delta = 0.04926320313, deltaT = 2.766000032
Iteration 7, 239 moved objects, max delta = 0.02735887187, deltaT = 2.734999895
Iteration 8, 159 moved objects, max delta = 0.0169801702, deltaT = 2.769000053
Iteration 9, 137 moved objects, max delta = 0.01293205742, deltaT = 2.72300005
Iteration 10, 103 moved objects, max delta = 0.01191295467, deltaT = 2.745999813
Iteration 11, 97 moved objects, max delta = 0.0106459859, deltaT = 2.812000036
Iteration 12, 103 moved objects, max delta = 0.01102999623, deltaT = 2.738000154
Iteration 13, 99 moved objects, max delta = 0.01189965112, deltaT = 2.720000029
Iteration 14, 75 moved objects, max delta = 0.01009686974, deltaT = 2.728999853
Iteration 15, 70 moved objects, max delta = 0.01281470264, deltaT = 2.720000029
Iteration 16, 69 moved objects, max delta = 0.008277175747, deltaT = 2.72300005
Iteration 17, 59 moved objects, max delta = 0.01028967816, deltaT = 2.721999884
Iteration 18, 55 moved objects, max delta = 0.007455502747, deltaT = 2.72300005
Iteration 19, 48 moved objects, max delta = 0.008099434823, deltaT = 2.724999905
Iteration 20, 53 moved objects, max delta = 0.007755604635, deltaT = 2.727000237
Iteration 21, 58 moved objects, max delta = 0.006572386512, deltaT = 2.722999811
Iteration 22, 60 moved objects, max delta = 0.00775030425, deltaT = 2.723999977
Iteration 23, 62 moved objects, max delta = 0.007838503284, deltaT = 2.721000195
Iteration 24, 58 moved objects, max delta = 0.007989538469, deltaT = 2.717000008
Iteration 25, 66 moved objects, max delta = 0.00699978308, deltaT = 2.820999861
Iteration 26, 78 moved objects, max delta = 0.006682528732, deltaT = 2.740999937
Iteration 27, 64 moved objects, max delta = 0.0104653381, deltaT = 2.72300005
Iteration 28, 55 moved objects, max delta = 0.008140679763, deltaT = 2.722000122
Iteration 29, 55 moved objects, max delta = 0.00599394675, deltaT = 2.778999805
Iteration 30, 44 moved objects, max delta = 0.005585617285, deltaT = 2.757000208
Iteration 31, 46 moved objects, max delta = 0.003428370428, deltaT = 2.722999811
Iteration 32, 32 moved objects, max delta = 0.004153442799, deltaT = 2.729000092
Iteration 33, 33 moved objects, max delta = 0.00351663202, deltaT = 2.77699995
Iteration 34, 29 moved objects, max delta = 0.00337599702, deltaT = 2.726999998
Iteration 35, 25 moved objects, max delta = 0.003347082861, deltaT = 2.720000029
Iteration 36, 32 moved objects, max delta = 0.004255095824, deltaT = 2.72300005
Iteration 37, 38 moved objects, max delta = 0.00496917333, deltaT = 2.727999926
Iteration 38, 40 moved objects, max delta = 0.004737394411, deltaT = 2.722000122
Iteration 39, 45 moved objects, max delta = 0.007159144167, deltaT = 2.720999956
Iteration 40, 49 moved objects, max delta = 0.006999683866, deltaT = 2.739000082
Iteration 41, 52 moved objects, max delta = 0.006923016656, deltaT = 2.785999775
Iteration 42, 52 moved objects, max delta = 0.009587878671, deltaT = 2.758000135
Iteration 43, 48 moved objects, max delta = 0.007223088126, deltaT = 2.72300005
Iteration 44, 43 moved objects, max delta = 0.006813189465, deltaT = 2.715999842
Iteration 45, 48 moved objects, max delta = 0.006786846215, deltaT = 2.72300005
Iteration 46, 40 moved objects, max delta = 0.006137697078, deltaT = 2.717999935
Iteration 47, 36 moved objects, max delta = 0.005219756413, deltaT = 2.769000053
Iteration 48, 39 moved objects, max delta = 0.00418523635, deltaT = 2.819000006
Iteration 49, 37 moved objects, max delta = 0.00425445131, deltaT = 2.735000134
Iteration 50, 34 moved objects, max delta = 0.002991712965, deltaT = 2.730000019
Iteration 51, 31 moved objects, max delta = 0.003208667563, deltaT = 2.829999924
Iteration 52, 31 moved objects, max delta = 0.003798637719, deltaT = 2.815999985
Iteration 53, 35 moved objects, max delta = 0.00461232131, deltaT = 2.723999977
Iteration 54, 34 moved objects, max delta = 0.003611323258, deltaT = 2.75999999
Iteration 55, 23 moved objects, max delta = 0.003328162405, deltaT = 2.722000122
Iteration 56, 19 moved objects, max delta = 0.00197654955, deltaT = 2.724999905
Iteration 57, 21 moved objects, max delta = 0.001958304916, deltaT = 2.729000092
Iteration 58, 12 moved objects, max delta = 0.002615635375, deltaT = 2.846999884
Iteration 59, 11 moved objects, max delta = 0.001629607305, deltaT = 2.825000048
Iteration 60, 13 moved objects, max delta = 0.001304482004, deltaT = 2.723999977
Iteration 61, 10 moved objects, max delta = 0.002225595828, deltaT = 2.730000019
Iteration 62, 13 moved objects, max delta = 0.001571857887, deltaT = 2.721999884
Iteration 63, 14 moved objects, max delta = 0.0008759276511, deltaT = 2.726999998
Iteration 64, 12 moved objects, max delta = 0.0009433375186, deltaT = 2.723999977
Iteration 65, 8 moved objects, max delta = 0.001470252743, deltaT = 2.722000122
Iteration 66, 7 moved objects, max delta = 0.0007486394415, deltaT = 2.717999935
Iteration 67, 7 moved objects, max delta = 0.0006073145893, deltaT = 2.720000029
Iteration 68, 5 moved objects, max delta = 0.0007470762817, deltaT = 2.72300005
Iteration 69, 1 moved object, max delta = 9.658916703e-05, deltaT = 2.72300005
Iteration 70, 2 moved objects, max delta = 0.0003842298542, deltaT = 2.720999956
Iteration 71, 5 moved objects, max delta = 0.0004508261883, deltaT = 2.775000095
Iteration 72, 5 moved objects, max delta = 0.001001051511, deltaT = 2.746000051
Iteration 73, 2 moved objects, max delta = 0.0008619124125, deltaT = 2.718999863
Iteration 74, 0 moved object, max delta = 0, deltaT = 2.723999977
Total 74 iterations, 25358 moved objects, clustering performed in 203.5109999 s
Total time with loading: 205.7179999 s
