12000, 5, /data/simple/testSwap_2.matrix, object normalized
1.019000053
0, 9518, 0.912021701, 2.31400013
1, 919, 0.7403711926, 0.2249999046
2, 393, 0.1400107539, 0.09500002861
3, 298, 0.1397354722, 0.07399988174
4, 310, 0.1409054034, 0.0759999752
5, 298, 0.1380060894, 0.0720000267
6, 283, 0.1321068579, 0.07000017166
7, 225, 0.1283218326, 0.05499982834
8, 181, 0.09943564913, 0.04500007629
9, 131, 0.0769888551, 0.03200006485
10, 135, 0.04613817093, 0.03399991989
11, 94, 0.03395342894, 0.02399992943
12, 58, 0.02203072862, 0.0150001049
13, 45, 0.01460777024, 0.01200008392
14, 42, 0.01451752131, 0.01099991798
15, 34, 0.01322611773, 0.009000062943
16, 18, 0.01293190918, 0.004999876022
17, 11, 0.005803463474, 0.003000020981
18, 22, 0.01037577305, 0.006999969482
19, 29, 0.01207307438, 0.008000135422
20, 9, 0.01029169068, 0.003000020981
21, 0, 0, 0.0009999275208
22, 13053, 3.190000057
4.209000111
