16000, 5, /data/simple/testSwap_6.matrix, object normalized
315.2950001
0, 12741, 0.9373926765, 25.49099994
1, 1187, 0.8001111043, 2.316999912
2, 337, 0.1965109331, 0.5020000935
3, 224, 0.07981274234, 0.2949998379
4, 115, 0.04111689028, 0.2230000496
5, 62, 0.01610008825, 0.09400010109
6, 43, 0.01209215541, 0.03399991989
7, 30, 0.008302198786, 0.04800009727
8, 22, 0.00716339794, 0.03499984741
9, 27, 0.008428468982, 0.03299999237
10, 21, 0.008991223901, 0.03400015831
11, 25, 0.004509781172, 0.07299995422
12, 33, 0.01357689904, 0.05599999428
13, 37, 0.01427214969, 0.06399989128
14, 34, 0.01597280369, 0.05000019073
15, 40, 0.01615048005, 0.08399987221
16, 43, 0.01578205007, 0.05400013924
17, 34, 0.01574537147, 0.05099987984
18, 14, 0.004994170698, 0.01699995995
19, 6, 0.001037592004, 0.009999990463
20, 6, 0.001063609707, 0.003000020981
21, 0, 0, 0.001000165939
22, 15081, 29.60500002
344.9000001
