K-averages clustering of 10000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_0.matrix'
Loading data and computing initial values: 0.6070001125 s (all future times given in seconds)
Iteration 1, 7685 moved objects, max delta = 0.02393750395, deltaT = 0.8059999943
Iteration 2, 1545 moved objects, max delta = 0.5220743383, deltaT = 0.7889997959
Iteration 3, 778 moved objects, max delta = 0.1864312191, deltaT = 0.7670001984
Iteration 4, 556 moved objects, max delta = 0.1423871138, deltaT = 0.7479999065
Iteration 5, 384 moved objects, max delta = 0.1336448444, deltaT = 0.7490000725
Iteration 6, 279 moved objects, max delta = 0.09165182402, deltaT = 0.7479999065
Iteration 7, 201 moved objects, max delta = 0.06241139837, deltaT = 0.7509999275
Iteration 8, 175 moved objects, max delta = 0.04781247757, deltaT = 0.7460000515
Iteration 9, 159 moved objects, max delta = 0.04126375741, deltaT = 0.746999979
Iteration 10, 157 moved objects, max delta = 0.02553702851, deltaT = 0.746999979
Iteration 11, 133 moved objects, max delta = 0.02415172863, deltaT = 0.75
Iteration 12, 158 moved objects, max delta = 0.02639298874, deltaT = 0.7490000725
Iteration 13, 151 moved objects, max delta = 0.03100260479, deltaT = 0.7520000935
Iteration 14, 146 moved objects, max delta = 0.04000004684, deltaT = 0.75
Iteration 15, 133 moved objects, max delta = 0.03413974667, deltaT = 0.7509999275
Iteration 16, 142 moved objects, max delta = 0.03102266534, deltaT = 0.7509999275
Iteration 17, 151 moved objects, max delta = 0.03216549865, deltaT = 0.7550001144
Iteration 18, 151 moved objects, max delta = 0.0349808058, deltaT = 0.7619998455
Iteration 19, 146 moved objects, max delta = 0.03320432324, deltaT = 0.7540001869
Iteration 20, 135 moved objects, max delta = 0.03140392965, deltaT = 0.7539999485
Iteration 21, 124 moved objects, max delta = 0.02431897929, deltaT = 0.757999897
Iteration 22, 111 moved objects, max delta = 0.02611558862, deltaT = 0.7850000858
Iteration 23, 84 moved objects, max delta = 0.02358769319, deltaT = 0.7879998684
Iteration 24, 89 moved objects, max delta = 0.01776369009, deltaT = 0.7780001163
Iteration 25, 67 moved objects, max delta = 0.02110030343, deltaT = 0.7509999275
Iteration 26, 64 moved objects, max delta = 0.02075162431, deltaT = 0.75
Iteration 27, 61 moved objects, max delta = 0.01638482535, deltaT = 0.75
Iteration 28, 67 moved objects, max delta = 0.01520842637, deltaT = 0.75
Iteration 29, 83 moved objects, max delta = 0.01832268006, deltaT = 0.7510001659
Iteration 30, 88 moved objects, max delta = 0.02114916513, deltaT = 0.7529997826
Iteration 31, 80 moved objects, max delta = 0.02161184583, deltaT = 0.753000021
Iteration 32, 67 moved objects, max delta = 0.02323098872, deltaT = 0.7699999809
Iteration 33, 70 moved objects, max delta = 0.02243654449, deltaT = 0.7740001678
Iteration 34, 63 moved objects, max delta = 0.01843600432, deltaT = 0.7599999905
Iteration 35, 59 moved objects, max delta = 0.01936282486, deltaT = 0.7849998474
Iteration 36, 43 moved objects, max delta = 0.01954687609, deltaT = 0.7640001774
Iteration 37, 50 moved objects, max delta = 0.01321702267, deltaT = 0.7819998264
Iteration 38, 36 moved objects, max delta = 0.01566627919, deltaT = 0.75
Iteration 39, 41 moved objects, max delta = 0.008788690755, deltaT = 0.7510001659
Iteration 40, 39 moved objects, max delta = 0.01247318815, deltaT = 0.75
Iteration 41, 41 moved objects, max delta = 0.007817927826, deltaT = 0.7509999275
Iteration 42, 41 moved objects, max delta = 0.01043266071, deltaT = 0.7509999275
Iteration 43, 31 moved objects, max delta = 0.01084308283, deltaT = 0.7510001659
Iteration 44, 31 moved objects, max delta = 0.007275687966, deltaT = 0.754999876
Iteration 45, 37 moved objects, max delta = 0.007590423656, deltaT = 0.7799999714
Iteration 46, 36 moved objects, max delta = 0.01049397906, deltaT = 0.75
Iteration 47, 33 moved objects, max delta = 0.007994839555, deltaT = 0.75
Iteration 48, 30 moved objects, max delta = 0.008757550854, deltaT = 0.756000042
Iteration 49, 25 moved objects, max delta = 0.005772962465, deltaT = 0.7490000725
Iteration 50, 26 moved objects, max delta = 0.00572295689, deltaT = 0.7539999485
Iteration 51, 30 moved objects, max delta = 0.004414081426, deltaT = 0.7520000935
Iteration 52, 22 moved objects, max delta = 0.005794216586, deltaT = 0.7509999275
Iteration 53, 17 moved objects, max delta = 0.006523218741, deltaT = 0.7509999275
Iteration 54, 28 moved objects, max delta = 0.005906543814, deltaT = 0.7550001144
Iteration 55, 22 moved objects, max delta = 0.006473879987, deltaT = 0.75
Iteration 56, 27 moved objects, max delta = 0.007086701942, deltaT = 0.7539999485
Iteration 57, 34 moved objects, max delta = 0.006532117814, deltaT = 0.75
Iteration 58, 30 moved objects, max delta = 0.01125993237, deltaT = 0.7509999275
Iteration 59, 23 moved objects, max delta = 0.009086228638, deltaT = 0.75
Iteration 60, 25 moved objects, max delta = 0.007064880488, deltaT = 0.7510001659
Iteration 61, 35 moved objects, max delta = 0.0101593555, deltaT = 0.7509999275
Iteration 62, 35 moved objects, max delta = 0.01273859594, deltaT = 0.753000021
Iteration 63, 22 moved objects, max delta = 0.009283147858, deltaT = 0.7509999275
Iteration 64, 26 moved objects, max delta = 0.006226862958, deltaT = 0.75
Iteration 65, 24 moved objects, max delta = 0.004896989065, deltaT = 0.7490000725
Iteration 66, 24 moved objects, max delta = 0.005846534108, deltaT = 0.751999855
Iteration 67, 20 moved objects, max delta = 0.003049565505, deltaT = 0.75
Iteration 68, 17 moved objects, max delta = 0.003497627602, deltaT = 0.7539999485
Iteration 69, 13 moved objects, max delta = 0.006065633185, deltaT = 0.7509999275
Iteration 70, 13 moved objects, max delta = 0.00382176035, deltaT = 0.7520000935
Iteration 71, 11 moved objects, max delta = 0.002546684596, deltaT = 0.7590000629
Iteration 72, 10 moved objects, max delta = 0.002745347928, deltaT = 0.7509999275
Iteration 73, 8 moved objects, max delta = 0.001564633818, deltaT = 0.75
Iteration 74, 10 moved objects, max delta = 0.001373608673, deltaT = 0.7520000935
Iteration 75, 8 moved objects, max delta = 0.001095245466, deltaT = 0.7509999275
Iteration 76, 5 moved objects, max delta = 0.00173094164, deltaT = 0.7520000935
Iteration 77, 6 moved objects, max delta = 0.002126044473, deltaT = 0.7569999695
Iteration 78, 6 moved objects, max delta = 0.002592312992, deltaT = 0.7769999504
Iteration 79, 3 moved objects, max delta = 0.0004950617645, deltaT = 0.7479999065
Iteration 80, 1 moved object, max delta = 0.000103231387, deltaT = 0.75
Iteration 81, 1 moved object, max delta = 0.0002714014742, deltaT = 0.7470002174
Iteration 82, 1 moved object, max delta = 1.860329276e-05, deltaT = 0.7509999275
Iteration 83, 0 moved object, max delta = 0, deltaT = 0.75
Total 83 iterations, 15639 moved objects, clustering performed in 62.75099993 s
Total time with loading: 63.35800004 s
