K-averages clustering of 19000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_9.matrix', metrics: object normalized
Loading data and computing initial values: 2.531000137 s (all future times given in seconds)
Iteration 1, 15044 moved objects, max delta = 0.9163613442, deltaT = 5.809999943
Iteration 2, 2232 moved objects, max delta = 0.7140843867, deltaT = 0.8559999466
Iteration 3, 609 moved objects, max delta = 0.2106433539, deltaT = 0.2339999676
Iteration 4, 398 moved objects, max delta = 0.1024562102, deltaT = 0.1530001163
Iteration 5, 264 moved objects, max delta = 0.07420594456, deltaT = 0.1019999981
Iteration 6, 179 moved objects, max delta = 0.04767916238, deltaT = 0.06900000572
Iteration 7, 140 moved objects, max delta = 0.02856164614, deltaT = 0.05500006676
Iteration 8, 139 moved objects, max delta = 0.03270948231, deltaT = 0.05399990082
Iteration 9, 115 moved objects, max delta = 0.03847395988, deltaT = 0.04500007629
Iteration 10, 89 moved objects, max delta = 0.0254436931, deltaT = 0.03600001335
Iteration 11, 82 moved objects, max delta = 0.02732999558, deltaT = 0.03299999237
Iteration 12, 98 moved objects, max delta = 0.02356138285, deltaT = 0.03799986839
Iteration 13, 95 moved objects, max delta = 0.0248706739, deltaT = 0.03800010681
Iteration 14, 70 moved objects, max delta = 0.02541276132, deltaT = 0.02799987793
Iteration 15, 47 moved objects, max delta = 0.01863333177, deltaT = 0.01999998093
Iteration 16, 40 moved objects, max delta = 0.01335770039, deltaT = 0.01600003242
Iteration 17, 26 moved objects, max delta = 0.01269060682, deltaT = 0.0110001564
Iteration 18, 24 moved objects, max delta = 0.003493082567, deltaT = 0.01099991798
Iteration 19, 12 moved objects, max delta = 0.00605185311, deltaT = 0.006000041962
Iteration 20, 14 moved objects, max delta = 0.003270222309, deltaT = 0.006999969482
Iteration 21, 7 moved objects, max delta = 0.004579798226, deltaT = 0.003999948502
Iteration 22, 4 moved objects, max delta = 0.00137671491, deltaT = 0.003000020981
Iteration 23, 4 moved objects, max delta = 0.0004814956223, deltaT = 0.00200009346
Iteration 24, 0 moved object, max delta = 0, deltaT = 0.001999855042
Total 24 iterations, 19732 moved objects, clustering performed in 7.632999897 s
Total time with loading: 10.16400003 s
