K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 1.73300004 s (all future times given in seconds)
Iteration 1, 13322 moved objects, max delta = 0.01537594842, deltaT = 2.373999834
Iteration 2, 1791 moved objects, max delta = 0.3055265783, deltaT = 2.311000109
Iteration 3, 973 moved objects, max delta = 0.3224909018, deltaT = 2.282000065
Iteration 4, 527 moved objects, max delta = 0.07804235218, deltaT = 2.258999825
Iteration 5, 373 moved objects, max delta = 0.04648112348, deltaT = 2.245000124
Iteration 6, 255 moved objects, max delta = 0.03834598353, deltaT = 2.236999989
Iteration 7, 208 moved objects, max delta = 0.02909215933, deltaT = 2.230999947
Iteration 8, 181 moved objects, max delta = 0.0264446097, deltaT = 2.226000071
Iteration 9, 166 moved objects, max delta = 0.02690284694, deltaT = 2.316999912
Iteration 10, 128 moved objects, max delta = 0.01918042954, deltaT = 2.245000124
Iteration 11, 111 moved objects, max delta = 0.02009283098, deltaT = 2.220999956
Iteration 12, 86 moved objects, max delta = 0.01349627997, deltaT = 2.208999872
Iteration 13, 97 moved objects, max delta = 0.01124404109, deltaT = 2.219000101
Iteration 14, 100 moved objects, max delta = 0.01343565842, deltaT = 2.210000038
Iteration 15, 89 moved objects, max delta = 0.01259011265, deltaT = 2.211999893
Iteration 16, 85 moved objects, max delta = 0.01032289806, deltaT = 2.208000183
Iteration 17, 85 moved objects, max delta = 0.01058423942, deltaT = 2.205999851
Iteration 18, 89 moved objects, max delta = 0.01231134491, deltaT = 2.256000042
Iteration 19, 107 moved objects, max delta = 0.0171505621, deltaT = 2.201999903
Iteration 20, 98 moved objects, max delta = 0.01520212463, deltaT = 2.198000193
Iteration 21, 110 moved objects, max delta = 0.02046432837, deltaT = 2.201999903
Iteration 22, 103 moved objects, max delta = 0.01736453922, deltaT = 2.201999903
Iteration 23, 110 moved objects, max delta = 0.01726719236, deltaT = 2.203000069
Iteration 24, 115 moved objects, max delta = 0.01818262904, deltaT = 2.197999954
Iteration 25, 112 moved objects, max delta = 0.02059136951, deltaT = 2.205000162
Iteration 26, 116 moved objects, max delta = 0.01986253126, deltaT = 2.20299983
Iteration 27, 121 moved objects, max delta = 0.01868977762, deltaT = 2.277000189
Iteration 28, 134 moved objects, max delta = 0.01738832284, deltaT = 2.196999788
Iteration 29, 150 moved objects, max delta = 0.02143614181, deltaT = 2.205000162
Iteration 30, 161 moved objects, max delta = 0.02545013337, deltaT = 2.204999924
Iteration 31, 187 moved objects, max delta = 0.02547034778, deltaT = 2.23300004
Iteration 32, 196 moved objects, max delta = 0.02765901191, deltaT = 2.197000027
Iteration 33, 222 moved objects, max delta = 0.0279151565, deltaT = 2.204999924
Iteration 34, 217 moved objects, max delta = 0.03268385466, deltaT = 2.196000099
Iteration 35, 225 moved objects, max delta = 0.03519591735, deltaT = 2.203999996
Iteration 36, 243 moved objects, max delta = 0.03447689583, deltaT = 2.201999903
Iteration 37, 251 moved objects, max delta = 0.0344992827, deltaT = 2.193000078
Iteration 38, 262 moved objects, max delta = 0.03587453174, deltaT = 2.191999912
Iteration 39, 276 moved objects, max delta = 0.03823073109, deltaT = 2.184000015
Iteration 40, 312 moved objects, max delta = 0.04885250672, deltaT = 2.187000036
Iteration 41, 335 moved objects, max delta = 0.05592652829, deltaT = 2.188999891
Iteration 42, 310 moved objects, max delta = 0.0588307287, deltaT = 2.18900013
Iteration 43, 300 moved objects, max delta = 0.06318642048, deltaT = 2.181999922
Iteration 44, 283 moved objects, max delta = 0.05910137914, deltaT = 2.217000008
Iteration 45, 234 moved objects, max delta = 0.04930147096, deltaT = 2.180000067
Iteration 46, 243 moved objects, max delta = 0.0462064124, deltaT = 2.177999973
Iteration 47, 198 moved objects, max delta = 0.04534068837, deltaT = 2.227999926
Iteration 48, 181 moved objects, max delta = 0.03577983678, deltaT = 2.213000059
Iteration 49, 169 moved objects, max delta = 0.03125693214, deltaT = 2.181999922
Iteration 50, 168 moved objects, max delta = 0.02571718142, deltaT = 2.177000046
Iteration 51, 156 moved objects, max delta = 0.02544920843, deltaT = 2.177000046
Iteration 52, 122 moved objects, max delta = 0.02128704657, deltaT = 2.180000067
Iteration 53, 96 moved objects, max delta = 0.01914053414, deltaT = 2.184999943
Iteration 54, 85 moved objects, max delta = 0.01355236165, deltaT = 2.229000092
Iteration 55, 83 moved objects, max delta = 0.01195411015, deltaT = 2.171999931
Iteration 56, 74 moved objects, max delta = 0.009952722311, deltaT = 2.180000067
Iteration 57, 66 moved objects, max delta = 0.007684711806, deltaT = 2.178999901
Iteration 58, 54 moved objects, max delta = 0.007006721115, deltaT = 2.177000046
Iteration 59, 43 moved objects, max delta = 0.004875102038, deltaT = 2.177999973
Iteration 60, 32 moved objects, max delta = 0.004694748398, deltaT = 2.186000109
