K-averages clustering of 16000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_6.matrix'
Loading data and computing initial values: 1.536999941 s (all future times given in seconds)
Iteration 1, 12427 moved objects, max delta = 0.02148400767, deltaT = 2.069000006
Iteration 2, 1822 moved objects, max delta = 0.3112795999, deltaT = 2.090000153
Iteration 3, 902 moved objects, max delta = 0.1088672655, deltaT = 2.027999878
Iteration 4, 961 moved objects, max delta = 0.1402213059, deltaT = 2.005000114
Iteration 5, 935 moved objects, max delta = 0.2291346087, deltaT = 1.978999853
Iteration 6, 693 moved objects, max delta = 0.08348344853, deltaT = 2.005000114
Iteration 7, 599 moved objects, max delta = 0.07596482173, deltaT = 1.950000048
Iteration 8, 532 moved objects, max delta = 0.06684538651, deltaT = 1.941999912
Iteration 9, 498 moved objects, max delta = 0.06530261144, deltaT = 1.941999912
Iteration 10, 454 moved objects, max delta = 0.06722998922, deltaT = 1.929000139
Iteration 11, 432 moved objects, max delta = 0.06470564695, deltaT = 1.948999882
Iteration 12, 443 moved objects, max delta = 0.06636297104, deltaT = 1.985000134
Iteration 13, 498 moved objects, max delta = 0.07511889182, deltaT = 1.94299984
Iteration 14, 532 moved objects, max delta = 0.0952150521, deltaT = 1.92200017
Iteration 15, 469 moved objects, max delta = 0.09182659615, deltaT = 1.968999863
Iteration 16, 343 moved objects, max delta = 0.07316169584, deltaT = 1.922999859
Iteration 17, 259 moved objects, max delta = 0.04267997268, deltaT = 1.923000097
Iteration 18, 194 moved objects, max delta = 0.02441395186, deltaT = 1.922999859
Iteration 19, 142 moved objects, max delta = 0.02202658634, deltaT = 1.923000097
Iteration 20, 102 moved objects, max delta = 0.01613975104, deltaT = 1.91899991
Iteration 21, 83 moved objects, max delta = 0.01228930709, deltaT = 1.926000118
Iteration 22, 59 moved objects, max delta = 0.007892190141, deltaT = 1.99000001
Iteration 23, 43 moved objects, max delta = 0.006179668714, deltaT = 2.00999999
Iteration 24, 39 moved objects, max delta = 0.004794924415, deltaT = 1.967000008
Iteration 25, 43 moved objects, max delta = 0.006404485255, deltaT = 1.921000004
Iteration 26, 38 moved objects, max delta = 0.006385603844, deltaT = 1.921999931
Iteration 27, 46 moved objects, max delta = 0.005498664146, deltaT = 1.91899991
Iteration 28, 30 moved objects, max delta = 0.00678354601, deltaT = 1.921000004
Iteration 29, 26 moved objects, max delta = 0.004675990834, deltaT = 1.928000212
Iteration 30, 26 moved objects, max delta = 0.003791006424, deltaT = 1.921000004
Iteration 31, 23 moved objects, max delta = 0.004014292287, deltaT = 1.924999952
Iteration 32, 23 moved objects, max delta = 0.003725467328, deltaT = 1.963999987
Iteration 33, 21 moved objects, max delta = 0.003957021682, deltaT = 1.991999865
Iteration 34, 18 moved objects, max delta = 0.003509951286, deltaT = 1.929000139
Iteration 35, 27 moved objects, max delta = 0.003663551781, deltaT = 1.975999832
Iteration 36, 26 moved objects, max delta = 0.002975256853, deltaT = 1.961000204
Iteration 37, 22 moved objects, max delta = 0.003073460255, deltaT = 1.957999945
Iteration 38, 23 moved objects, max delta = 0.002201694094, deltaT = 1.917000055
Iteration 39, 22 moved objects, max delta = 0.003159511874, deltaT = 1.923999786
Iteration 40, 30 moved objects, max delta = 0.002545387696, deltaT = 1.923000097
Iteration 41, 37 moved objects, max delta = 0.002736114539, deltaT = 1.923000097
Iteration 42, 34 moved objects, max delta = 0.0062242746, deltaT = 1.92599988
Iteration 43, 26 moved objects, max delta = 0.004210727947, deltaT = 1.923000097
Iteration 44, 26 moved objects, max delta = 0.00261425419, deltaT = 1.917999983
Iteration 45, 24 moved objects, max delta = 0.003642630616, deltaT = 1.955999851
Iteration 46, 22 moved objects, max delta = 0.002905590986, deltaT = 1.963000059
Iteration 47, 18 moved objects, max delta = 0.002453168723, deltaT = 1.967999935
Iteration 48, 13 moved objects, max delta = 0.001963730598, deltaT = 1.923000097
Iteration 49, 13 moved objects, max delta = 0.001457970201, deltaT = 1.91899991
Iteration 50, 13 moved objects, max delta = 0.003442766819, deltaT = 1.924000025
Iteration 51, 11 moved objects, max delta = 0.002775072584, deltaT = 1.989000082
Iteration 52, 9 moved objects, max delta = 0.001224678547, deltaT = 1.943000078
Iteration 53, 15 moved objects, max delta = 0.001187949204, deltaT = 1.981999874
Iteration 54, 20 moved objects, max delta = 0.002665485582, deltaT = 1.963999987
Iteration 55, 22 moved objects, max delta = 0.002850078677, deltaT = 1.970999956
Iteration 56, 26 moved objects, max delta = 0.004756271999, deltaT = 1.924000025
Iteration 57, 18 moved objects, max delta = 0.002915198298, deltaT = 1.920000076
Iteration 58, 20 moved objects, max delta = 0.002719837134, deltaT = 1.923000097
Iteration 59, 19 moved objects, max delta = 0.003306396638, deltaT = 1.922999859
Iteration 60, 11 moved objects, max delta = 0.002929020444, deltaT = 1.921000004
Iteration 61, 14 moved objects, max delta = 0.002057567297, deltaT = 1.976000071
Iteration 62, 13 moved objects, max delta = 0.001721642362, deltaT = 1.971999884
Iteration 63, 13 moved objects, max delta = 0.002192857075, deltaT = 1.970000029
Iteration 64, 10 moved objects, max delta = 0.002058066889, deltaT = 1.93200016
Iteration 65, 13 moved objects, max delta = 0.001789457959, deltaT = 1.924999952
Iteration 66, 15 moved objects, max delta = 0.002022946637, deltaT = 1.921999931
Iteration 67, 10 moved objects, max delta = 0.00284373922, deltaT = 1.920000076
Iteration 68, 15 moved objects, max delta = 0.001981817671, deltaT = 1.921999931
Iteration 69, 12 moved objects, max delta = 0.002458979028, deltaT = 1.921999931
Iteration 70, 11 moved objects, max delta = 0.001438272427, deltaT = 1.921000004
Iteration 71, 9 moved objects, max delta = 0.001207880006, deltaT = 1.934000015
Iteration 72, 9 moved objects, max delta = 0.001231140942, deltaT = 1.953000069
Iteration 73, 5 moved objects, max delta = 0.0004392242541, deltaT = 1.924999952
