K-averages clustering of 19000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_9.matrix'
Loading data and computing initial values: 2.219000101 s (all future times given in seconds)
Iteration 1, 14694 moved objects, max delta = 0.01925456009, deltaT = 2.94299984
Iteration 2, 3692 moved objects, max delta = 0.4258328219, deltaT = 2.853000164
Iteration 3, 1593 moved objects, max delta = 0.1834131731, deltaT = 2.787999868
Iteration 4, 1027 moved objects, max delta = 0.2061440293, deltaT = 2.782999992
Iteration 5, 623 moved objects, max delta = 0.09343627539, deltaT = 2.768000126
Iteration 6, 521 moved objects, max delta = 0.05804259918, deltaT = 2.756000042
Iteration 7, 426 moved objects, max delta = 0.04924016398, deltaT = 2.778999805
Iteration 8, 389 moved objects, max delta = 0.04067824333, deltaT = 2.739000082
Iteration 9, 345 moved objects, max delta = 0.03213109002, deltaT = 2.736000061
Iteration 10, 325 moved objects, max delta = 0.02974146023, deltaT = 2.747999907
Iteration 11, 319 moved objects, max delta = 0.02696634668, deltaT = 2.80700016
Iteration 12, 304 moved objects, max delta = 0.03334384821, deltaT = 2.730999947
Iteration 13, 272 moved objects, max delta = 0.03168761953, deltaT = 2.731999874
Iteration 14, 291 moved objects, max delta = 0.02937054212, deltaT = 2.725000143
Iteration 15, 276 moved objects, max delta = 0.03181336688, deltaT = 2.750999928
Iteration 16, 247 moved objects, max delta = 0.02725908002, deltaT = 2.71600008
Iteration 17, 239 moved objects, max delta = 0.02615412397, deltaT = 2.717000008
Iteration 18, 211 moved objects, max delta = 0.02369558599, deltaT = 2.713999987
Iteration 19, 191 moved objects, max delta = 0.02477390769, deltaT = 2.711999893
Iteration 20, 208 moved objects, max delta = 0.02313352307, deltaT = 2.713000059
Iteration 21, 194 moved objects, max delta = 0.02505343819, deltaT = 2.756999969
Iteration 22, 192 moved objects, max delta = 0.02270760857, deltaT = 2.762000084
Iteration 23, 233 moved objects, max delta = 0.02446203803, deltaT = 2.801999807
Iteration 24, 216 moved objects, max delta = 0.02570955438, deltaT = 2.782999992
Iteration 25, 237 moved objects, max delta = 0.01923398926, deltaT = 2.718000174
Iteration 26, 223 moved objects, max delta = 0.02190495334, deltaT = 2.713999987
Iteration 27, 191 moved objects, max delta = 0.01737215679, deltaT = 2.789000034
Iteration 28, 184 moved objects, max delta = 0.01778955477, deltaT = 2.761999846
Iteration 29, 176 moved objects, max delta = 0.01665786606, deltaT = 2.756000042
Iteration 30, 180 moved objects, max delta = 0.01605035114, deltaT = 2.720999956
Iteration 31, 157 moved objects, max delta = 0.01704490228, deltaT = 2.725000143
Iteration 32, 184 moved objects, max delta = 0.01460380429, deltaT = 2.717999935
Iteration 33, 186 moved objects, max delta = 0.01525049735, deltaT = 2.762000084
Iteration 34, 170 moved objects, max delta = 0.01440845006, deltaT = 2.750999928
Iteration 35, 144 moved objects, max delta = 0.0142835646, deltaT = 2.714999914
Iteration 36, 121 moved objects, max delta = 0.01319648913, deltaT = 2.719000101
Iteration 37, 101 moved objects, max delta = 0.01011021794, deltaT = 2.713999987
Iteration 38, 85 moved objects, max delta = 0.009825258538, deltaT = 2.717000008
Iteration 39, 92 moved objects, max delta = 0.007921187377, deltaT = 2.720999956
Iteration 40, 87 moved objects, max delta = 0.007743511602, deltaT = 2.714999914
Iteration 41, 82 moved objects, max delta = 0.007081954861, deltaT = 2.71600008
Iteration 42, 77 moved objects, max delta = 0.005771590143, deltaT = 2.719000101
Iteration 43, 77 moved objects, max delta = 0.005989718525, deltaT = 2.715999842
Iteration 44, 71 moved objects, max delta = 0.00537532301, deltaT = 2.719000101
Iteration 45, 77 moved objects, max delta = 0.006674614334, deltaT = 2.838000059
Iteration 46, 60 moved objects, max delta = 0.006620889435, deltaT = 2.743000031
Iteration 47, 64 moved objects, max delta = 0.005901401015, deltaT = 2.708999872
Iteration 48, 64 moved objects, max delta = 0.006360006274, deltaT = 2.720000029
Iteration 49, 57 moved objects, max delta = 0.005140872993, deltaT = 2.766000032
Iteration 50, 47 moved objects, max delta = 0.003954948574, deltaT = 2.717000008
Iteration 51, 44 moved objects, max delta = 0.00416472169, deltaT = 2.713000059
Iteration 52, 43 moved objects, max delta = 0.003858473817, deltaT = 2.746000051
Iteration 53, 39 moved objects, max delta = 0.004918827912, deltaT = 2.718999863
Iteration 54, 36 moved objects, max delta = 0.003430687558, deltaT = 2.713000059
Iteration 55, 30 moved objects, max delta = 0.003478513005, deltaT = 2.717000008
Iteration 56, 19 moved objects, max delta = 0.003284903199, deltaT = 2.719000101
Iteration 57, 14 moved objects, max delta = 0.001323260876, deltaT = 2.710999966
Iteration 58, 14 moved objects, max delta = 0.0008383022811, deltaT = 2.714999914
Iteration 59, 24 moved objects, max delta = 0.001701001511, deltaT = 2.717000008
Iteration 60, 23 moved objects, max delta = 0.001768287216, deltaT = 2.717000008
Iteration 61, 29 moved objects, max delta = 0.001853718141, deltaT = 2.730000019
Iteration 62, 22 moved objects, max delta = 0.002622189343, deltaT = 2.741999865
Iteration 63, 19 moved objects, max delta = 0.002009315756, deltaT = 2.720000029
Iteration 64, 14 moved objects, max delta = 0.001269745648, deltaT = 2.717000008
Iteration 65, 14 moved objects, max delta = 0.002239253271, deltaT = 2.718000174
Iteration 66, 11 moved objects, max delta = 0.002776893645, deltaT = 2.7099998
Iteration 67, 14 moved objects, max delta = 0.001604667183, deltaT = 2.717000008
Iteration 68, 16 moved objects, max delta = 0.001276303579, deltaT = 2.723999977
Iteration 69, 12 moved objects, max delta = 0.001194022021, deltaT = 2.72300005
Iteration 70, 7 moved objects, max delta = 0.001136020331, deltaT = 2.713999987
Iteration 71, 7 moved objects, max delta = 0.0004755177198, deltaT = 2.713000059
Iteration 72, 7 moved objects, max delta = 0.0003658235851, deltaT = 2.717999935
Iteration 73, 8 moved objects, max delta = 0.0005682559556, deltaT = 2.756000042
Iteration 74, 5 moved objects, max delta = 0.0006086878513, deltaT = 2.712000132
Iteration 75, 6 moved objects, max delta = 0.0002875754328, deltaT = 2.713999987
Iteration 76, 7 moved objects, max delta = 0.0002532544096, deltaT = 2.714999914
Iteration 77, 5 moved objects, max delta = 0.0003239177865, deltaT = 2.714999914
Iteration 78, 6 moved objects, max delta = 0.0006130855974, deltaT = 2.708000183
Iteration 79, 4 moved objects, max delta = 0.0001806920833, deltaT = 2.710999966
Iteration 80, 3 moved objects, max delta = 0.0004592576163, deltaT = 2.710000038
Iteration 81, 2 moved objects, max delta = 4.741322519e-05, deltaT = 2.717000008
Iteration 82, 1 moved object, max delta = 2.279624648e-05, deltaT = 2.707999945
Iteration 83, 0 moved object, max delta = 0, deltaT = 2.711999893
Total 83 iterations, 30727 moved objects, clustering performed in 227.1069999 s
Total time with loading: 229.326 s
