K-averages clustering of 16000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_6.matrix'
Loading data and computing initial values: 344.0249999 s (all future times given in seconds)
Iteration 1, 12394 moved objects, max delta = 0.01721847061, deltaT = 146.102
Iteration 2, 3138 moved objects, max delta = 0.2972361636, deltaT = 134.3540001
Iteration 3, 1659 moved objects, max delta = 0.3516855263, deltaT = 142.5969999
Iteration 4, 838 moved objects, max delta = 0.1890759159, deltaT = 146.273
Iteration 5, 527 moved objects, max delta = 0.1351450316, deltaT = 148.5480001
Iteration 6, 403 moved objects, max delta = 0.09915803664, deltaT = 139.7389998
Iteration 7, 331 moved objects, max delta = 0.0908908801, deltaT = 134.9459999
Iteration 8, 285 moved objects, max delta = 0.07538897815, deltaT = 130.928
Iteration 9, 261 moved objects, max delta = 0.04863848087, deltaT = 152.539
Iteration 10, 230 moved objects, max delta = 0.04473337505, deltaT = 133.312
Iteration 11, 210 moved objects, max delta = 0.03764659527, deltaT = 139.3710001
Iteration 12, 209 moved objects, max delta = 0.02930017181, deltaT = 134.5539999
Iteration 13, 171 moved objects, max delta = 0.02765103366, deltaT = 150.2809999
Iteration 14, 150 moved objects, max delta = 0.02381473383, deltaT = 147.0220001
Iteration 15, 123 moved objects, max delta = 0.01927194839, deltaT = 153.4910002
Iteration 16, 129 moved objects, max delta = 0.01989748617, deltaT = 135.7710001
Iteration 17, 145 moved objects, max delta = 0.01794514565, deltaT = 147.7229998
Iteration 18, 139 moved objects, max delta = 0.0219438132, deltaT = 133.062
Iteration 19, 133 moved objects, max delta = 0.02141934005, deltaT = 138.8370001
Iteration 20, 129 moved objects, max delta = 0.02112417794, deltaT = 158.4920001
Iteration 21, 108 moved objects, max delta = 0.0204059023, deltaT = 135.737
Iteration 22, 117 moved objects, max delta = 0.01800068772, deltaT = 148.632
Iteration 23, 109 moved objects, max delta = 0.01753957278, deltaT = 138.813
Iteration 24, 97 moved objects, max delta = 0.01504743322, deltaT = 534.066
Iteration 25, 95 moved objects, max delta = 0.01313460692, deltaT = 142.1529999
Iteration 26, 84 moved objects, max delta = 0.01437837803, deltaT = 150.171
Iteration 27, 84 moved objects, max delta = 0.01223170125, deltaT = 154.707
Iteration 28, 73 moved objects, max delta = 0.01459186427, deltaT = 131.687
Iteration 29, 66 moved objects, max delta = 0.0120675831, deltaT = 145.9459999
Iteration 30, 49 moved objects, max delta = 0.009395911465, deltaT = 130.6950002
Iteration 31, 55 moved objects, max delta = 0.008106449529, deltaT = 140.2719998
Iteration 32, 51 moved objects, max delta = 0.01021337462, deltaT = 147.8140001
Iteration 33, 47 moved objects, max delta = 0.008328262935, deltaT = 132.5369999
Iteration 34, 35 moved objects, max delta = 0.006807249397, deltaT = 156.8569999
Iteration 35, 20 moved objects, max delta = 0.005002259981, deltaT = 136.345
Iteration 36, 14 moved objects, max delta = 0.00283633864, deltaT = 162.5339999
Iteration 37, 14 moved objects, max delta = 0.002868351979, deltaT = 135.72
Iteration 38, 17 moved objects, max delta = 0.003423497492, deltaT = 136.279
Iteration 39, 22 moved objects, max delta = 0.002219820224, deltaT = 139.4139998
Iteration 40, 26 moved objects, max delta = 0.004978827384, deltaT = 146.8799999
Iteration 41, 24 moved objects, max delta = 0.003573745471, deltaT = 140.355
Iteration 42, 22 moved objects, max delta = 0.00416378321, deltaT = 147.8379998
Iteration 43, 14 moved objects, max delta = 0.003488642453, deltaT = 142.8340001
Iteration 44, 16 moved objects, max delta = 0.002573077215, deltaT = 154.4319999
Iteration 45, 20 moved objects, max delta = 0.00374398298, deltaT = 147.431
Iteration 46, 19 moved objects, max delta = 0.004616308055, deltaT = 145.579
