K-averages clustering of 17000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_7.matrix'
Loading data and computing initial values: 1.743000031 s (all future times given in seconds)
Iteration 1, 13136 moved objects, max delta = 0.0169072365, deltaT = 2.323999882
Iteration 2, 3721 moved objects, max delta = 0.3287927262, deltaT = 2.259000063
Iteration 3, 2350 moved objects, max delta = 0.2285250442, deltaT = 2.203999996
Iteration 4, 1170 moved objects, max delta = 0.3038478208, deltaT = 2.194000006
Iteration 5, 552 moved objects, max delta = 0.1090675513, deltaT = 2.243000031
Iteration 6, 409 moved objects, max delta = 0.1056471959, deltaT = 2.286999941
Iteration 7, 377 moved objects, max delta = 0.0837079198, deltaT = 2.203999996
Iteration 8, 316 moved objects, max delta = 0.06745199093, deltaT = 2.187999964
Iteration 9, 287 moved objects, max delta = 0.04872082686, deltaT = 2.210999966
Iteration 10, 261 moved objects, max delta = 0.04371836019, deltaT = 2.229000092
Iteration 11, 262 moved objects, max delta = 0.04209702869, deltaT = 2.188999891
Iteration 12, 254 moved objects, max delta = 0.03612483041, deltaT = 2.189999819
Iteration 13, 224 moved objects, max delta = 0.03756622522, deltaT = 2.200000048
Iteration 14, 221 moved objects, max delta = 0.03484010933, deltaT = 2.180000067
Iteration 15, 209 moved objects, max delta = 0.03592404071, deltaT = 2.174999952
Iteration 16, 184 moved objects, max delta = 0.03260546235, deltaT = 2.177000046
Iteration 17, 160 moved objects, max delta = 0.03094283865, deltaT = 2.174999952
Iteration 18, 139 moved objects, max delta = 0.02906945808, deltaT = 2.171000004
Iteration 19, 109 moved objects, max delta = 0.02435946068, deltaT = 2.220999956
Iteration 20, 103 moved objects, max delta = 0.01680288743, deltaT = 2.174999952
Iteration 21, 101 moved objects, max delta = 0.01685368554, deltaT = 2.225000143
Iteration 22, 92 moved objects, max delta = 0.01809536624, deltaT = 2.244999886
Iteration 23, 92 moved objects, max delta = 0.01651851006, deltaT = 2.203999996
Iteration 24, 69 moved objects, max delta = 0.01496972554, deltaT = 2.235000134
Iteration 25, 58 moved objects, max delta = 0.01336087112, deltaT = 2.207999945
Iteration 26, 42 moved objects, max delta = 0.0101205224, deltaT = 2.213000059
Iteration 27, 42 moved objects, max delta = 0.006565887525, deltaT = 2.184999943
Iteration 28, 38 moved objects, max delta = 0.00604547833, deltaT = 2.21600008
Iteration 29, 34 moved objects, max delta = 0.006133567939, deltaT = 2.240999937
Iteration 30, 35 moved objects, max delta = 0.004752290037, deltaT = 2.194999933
Iteration 31, 49 moved objects, max delta = 0.006653529976, deltaT = 2.19900012
Iteration 32, 44 moved objects, max delta = 0.008177492782, deltaT = 2.269000053
Iteration 33, 41 moved objects, max delta = 0.005993508424, deltaT = 2.260999918
Iteration 34, 49 moved objects, max delta = 0.006817104325, deltaT = 2.191999912
Iteration 35, 56 moved objects, max delta = 0.007459895239, deltaT = 2.194000006
Iteration 36, 56 moved objects, max delta = 0.008905718304, deltaT = 2.171000004
Iteration 37, 53 moved objects, max delta = 0.007921170013, deltaT = 2.180000067
Iteration 38, 52 moved objects, max delta = 0.01120318946, deltaT = 2.177999973
Iteration 39, 52 moved objects, max delta = 0.01102061984, deltaT = 2.233999968
Iteration 40, 48 moved objects, max delta = 0.0115709222, deltaT = 2.184000015
Iteration 41, 35 moved objects, max delta = 0.008531974296, deltaT = 2.176000118
Iteration 42, 32 moved objects, max delta = 0.003745031141, deltaT = 2.180999994
Iteration 43, 34 moved objects, max delta = 0.003780191958, deltaT = 2.178999901
Iteration 44, 37 moved objects, max delta = 0.00440671134, deltaT = 2.253999949
Iteration 45, 31 moved objects, max delta = 0.003484162311, deltaT = 2.276000023
Iteration 46, 17 moved objects, max delta = 0.003118937071, deltaT = 2.242000103
Iteration 47, 12 moved objects, max delta = 0.002746791115, deltaT = 2.230999947
Iteration 48, 10 moved objects, max delta = 0.0005762130981, deltaT = 2.174000025
Iteration 49, 8 moved objects, max delta = 0.0007424861461, deltaT = 2.197999954
Iteration 50, 6 moved objects, max delta = 0.001455984927, deltaT = 2.21600008
Iteration 51, 2 moved objects, max delta = 3.352565473e-05, deltaT = 2.177000046
Iteration 52, 2 moved objects, max delta = 0.0003684470929, deltaT = 2.182999849
Iteration 53, 2 moved objects, max delta = 0.0008325246076, deltaT = 2.200999975
Iteration 54, 3 moved objects, max delta = 0.0007187236683, deltaT = 2.215000153
Iteration 55, 5 moved objects, max delta = 0.001295316618, deltaT = 2.180999994
Iteration 56, 3 moved objects, max delta = 0.002149861659, deltaT = 2.224999905
Iteration 57, 6 moved objects, max delta = 0.0005389226041, deltaT = 2.187000036
Iteration 58, 2 moved objects, max delta = 3.4734513e-05, deltaT = 2.214999914
Iteration 59, 2 moved objects, max delta = 0.0002391872156, deltaT = 2.183000088
Iteration 60, 1 moved object, max delta = 0.0002104539129, deltaT = 2.177999973
Iteration 61, 0 moved object, max delta = 0, deltaT = 2.180000067
Total 61 iterations, 25797 moved objects, clustering performed in 134.678 s
Total time with loading: 136.421 s
