K-averages clustering of 16000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_6.matrix', metrics: object normalized
Loading data and computing initial values: 12.73200011 s (all future times given in seconds)
Iteration 1, 12657 moved objects, max delta = 0.9333898906, deltaT = 4.148999929
Iteration 2, 603 moved objects, max delta = 0.751545367, deltaT = 0.1970000267
Iteration 3, 273 moved objects, max delta = 0.1549046621, deltaT = 0.08899998665
Iteration 4, 268 moved objects, max delta = 0.1138906116, deltaT = 0.08800005913
Iteration 5, 210 moved objects, max delta = 0.105802943, deltaT = 0.06799983978
Iteration 6, 181 moved objects, max delta = 0.07626957903, deltaT = 0.0600001812
Iteration 7, 159 moved objects, max delta = 0.06471546169, deltaT = 0.05199980736
Iteration 8, 127 moved objects, max delta = 0.04498577104, deltaT = 0.04299998283
Iteration 9, 113 moved objects, max delta = 0.03113266392, deltaT = 0.03800010681
Iteration 10, 103 moved objects, max delta = 0.03845630881, deltaT = 0.03399991989
Iteration 11, 79 moved objects, max delta = 0.04026454201, deltaT = 0.02700018883
Iteration 12, 99 moved objects, max delta = 0.02815245422, deltaT = 0.03299999237
Iteration 13, 72 moved objects, max delta = 0.02955000215, deltaT = 0.02399992943
Iteration 14, 63 moved objects, max delta = 0.01941323069, deltaT = 0.02200007439
Iteration 15, 59 moved objects, max delta = 0.02403044316, deltaT = 0.01999998093
Iteration 16, 38 moved objects, max delta = 0.01344812548, deltaT = 0.01399993896
Iteration 17, 29 moved objects, max delta = 0.008401435018, deltaT = 0.009999990463
Iteration 18, 35 moved objects, max delta = 0.01213350401, deltaT = 0.01300001144
Iteration 19, 23 moved objects, max delta = 0.01014472949, deltaT = 0.009000062943
Iteration 20, 23 moved objects, max delta = 0.008043962908, deltaT = 0.007999897003
Iteration 21, 9 moved objects, max delta = 0.003172798086, deltaT = 0.003999948502
Iteration 22, 13 moved objects, max delta = 0.00273794877, deltaT = 0.005000114441
Iteration 23, 15 moved objects, max delta = 0.006529888526, deltaT = 0.006000041962
Iteration 24, 9 moved objects, max delta = 0.005291217015, deltaT = 0.003999948502
Iteration 25, 6 moved objects, max delta = 0.003062878152, deltaT = 0.003000020981
Iteration 26, 11 moved objects, max delta = 0.004644383348, deltaT = 0.004999876022
Iteration 27, 2 moved objects, max delta = 0.002584708687, deltaT = 0.00200009346
Iteration 28, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 28 iterations, 15279 moved objects, clustering performed in 5.027999878 s
Total time with loading: 17.75999999 s
