K-averages clustering of 13000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_3.matrix', metrics: object normalized
Loading data and computing initial values: 7.957000017 s (all future times given in seconds)
Iteration 1, 10310 moved objects, max delta = 0.998733834, deltaT = 2.84800005
Iteration 2, 1169 moved objects, max delta = 0.738545472, deltaT = 0.3229999542
Iteration 3, 593 moved objects, max delta = 0.1963169084, deltaT = 0.1649999619
Iteration 4, 339 moved objects, max delta = 0.1219155897, deltaT = 0.09500002861
Iteration 5, 224 moved objects, max delta = 0.07233960285, deltaT = 0.06200003624
Iteration 6, 177 moved objects, max delta = 0.07474950403, deltaT = 0.04999995232
Iteration 7, 110 moved objects, max delta = 0.04641446387, deltaT = 0.03200006485
Iteration 8, 99 moved objects, max delta = 0.037095827, deltaT = 0.02799987793
Iteration 9, 87 moved objects, max delta = 0.03308706512, deltaT = 0.02500009537
Iteration 10, 110 moved objects, max delta = 0.03784830407, deltaT = 0.03099989891
Iteration 11, 101 moved objects, max delta = 0.04373590451, deltaT = 0.02900004387
Iteration 12, 93 moved objects, max delta = 0.04447354396, deltaT = 0.02699995041
Iteration 13, 93 moved objects, max delta = 0.02715101752, deltaT = 0.02600002289
Iteration 14, 70 moved objects, max delta = 0.03256696193, deltaT = 0.02099990845
Iteration 15, 30 moved objects, max delta = 0.01739409901, deltaT = 0.009000062943
Iteration 16, 13 moved objects, max delta = 0.005995266649, deltaT = 0.003999948502
Iteration 17, 4 moved objects, max delta = 0.003866354083, deltaT = 0.00200009346
Iteration 18, 1 moved object, max delta = 0.0001417682016, deltaT = 0.00200009346
Iteration 19, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 19 iterations, 13623 moved objects, clustering performed in 3.779999971 s
Total time with loading: 11.73699999 s
