K-averages clustering of 19000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_9.matrix', metrics: object normalized
Loading data and computing initial values: 449.9860001 s (all future times given in seconds)
Iteration 1, 15075 moved objects, max delta = 0.9088673633, deltaT = 48.14399981
Iteration 2, 804 moved objects, max delta = 0.7160743956, deltaT = 6.496999979
Iteration 3, 374 moved objects, max delta = 0.07324869751, deltaT = 1.493000031
Iteration 4, 268 moved objects, max delta = 0.05313504086, deltaT = 1.213000059
Iteration 5, 235 moved objects, max delta = 0.03719543668, deltaT = 0.9089999199
Iteration 6, 190 moved objects, max delta = 0.03442083497, deltaT = 0.7330000401
Iteration 7, 131 moved objects, max delta = 0.02469298554, deltaT = 0.5199999809
Iteration 8, 102 moved objects, max delta = 0.01905197102, deltaT = 0.3599998951
Iteration 9, 72 moved objects, max delta = 0.01735349126, deltaT = 0.3080000877
Iteration 10, 86 moved objects, max delta = 0.01619400158, deltaT = 0.4389998913
Iteration 11, 99 moved objects, max delta = 0.01547956333, deltaT = 0.4560000896
Iteration 12, 74 moved objects, max delta = 0.015555831, deltaT = 0.242000103
Iteration 13, 91 moved objects, max delta = 0.01032070147, deltaT = 0.376999855
Iteration 14, 81 moved objects, max delta = 0.01468916449, deltaT = 0.6510000229
Iteration 15, 77 moved objects, max delta = 0.01534797344, deltaT = 0.2910001278
Iteration 16, 63 moved objects, max delta = 0.01264350809, deltaT = 0.25
Iteration 17, 63 moved objects, max delta = 0.008986088296, deltaT = 0.271999836
Iteration 18, 76 moved objects, max delta = 0.01312760894, deltaT = 0.3600001335
Iteration 19, 115 moved objects, max delta = 0.02079362165, deltaT = 0.371999979
Iteration 20, 109 moved objects, max delta = 0.01788917337, deltaT = 0.3650000095
Iteration 21, 124 moved objects, max delta = 0.01853112706, deltaT = 0.4589998722
Iteration 22, 133 moved objects, max delta = 0.0253961991, deltaT = 0.5010001659
Iteration 23, 86 moved objects, max delta = 0.01357458109, deltaT = 0.4859998226
Iteration 24, 80 moved objects, max delta = 0.01425168071, deltaT = 0.498000145
Iteration 25, 67 moved objects, max delta = 0.01004884609, deltaT = 0.8699998856
Iteration 26, 45 moved objects, max delta = 0.007673007408, deltaT = 1.000999928
Iteration 27, 36 moved objects, max delta = 0.005874633927, deltaT = 1.072000027
Iteration 28, 26 moved objects, max delta = 0.004516184181, deltaT = 1.129000187
Iteration 29, 17 moved objects, max delta = 0.003706960459, deltaT = 0.3409998417
Iteration 30, 23 moved objects, max delta = 0.005463991969, deltaT = 1.038000107
Iteration 31, 19 moved objects, max delta = 0.007729799384, deltaT = 0.5679998398
Iteration 32, 13 moved objects, max delta = 0.005345619575, deltaT = 0.489000082
Iteration 33, 15 moved objects, max delta = 0.00395935951, deltaT = 0.7690000534
Iteration 34, 16 moved objects, max delta = 0.004637420691, deltaT = 0.8740000725
Iteration 35, 9 moved objects, max delta = 0.002522698987, deltaT = 0.3549997807
Iteration 36, 26 moved objects, max delta = 0.003795071026, deltaT = 0.8270001411
Iteration 37, 55 moved objects, max delta = 0.01044593271, deltaT = 2.142999887
Iteration 38, 69 moved objects, max delta = 0.01287582609, deltaT = 0.6600000858
Iteration 39, 66 moved objects, max delta = 0.0151425662, deltaT = 0.5680000782
Iteration 40, 59 moved objects, max delta = 0.01575005303, deltaT = 0.2709999084
Iteration 41, 54 moved objects, max delta = 0.01260087107, deltaT = 0.242000103
Iteration 42, 36 moved objects, max delta = 0.009404788262, deltaT = 0.5460000038
Iteration 43, 23 moved objects, max delta = 0.005599664799, deltaT = 0.09399986267
Iteration 44, 26 moved objects, max delta = 0.01034032681, deltaT = 0.1319999695
Iteration 45, 20 moved objects, max delta = 0.008922554876, deltaT = 0.111000061
Iteration 46, 16 moved objects, max delta = 0.005181386455, deltaT = 0.05800008774
Iteration 47, 26 moved objects, max delta = 0.005056644566, deltaT = 0.1449999809
Iteration 48, 18 moved objects, max delta = 0.003942291232, deltaT = 0.1239998341
Iteration 49, 30 moved objects, max delta = 0.007918340328, deltaT = 0.1730000973
Iteration 50, 26 moved objects, max delta = 0.006641719804, deltaT = 0.1240000725
Iteration 51, 24 moved objects, max delta = 0.004358846273, deltaT = 0.06900000572
Iteration 52, 27 moved objects, max delta = 0.005899630074, deltaT = 0.1369998455
Iteration 53, 31 moved objects, max delta = 0.009199596523, deltaT = 0.1349999905
Iteration 54, 28 moved objects, max delta = 0.005662329913, deltaT = 0.1289999485
Iteration 55, 43 moved objects, max delta = 0.006681083999, deltaT = 0.1730000973
Iteration 56, 61 moved objects, max delta = 0.009673334372, deltaT = 0.256000042
Iteration 57, 37 moved objects, max delta = 0.01070371641, deltaT = 0.1619999409
Iteration 58, 23 moved objects, max delta = 0.004438689903, deltaT = 0.1679999828
Iteration 59, 16 moved objects, max delta = 0.002920339961, deltaT = 0.06500005722
Iteration 60, 14 moved objects, max delta = 0.002020477844, deltaT = 0.02699995041
Iteration 61, 7 moved objects, max delta = 0.002707740109, deltaT = 0.04399991035
Iteration 62, 14 moved objects, max delta = 0.002189612509, deltaT = 0.1010000706
Iteration 63, 8 moved objects, max delta = 0.003777477458, deltaT = 0.04100012779
Iteration 64, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 64 iterations, 19777 moved objects, clustering performed in 82.53399992 s
Total time with loading: 532.5450001 s
