K-averages clustering of 15000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_5.matrix'
Loading data and computing initial values: 1.404000044 s (all future times given in seconds)
Iteration 1, 11650 moved objects, max delta = 0.0190082318, deltaT = 1.779999971
Iteration 2, 2375 moved objects, max delta = 0.3007914594, deltaT = 1.737999916
Iteration 3, 1037 moved objects, max delta = 0.2965361263, deltaT = 1.784000158
Iteration 4, 746 moved objects, max delta = 0.136098214, deltaT = 1.71999979
Iteration 5, 491 moved objects, max delta = 0.1296361309, deltaT = 1.776000023
Iteration 6, 353 moved objects, max delta = 0.06713940917, deltaT = 1.775000095
Iteration 7, 295 moved objects, max delta = 0.03742962604, deltaT = 1.753999949
Iteration 8, 242 moved objects, max delta = 0.02824748484, deltaT = 1.756999969
Iteration 9, 192 moved objects, max delta = 0.02527725754, deltaT = 1.71600008
Iteration 10, 193 moved objects, max delta = 0.02155154119, deltaT = 1.697000027
Iteration 11, 182 moved objects, max delta = 0.01871998166, deltaT = 1.694999933
Iteration 12, 161 moved objects, max delta = 0.01989199881, deltaT = 1.693000078
Iteration 13, 156 moved objects, max delta = 0.01771037024, deltaT = 1.69299984
Iteration 14, 156 moved objects, max delta = 0.01841458096, deltaT = 1.691000223
Iteration 15, 152 moved objects, max delta = 0.01853750169, deltaT = 1.69299984
Iteration 16, 145 moved objects, max delta = 0.01988749964, deltaT = 1.68900013
Iteration 17, 159 moved objects, max delta = 0.02092554208, deltaT = 1.688999891
Iteration 18, 157 moved objects, max delta = 0.02322640268, deltaT = 1.691999912
Iteration 19, 165 moved objects, max delta = 0.0250134599, deltaT = 1.686000109
Iteration 20, 187 moved objects, max delta = 0.02511207465, deltaT = 1.684999943
Iteration 21, 178 moved objects, max delta = 0.03083673548, deltaT = 1.690000057
Iteration 22, 135 moved objects, max delta = 0.020239111, deltaT = 1.690999985
Iteration 23, 126 moved objects, max delta = 0.01955353763, deltaT = 1.696000099
Iteration 24, 108 moved objects, max delta = 0.01743687703, deltaT = 1.720999956
Iteration 25, 109 moved objects, max delta = 0.0136147466, deltaT = 1.730999947
Iteration 26, 103 moved objects, max delta = 0.01501917095, deltaT = 1.758000135
Iteration 27, 110 moved objects, max delta = 0.01452812056, deltaT = 1.686999798
Iteration 28, 116 moved objects, max delta = 0.01495644295, deltaT = 1.690999985
Iteration 29, 108 moved objects, max delta = 0.01821324205, deltaT = 1.693000078
Iteration 30, 118 moved objects, max delta = 0.01839660773, deltaT = 1.687999964
Iteration 31, 128 moved objects, max delta = 0.02665182285, deltaT = 1.696000099
Iteration 32, 154 moved objects, max delta = 0.02525105931, deltaT = 1.69299984
Iteration 33, 131 moved objects, max delta = 0.02525700722, deltaT = 1.692000151
Iteration 34, 134 moved objects, max delta = 0.02475686918, deltaT = 1.694999933
Iteration 35, 125 moved objects, max delta = 0.02255823878, deltaT = 1.693000078
Iteration 36, 126 moved objects, max delta = 0.02679696701, deltaT = 1.690000057
Iteration 37, 109 moved objects, max delta = 0.01950667315, deltaT = 1.687999964
Iteration 38, 117 moved objects, max delta = 0.01466828217, deltaT = 1.746000051
Iteration 39, 124 moved objects, max delta = 0.02072961992, deltaT = 1.768999815
Iteration 40, 129 moved objects, max delta = 0.01699229038, deltaT = 1.768000126
Iteration 41, 112 moved objects, max delta = 0.01756448972, deltaT = 1.738999844
Iteration 42, 92 moved objects, max delta = 0.01370338015, deltaT = 1.687000036
Iteration 43, 73 moved objects, max delta = 0.01539426458, deltaT = 1.687000036
Iteration 44, 56 moved objects, max delta = 0.008364148827, deltaT = 1.690000057
Iteration 45, 42 moved objects, max delta = 0.0090724805, deltaT = 1.687999964
Iteration 46, 43 moved objects, max delta = 0.00568731063, deltaT = 1.709000111
Iteration 47, 28 moved objects, max delta = 0.008769379551, deltaT = 1.733999968
Iteration 48, 24 moved objects, max delta = 0.004912854479, deltaT = 1.691999912
Iteration 49, 17 moved objects, max delta = 0.003512773061, deltaT = 1.688000202
Iteration 50, 12 moved objects, max delta = 0.002728038808, deltaT = 1.69299984
Iteration 51, 9 moved objects, max delta = 0.002595960129, deltaT = 1.694999933
Iteration 52, 11 moved objects, max delta = 0.0007767889226, deltaT = 1.694000006
Iteration 53, 12 moved objects, max delta = 0.001501863522, deltaT = 1.691000223
Iteration 54, 12 moved objects, max delta = 0.002500559184, deltaT = 1.694999933
Iteration 55, 12 moved objects, max delta = 0.002621762341, deltaT = 1.694000006
Iteration 56, 8 moved objects, max delta = 0.001934541399, deltaT = 1.690000057
Iteration 57, 5 moved objects, max delta = 0.0006554446357, deltaT = 1.697999954
Iteration 58, 5 moved objects, max delta = 0.0004292715907, deltaT = 1.724999905
Iteration 59, 7 moved objects, max delta = 0.0005136746905, deltaT = 1.694999933
Iteration 60, 7 moved objects, max delta = 0.001428341363, deltaT = 1.702000141
Iteration 61, 5 moved objects, max delta = 0.001799496269, deltaT = 1.698999882
Iteration 62, 1 moved object, max delta = 0.00087744132, deltaT = 1.692000151
Iteration 63, 2 moved objects, max delta = 0.0004067908628, deltaT = 1.69299984
Iteration 64, 1 moved object, max delta = 0.0003009685219, deltaT = 1.690000057
Iteration 65, 2 moved objects, max delta = 0.0003220809129, deltaT = 1.68900013
Iteration 66, 4 moved objects, max delta = 0.001047256771, deltaT = 1.688999891
Iteration 67, 6 moved objects, max delta = 0.0009402256151, deltaT = 1.69900012
Iteration 68, 8 moved objects, max delta = 0.001769912045, deltaT = 1.696999788
Iteration 69, 7 moved objects, max delta = 0.001327366446, deltaT = 1.695000172
Iteration 70, 11 moved objects, max delta = 0.00176669361, deltaT = 1.694000006
Iteration 71, 11 moved objects, max delta = 0.002519927662, deltaT = 1.687999964
Iteration 72, 10 moved objects, max delta = 0.001579765209, deltaT = 1.703000069
Iteration 73, 9 moved objects, max delta = 0.001762316759, deltaT = 1.727999926
Iteration 74, 9 moved objects, max delta = 0.001358610066, deltaT = 1.751999855
Iteration 75, 10 moved objects, max delta = 0.002371759503, deltaT = 1.734000206
Iteration 76, 9 moved objects, max delta = 0.003279988492, deltaT = 1.737999916
Iteration 77, 6 moved objects, max delta = 0.0016349679, deltaT = 1.694999933
Iteration 78, 6 moved objects, max delta = 0.0006133727298, deltaT = 1.702000141
Iteration 79, 9 moved objects, max delta = 0.001256960721, deltaT = 1.691999912
Iteration 80, 5 moved objects, max delta = 0.0006611716491, deltaT = 1.694000006
Iteration 81, 3 moved objects, max delta = 0.000655825439, deltaT = 1.694999933
Iteration 82, 5 moved objects, max delta = 0.0008166121494, deltaT = 1.69900012
Iteration 83, 5 moved objects, max delta = 0.000143941242, deltaT = 1.697999954
Iteration 84, 6 moved objects, max delta = 0.001604155766, deltaT = 1.694000006
Iteration 85, 2 moved objects, max delta = 0.0007999838414, deltaT = 1.698999882
Iteration 86, 5 moved objects, max delta = 0.0002758927669, deltaT = 1.693000078
Iteration 87, 6 moved objects, max delta = 0.0006509954375, deltaT = 1.690000057
Iteration 88, 3 moved objects, max delta = 0.0009599946907, deltaT = 1.705999851
Iteration 89, 4 moved objects, max delta = 0.0008023752034, deltaT = 1.731000185
Iteration 90, 2 moved objects, max delta = 0.0009878196884, deltaT = 1.711999893
Iteration 91, 1 moved object, max delta = 1.93908557e-06, deltaT = 1.697999954
Iteration 92, 1 moved object, max delta = 1.385202757e-05, deltaT = 1.694000006
Iteration 93, 0 moved object, max delta = 0, deltaT = 1.690999985
Total 93 iterations, 22443 moved objects, clustering performed in 158.7289999 s
Total time with loading: 160.1329999 s
