11000, 5, /data/simple/testSwap_1.matrix, object normalized
0.8460001945
0, 8647, 0.9722177268, 1.986999989
1, 592, 0.5400919756, 0.1319999695
2, 237, 0.09270222344, 0.05399990082
3, 138, 0.04581717444, 0.03299999237
4, 134, 0.03118979504, 0.03100013733
5, 81, 0.03440329458, 0.01799988747
6, 34, 0.01797763916, 0.009000062943
7, 19, 0.01149757821, 0.004999876022
8, 13, 0.009728472071, 0.003000020981
9, 13, 0.008650691752, 0.00400018692
10, 13, 0.008459109804, 0.003999948502
11, 21, 0.01359634995, 0.004999876022
12, 32, 0.01325122974, 0.008000135422
13, 48, 0.01992786302, 0.01099991798
14, 48, 0.01940770614, 0.01200008392
15, 57, 0.02810129479, 0.01300001144
16, 77, 0.03393641787, 0.01799988747
17, 93, 0.03813173287, 0.02100014687
18, 126, 0.06253300147, 0.02899980545
19, 159, 0.06922847617, 0.03600001335
20, 129, 0.05737802815, 0.02900004387
21, 155, 0.05130773144, 0.03500008583
22, 133, 0.05109145304, 0.02999997139
23, 120, 0.0577562075, 0.02699995041
24, 145, 0.06661403059, 0.03299999237
25, 114, 0.07968371109, 0.02700018883
26, 79, 0.06040563549, 0.01799988747
27, 54, 0.02106477732, 0.01300001144
28, 60, 0.02528857051, 0.01399993896
29, 59, 0.02282353697, 0.01400017738
30, 46, 0.03323642831, 0.01099991798
31, 32, 0.01431522678, 0.007999897003
32, 33, 0.009772279351, 0.008000135422
33, 28, 0.01718479499, 0.006999969482
34, 11, 0.005452067699, 0.003999948502
35, 8, 0.002725679567, 0.00200009346
36, 0, 0, 0.0009999275208
37, 11788, 2.714999914
3.561000109
