14000, 5, /data/simple/testSwap_4.matrix, object normalized
1.360000134
0, 11085, 0.9348336226, 3.152999878
1, 1345, 0.8691867407, 0.3820002079
2, 585, 0.1559797222, 0.1659998894
3, 378, 0.1236203883, 0.1080000401
4, 232, 0.0728629115, 0.06699991226
5, 164, 0.0402881864, 0.04700016975
6, 127, 0.03580343933, 0.03799986839
7, 81, 0.02248840818, 0.02399992943
8, 61, 0.01762606918, 0.01800012589
9, 41, 0.01304791028, 0.0119998455
10, 43, 0.01351139179, 0.01300001144
11, 26, 0.0065523072, 0.009000062943
12, 29, 0.004020290558, 0.009000062943
13, 13, 0.004091956425, 0.004999876022
14, 14, 0.002135229814, 0.005000114441
15, 14, 0.003317930198, 0.004999876022
16, 21, 0.008455094139, 0.006000041962
17, 11, 0.00254774188, 0.00400018692
18, 6, 0.002152555461, 0.002999782562
19, 6, 0.002874826045, 0.003000020981
20, 6, 0.003417895143, 0.00200009346
21, 2, 0.004207403752, 0.00200009346
22, 1, 0.001335142435, 0.0009999275208
23, 0, 0, 0.0009999275208
24, 14291, 4.082999945
5.443000078
