K-averages clustering of 16000 objects into 5 classes, similarity matrix in '/data/simple/testSwap_6.matrix', metrics: object normalized
Loading data and computing initial values: 289.5209999 s (all future times given in seconds)
Iteration 1, 12632 moved objects, max delta = 0.9213082391, deltaT = 37.69000006
Iteration 2, 436 moved objects, max delta = 0.458752293, deltaT = 0.9290001392
Iteration 3, 232 moved objects, max delta = 0.0578723856, deltaT = 0.4249999523
Iteration 4, 158 moved objects, max delta = 0.05078257224, deltaT = 0.2850000858
Iteration 5, 127 moved objects, max delta = 0.03035399493, deltaT = 0.1899998188
Iteration 6, 106 moved objects, max delta = 0.02979360417, deltaT = 0.2730000019
Iteration 7, 84 moved objects, max delta = 0.02093326772, deltaT = 0.1800000668
Iteration 8, 66 moved objects, max delta = 0.01744659275, deltaT = 0.07500004768
Iteration 9, 90 moved objects, max delta = 0.01500884794, deltaT = 0.1740000248
Iteration 10, 90 moved objects, max delta = 0.01962797319, deltaT = 0.1699998379
Iteration 11, 87 moved objects, max delta = 0.01483218258, deltaT = 0.1600000858
Iteration 12, 68 moved objects, max delta = 0.01414665525, deltaT = 0.08299994469
Iteration 13, 74 moved objects, max delta = 0.01441910287, deltaT = 0.09100008011
Iteration 14, 63 moved objects, max delta = 0.01393856347, deltaT = 0.09200000763
Iteration 15, 69 moved objects, max delta = 0.01426703687, deltaT = 0.1270000935
Iteration 16, 78 moved objects, max delta = 0.01767662334, deltaT = 0.1819999218
Iteration 17, 85 moved objects, max delta = 0.01470112723, deltaT = 0.1819999218
Iteration 18, 77 moved objects, max delta = 0.02516681353, deltaT = 0.2070000172
Iteration 19, 114 moved objects, max delta = 0.02899979835, deltaT = 0.1819999218
Iteration 20, 145 moved objects, max delta = 0.04154072465, deltaT = 0.2680001259
Iteration 21, 138 moved objects, max delta = 0.03247335817, deltaT = 0.2909998894
Iteration 22, 150 moved objects, max delta = 0.03200726122, deltaT = 0.245000124
Iteration 23, 155 moved objects, max delta = 0.03264693584, deltaT = 0.2369999886
Iteration 24, 145 moved objects, max delta = 0.0283133933, deltaT = 0.1510000229
Iteration 25, 177 moved objects, max delta = 0.02854307243, deltaT = 0.256000042
Iteration 26, 151 moved objects, max delta = 0.03940231134, deltaT = 0.2159998417
Iteration 27, 221 moved objects, max delta = 0.05464365131, deltaT = 0.503000021
Iteration 28, 225 moved objects, max delta = 0.06381406942, deltaT = 0.4170000553
Iteration 29, 235 moved objects, max delta = 0.06253526655, deltaT = 0.4049999714
Iteration 30, 289 moved objects, max delta = 0.06271383359, deltaT = 0.7509999275
Iteration 31, 351 moved objects, max delta = 0.1070206691, deltaT = 0.6760001183
Iteration 32, 357 moved objects, max delta = 0.1173423351, deltaT = 0.7309999466
Iteration 33, 426 moved objects, max delta = 0.1200111285, deltaT = 0.9309999943
Iteration 34, 446 moved objects, max delta = 0.1105020094, deltaT = 0.9700000286
Iteration 35, 522 moved objects, max delta = 0.1289610442, deltaT = 0.9909999371
Iteration 36, 494 moved objects, max delta = 0.1421514257, deltaT = 1.036000013
Iteration 37, 416 moved objects, max delta = 0.1306475838, deltaT = 0.878000021
Iteration 38, 301 moved objects, max delta = 0.1116795097, deltaT = 0.5320000648
Iteration 39, 241 moved objects, max delta = 0.06541459471, deltaT = 0.4960000515
Iteration 40, 164 moved objects, max delta = 0.03690315837, deltaT = 0.2379999161
Iteration 41, 102 moved objects, max delta = 0.02648021202, deltaT = 0.1909999847
Iteration 42, 68 moved objects, max delta = 0.01695155835, deltaT = 0.08899998665
Iteration 43, 43 moved objects, max delta = 0.01231054855, deltaT = 0.09400010109
Iteration 44, 32 moved objects, max delta = 0.01158769068, deltaT = 0.04499983788
Iteration 45, 22 moved objects, max delta = 0.008422532564, deltaT = 0.05599999428
Iteration 46, 12 moved objects, max delta = 0.003802627129, deltaT = 0.02400016785
Iteration 47, 11 moved objects, max delta = 0.002382552923, deltaT = 0.08599996567
Iteration 48, 17 moved objects, max delta = 0.005082311372, deltaT = 0.1099998951
Iteration 49, 24 moved objects, max delta = 0.003858825587, deltaT = 0.02500009537
Iteration 50, 11 moved objects, max delta = 0.005073229056, deltaT = 0.01999998093
Iteration 51, 11 moved objects, max delta = 0.002881009102, deltaT = 0.02900004387
Iteration 52, 4 moved objects, max delta = 0.002974283586, deltaT = 0.009999990463
Iteration 53, 4 moved objects, max delta = 0.003336270503, deltaT = 0.003000020981
Iteration 54, 0 moved object, max delta = 0, deltaT = 0.0009999275208
Total 54 iterations, 20846 moved objects, clustering performed in 53.73600006 s
Total time with loading: 343.3 s
