K-averages clustering of 10000 objects into 5 classes, kernel matrix in '/data/simple/testSwap_0.matrix'
Loading data and computing initial values: 0.628000021 s (all future times given in seconds)
Iteration 1, 7631 moved objects, max delta = 0.01777243835, deltaT = 0.8010001183
Iteration 2, 2472 moved objects, max delta = 0.3680759978, deltaT = 0.7939999104
Iteration 3, 653 moved objects, max delta = 0.290310062, deltaT = 0.7929999828
Iteration 4, 472 moved objects, max delta = 0.08057829178, deltaT = 0.7910001278
Iteration 5, 438 moved objects, max delta = 0.07902292401, deltaT = 0.7899999619
Iteration 6, 475 moved objects, max delta = 0.1015187519, deltaT = 0.7890000343
Iteration 7, 486 moved objects, max delta = 0.1187121844, deltaT = 0.7899999619
Iteration 8, 486 moved objects, max delta = 0.1223276045, deltaT = 0.7890000343
Iteration 9, 397 moved objects, max delta = 0.1232403429, deltaT = 0.7890000343
Iteration 10, 327 moved objects, max delta = 0.09661879516, deltaT = 0.7879998684
Iteration 11, 227 moved objects, max delta = 0.06653431914, deltaT = 0.7890000343
Iteration 12, 180 moved objects, max delta = 0.04174927462, deltaT = 0.7880001068
Iteration 13, 157 moved objects, max delta = 0.03530167227, deltaT = 0.7889997959
Iteration 14, 139 moved objects, max delta = 0.02526368314, deltaT = 0.7870001793
Iteration 15, 113 moved objects, max delta = 0.02272592939, deltaT = 0.7879998684
Iteration 16, 101 moved objects, max delta = 0.01662838189, deltaT = 0.7880001068
Iteration 17, 99 moved objects, max delta = 0.01740001667, deltaT = 0.7879998684
Iteration 18, 95 moved objects, max delta = 0.02711629225, deltaT = 0.7890000343
Iteration 19, 71 moved objects, max delta = 0.02195461381, deltaT = 0.7880001068
Iteration 20, 74 moved objects, max delta = 0.01887800758, deltaT = 0.7879998684
Iteration 21, 86 moved objects, max delta = 0.02137195634, deltaT = 0.7880001068
Iteration 22, 79 moved objects, max delta = 0.02234485811, deltaT = 0.7879998684
Iteration 23, 62 moved objects, max delta = 0.0225564859, deltaT = 0.7880001068
Iteration 24, 57 moved objects, max delta = 0.02212444385, deltaT = 0.7879998684
Iteration 25, 52 moved objects, max delta = 0.0187295606, deltaT = 0.7890000343
Iteration 26, 55 moved objects, max delta = 0.02013352585, deltaT = 0.7880001068
Iteration 27, 60 moved objects, max delta = 0.01386102665, deltaT = 0.7890000343
Iteration 28, 53 moved objects, max delta = 0.01504877735, deltaT = 0.7890000343
Iteration 29, 46 moved objects, max delta = 0.01373770483, deltaT = 0.7889997959
Iteration 30, 49 moved objects, max delta = 0.0141572461, deltaT = 0.7880001068
Iteration 31, 43 moved objects, max delta = 0.01890684769, deltaT = 0.7890000343
Iteration 32, 41 moved objects, max delta = 0.01255285075, deltaT = 0.7879998684
Iteration 33, 34 moved objects, max delta = 0.01227614291, deltaT = 0.7890000343
Iteration 34, 23 moved objects, max delta = 0.01160484131, deltaT = 0.7880001068
Iteration 35, 16 moved objects, max delta = 0.005877043638, deltaT = 0.7879998684
Iteration 36, 20 moved objects, max delta = 0.00478263552, deltaT = 0.7870001793
Iteration 37, 16 moved objects, max delta = 0.006752881511, deltaT = 0.7879998684
Iteration 38, 14 moved objects, max delta = 0.00533178474, deltaT = 0.7869999409
Iteration 39, 17 moved objects, max delta = 0.005554358534, deltaT = 0.7870001793
Iteration 40, 17 moved objects, max delta = 0.005289952558, deltaT = 0.7879998684
Iteration 41, 11 moved objects, max delta = 0.004563931853, deltaT = 0.7869999409
Iteration 42, 5 moved objects, max delta = 0.002353986859, deltaT = 0.7870001793
Iteration 43, 1 moved object, max delta = 0.0003078677685, deltaT = 0.7869999409
Iteration 44, 2 moved objects, max delta = 0.0002058434489, deltaT = 0.7869999409
Iteration 45, 3 moved objects, max delta = 0.0004791001839, deltaT = 0.7869999409
Iteration 46, 3 moved objects, max delta = 0.0008058496724, deltaT = 0.7870001793
Iteration 47, 0 moved object, max delta = 0, deltaT = 0.7869999409
Total 47 iterations, 15958 moved objects, clustering performed in 37.06800008 s
Total time with loading: 37.6960001 s
