id,b,p
 7,51$\pm$37,\textbf{66$\pm$32}
12,\textbf{10$\pm$5$^*$},\textbf{10$\pm$5$^*$}
13,5$\pm$2,\textbf{5$\pm$2}
17,\textbf{1},1
20,\textbf{1$^*$},\textbf{1$^*$}
21,\textbf{4$\pm$4},3$\pm$4
25,\textbf{36$\pm$1},36$\pm$1
28,\textbf{21$^*$},\textbf{21$^*$}
29,\textbf{15$^*$},\textbf{15$^*$}
34,\textbf{8$^*$},\textbf{8$^*$}
42,\textbf{0$^*$},\textbf{0$^*$}
43,\textbf{0},0
