id,b,p
 1,12$\pm$0,\textbf{72$\pm$1$^*$}
 2,10$\pm$1,\textbf{58$\pm$1$^*$}
 8,19$\pm$9,\textbf{27$\pm$2$^*$}
 9,24$\pm$9,\textbf{33$\pm$1$^*$}
10,20$\pm$9,\textbf{28$\pm$2$^*$}
14,57$\pm$17,\textbf{ 67$\pm$3$^*$}
16,52$\pm$21,\textbf{ 70$\pm$3$^*$}
23,45$\pm$26,\textbf{ 90$\pm$4$^*$}
24,25$\pm$8,\textbf{31$\pm$2$^*$}
31,10$\pm$12,\textbf{ 56$\pm$2$^*$}
36,16$\pm$16,\textbf{ 51$\pm$1$^*$}
39,45$\pm$5,\textbf{46$\pm$1}
40,44$\pm$5,\textbf{45$\pm$1}
41,\textbf{42$\pm$0},42$\pm$1
